t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
0.000000 -1.500365 -0.009779 0.258600 0.000000 0.025305 0.689119 0.000000 19.000004 0.000000 0.283905 0.000000
0.001186 -1.499301 -0.009772 0.273046 0.000001 0.003543 0.688011 0.000000 19.002502 0.000000 0.276589 0.000000
0.002781 -1.517905 -0.009894 0.161670 0.000035 0.061175 0.686784 0.000000 19.000004 0.000003 0.222845 0.000001
0.003967 -1.494515 -0.009741 0.220937 0.000065 0.075922 0.688031 0.000000 19.000004 0.000006 0.296859 0.000003
0.005589 -1.446153 -0.009426 0.582528 0.000106 0.072812 0.687612 0.000000 19.002502 0.000010 0.655340 0.000004
0.006750 -1.379186 -0.008989 1.307807 0.000132 0.067770 0.694896 0.000000 19.000004 0.000013 1.375578 0.000006
0.008389 -1.302653 -0.008491 2.389697 0.000111 -0.038231 0.696943 0.000000 19.000004 0.000011 2.351467 0.000005
0.009530 -1.205928 -0.007860 3.879057 0.000125 0.035410 0.693465 0.000000 19.000004 0.000013 3.914467 0.000005
0.011175 -1.116636 -0.007278 5.650148 0.000080 -0.079899 0.687898 0.000000 19.000004 0.000009 5.570250 0.000003
0.012314 -1.010344 -0.006585 7.728418 0.000177 0.251364 0.688594 0.000000 19.000004 0.000020 7.979782 0.000008
0.013705 -0.946035 -0.006166 9.792514 0.000021 -0.330762 0.691611 0.000000 19.002502 0.000005 9.461753 0.000001
0.015094 -0.820605 -0.005349 12.191632 0.000261 0.508160 0.690733 0.000000 19.000004 0.000029 12.699792 0.000011
0.016489 -0.773306 -0.005040 14.373331 0.000169 -0.193440 0.686199 0.000000 19.000004 0.000020 14.179891 0.000007
0.017880 -0.691458 -0.004507 16.536191 0.000103 -0.140427 0.684725 0.000000 19.000004 0.000013 16.395764 0.000004
0.019269 -0.603764 -0.003935 18.751692 0.000061 -0.088512 0.684448 0.000000 19.000004 0.000009 18.663180 0.000003
0.020683 -0.514477 -0.003353 20.940312 0.000297 0.490739 0.685454 0.000000 19.002502 0.000032 21.431051 0.000013
0.022050 -0.463986 -0.003024 22.904938 0.000156 -0.302286 0.689478 0.000000 19.002502 0.000018 22.602652 0.000007
0.023467 -0.380544 -0.002480 24.863167 -0.000036 -0.399032 0.691360 0.000000 19.002502 -0.000000 24.464135 -0.000002
0.024833 -0.322615 -0.002103 26.607420 -0.000353 -0.680642 0.696933 0.000000 19.000004 -0.000031 25.926778 -0.000015
0.026272 -0.240767 -0.001569 28.343459 -0.000540 -0.382179 0.696773 0.000000 19.000004 -0.000049 27.961280 -0.000023
0.027614 -0.157310 -0.001025 30.032523 -0.000518 0.048205 0.695505 0.000000 19.000004 -0.000046 30.080728 -0.000022
0.029050 -0.068553 -0.000447 31.743491 -0.000450 0.138324 0.694399 0.000000 19.000004 -0.000040 31.881815 -0.000019
0.030397 -0.010623 -0.000069 33.221827 -0.000286 0.358618 0.695177 0.000000 19.002502 -0.000024 33.580445 -0.000012
0.031897 0.093546 0.000610 34.824517 -0.000153 0.260260 0.699942 0.270116 19.002502 -0.000012 35.084777 -0.000007
0.033178 0.144037 0.000939 36.130133 0.000078 0.529762 0.690453 0.286841 19.002502 0.000012 36.659895 0.000003
0.034686 0.219506 0.001431 37.385204 0.000303 0.438702 0.692811 0.305293 19.002502 0.000032 37.823905 0.000013
0.035961 0.277969 0.001812 38.435338 0.000424 0.276819 0.688818 0.316711 19.000004 0.000045 38.712157 0.000018
0.037444 0.367791 0.002397 39.552424 0.000660 0.469099 0.674362 0.331409 19.000004 0.000066 40.021523 0.000028
0.038742 0.434223 0.002830 40.506639 0.000948 0.651453 0.689545 0.340788 19.000004 0.000096 41.158092 0.000040
0.040244 0.529360 0.003450 41.576449 0.001409 0.900921 0.689428 0.352696 19.000004 0.000137 42.477370 0.000060
0.041525 0.564434 0.003679 42.269051 0.001720 0.713149 0.696092 0.356733 19.000004 0.000169 42.982200 0.000073
0.043056 0.702618 0.004580 43.388647 0.002325 1.160807 0.694021 0.371237 19.000004 0.000222 44.549455 0.000099
0.044306 0.744072 0.004850 44.141666 0.002678 0.829825 0.691971 0.375231 19.000004 0.000260 44.971491 0.000114
0.045850 0.801472 0.005224 44.773332 0.003084 0.772290 0.692686 0.380538 19.000004 0.000295 45.545622 0.000131
0.047089 0.855155 0.005574 45.189605 0.003456 0.881621 0.693388 0.385292 19.000004 0.000335 46.071226 0.000147
0.048650 0.944971 0.006159 45.750815 0.004077 1.168160 0.688352 0.392852 19.000004 0.000388 46.918975 0.000173
0.049869 1.033728 0.006738 46.321353 0.004674 1.438685 0.688696 0.399905 19.000004 0.000454 47.760038 0.000199
0.051430 1.111326 0.007243 46.927540 0.005421 1.404447 0.687438 0.405779 19.000004 0.000518 48.331987 0.000231
0.052653 1.176694 0.007670 47.369795 0.006007 1.410205 0.689118 0.410541 19.000004 0.000582 48.780000 0.000256
0.054217 1.286178 0.008383 48.070384 0.006768 1.428959 0.686533 0.418180 19.000004 0.000647 49.499343 0.000288
0.055433 1.335075 0.008702 48.457063 0.007320 1.331923 0.691934 0.421469 19.002502 0.000708 49.788986 0.000311
0.057011 1.422239 0.009270 48.972955 0.008013 1.289550 0.691453 0.427163 19.000004 0.000767 50.262505 0.000341
0.058216 1.466880 0.009561 49.177684 0.008552 1.314773 0.689468 0.430002 19.000004 0.000827 50.492457 0.000364
0.059805 1.564140 0.010195 49.597817 0.009332 1.442095 0.691142 0.436022 19.000004 0.000892 51.039912 0.000397
0.061000 1.616759 0.010538 49.757033 0.009961 1.546793 0.688398 0.439191 19.000004 0.000963 51.303825 0.000424
0.062625 1.710297 0.011148 50.124605 0.010814 1.541466 0.687549 0.444684 19.000004 0.001033 51.666071 0.000460
0.063780 1.777263 0.011584 50.333128 0.011425 1.553247 0.689127 0.448515 19.000004 0.001104 51.886376 0.000486
0.065411 1.860176 0.012124 50.662163 0.012253 1.490482 0.686911 0.453150 19.000004 0.001172 52.152645 0.000521
0.066564 1.939362 0.012641 50.904672 0.012842 1.502657 0.686573 0.457472 19.000004 0.001240 52.407330 0.000546
0.068214 1.990387 0.012973 51.057972 0.013698 1.522436 0.687969 0.460206 19.000004 0.001309 52.580408 0.000583
0.069344 2.082331 0.013572 51.242753 0.014350 1.694195 0.686778 0.465040 19.000004 0.001386 52.936948 0.000610
0.070981 2.156207 0.014054 51.488512 0.015312 1.727049 0.687011 0.468841 19.000004 0.001465 53.215561 0.000651
0.072128 2.222109 0.014483 51.563055 0.016025 1.826923 0.688234 0.472174 19.000004 0.001548 53.389977 0.000682
0.073516 2.307145 0.015038 51.800839 0.016845 1.733897 0.687074 0.476399 19.000004 0.001627 53.534736 0.000717
0.074911 2.387400 0.015561 51.955046 0.017621 1.633994 0.687979 0.480312 19.000004 0.001702 53.589040 0.000750
0.076300 2.433105 0.015859 52.002141 0.018365 1.573252 0.688173 0.482510 19.000004 0.001773 53.575392 0.000781
0.077692 2.488376 0.016219 51.828234 0.019249 1.866315 0.696874 0.485140 19.000004 0.001858 53.694548 0.000819
0.079081 2.597861 0.016933 52.025268 0.020147 1.898816 0.697515 0.490261 19.000004 0.001945 53.924083 0.000857
0.080514 2.672271 0.017418 52.107605 0.021045 1.840261 0.698118 0.493680 19.000004 0.002029 53.947866 0.000895
0.081864 2.761557 0.017999 52.376318 0.021852 1.754136 0.698500 0.497718 19.000004 0.002109 54.130454 0.000929
0.083280 2.842871 0.018529 52.657240 0.022649 1.652782 0.697681 0.501340 18.997505 0.002184 54.310022 0.000963
0.084644 2.874229 0.018734 52.601213 0.023462 1.751725 0.697786 0.502723 19.000004 0.002264 54.352938 0.000998
0.086094 2.976804 0.019402 52.760968 0.024302 1.702294 0.697443 0.507194 19.000004 0.002341 54.463262 0.001034
0.087428 3.039519 0.019811 52.806788 0.025090 1.735311 0.695721 0.509891 19.000004 0.002420 54.542099 0.001067
0.088867 3.103299 0.020227 52.796313 0.025985 1.827406 0.686488 0.512605 19.000004 0.002503 54.623719 0.001105
0.090211 3.160693 0.020601 52.658028 0.026914 2.027758 0.691937 0.515025 19.000004 0.002596 54.685785 0.001145
0.091722 3.281343 0.021387 52.879499 0.027817 1.755316 0.694076 0.520043 19.000004 0.002676 54.634815 0.001183
0.092992 3.337144 0.021751 52.918024 0.028538 1.668957 0.697753 0.522333 19.000004 0.002752 54.586980 0.001214
0.094450 3.404111 0.022188 52.932856 0.029351 1.638128 0.694001 0.525059 19.000004 0.002826 54.570983 0.001248
0.095775 3.494996 0.022780 53.022771 0.030070 1.592318 0.700024 0.528717 19.000004 0.002899 54.615089 0.001279
0.097275 3.531134 0.023015 52.886338 0.030968 1.758186 0.698800 0.530159 18.997505 0.002979 54.644524 0.001317
0.098555 3.642212 0.023739 52.983558 0.031694 1.666922 0.694110 0.534548 19.000004 0.003055 54.650480 0.001348
0.100047 3.674099 0.023947 52.825736 0.032634 1.850270 0.690487 0.535797 19.000004 0.003139 54.676006 0.001388
0.101339 3.779867 0.024637 52.865646 0.033373 1.681241 0.693865 0.539903 18.997505 0.003216 54.546888 0.001420
0.102850 3.864903 0.025191 53.015193 0.034186 1.579227 0.699563 0.543166 18.997505 0.003288 54.594420 0.001454
0.104119 3.919110 0.025544 52.966878 0.034890 1.629593 0.698877 0.545229 18.997505 0.003362 54.596471 0.001484
0.105672 3.993520 0.026029 52.975038 0.035727 1.583588 0.698240 0.548039 19.000004 0.003434 54.558625 0.001520
