t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
13.008757 153.415721 0.999945 0.116816 9.992022 -0.089569 0.869105 120.000000 19.000004 0.961255 0.027246 0.425020
13.010088 153.416255 0.999948 0.105941 9.991986 -0.078694 0.868364 120.000000 19.002502 0.961252 0.027246 0.425018
13.011541 153.410940 0.999913 0.061413 9.991967 -0.038935 0.868226 120.000000 19.000004 0.961250 0.022478 0.425018
13.012868 153.413068 0.999927 0.038338 9.991888 -0.175066 0.873846 120.000000 19.000004 0.961242 -0.136728 0.425014
13.014341 153.415721 0.999945 0.036248 9.991883 -0.009001 0.881579 120.000000 19.000004 0.961242 0.027246 0.425014
13.015652 153.413068 0.999927 0.017037 9.991814 -0.153765 0.882766 120.000000 19.000004 0.961235 -0.136728 0.425011
13.017127 153.410411 0.999910 -0.016155 9.991798 -0.032092 0.876515 120.000000 19.002502 0.961233 -0.048248 0.425010
13.018435 153.407753 0.999893 -0.060518 9.991767 -0.069809 0.871492 120.000000 19.002502 0.961230 -0.130327 0.425009
13.019932 153.415191 0.999941 -0.047931 9.991806 0.075177 0.877661 120.000000 19.000004 0.961233 0.027246 0.425011
13.021216 153.405095 0.999875 -0.102913 9.991779 -0.061044 0.870120 120.000000 19.000004 0.961231 -0.163957 0.425010
13.022707 153.407753 0.999893 -0.129787 9.991779 -0.000541 0.874189 120.000000 19.000004 0.961231 -0.130327 0.425010
13.023996 153.401373 0.999851 -0.192109 9.991901 0.278556 0.877132 120.000000 19.000004 0.961243 0.086447 0.425015
13.025521 153.402967 0.999861 -0.231178 9.992010 0.210403 0.880419 120.000000 19.000004 0.961253 -0.020775 0.425019
13.026780 153.400309 0.999844 -0.278172 9.992132 0.283520 0.883033 120.000000 19.000004 0.961266 0.005348 0.425025
13.028333 153.390743 0.999782 -0.376819 9.992289 0.298216 0.876007 120.000000 19.000004 0.961279 -0.078602 0.425031
13.029560 153.378518 0.999702 -0.533447 9.992442 0.365349 0.874903 120.000000 19.002502 0.961296 -0.168098 0.425038
13.031108 153.380647 0.999716 -0.643549 9.992745 0.576144 0.873873 120.000000 19.000004 0.961322 -0.067405 0.425051
13.032344 153.400844 0.999848 -0.595439 9.993047 0.717517 0.879554 120.000000 19.000004 0.961355 0.122078 0.425064
13.033888 153.373203 0.999667 -0.731629 9.993339 0.554378 0.876796 120.000000 19.000004 0.961380 -0.177250 0.425076
13.035124 153.368422 0.999636 -0.866792 9.993559 0.523198 0.886416 120.000000 19.000004 0.961404 -0.343594 0.425085
13.036669 153.366829 0.999626 -0.980984 9.993942 0.727782 0.887006 120.000000 19.000004 0.961437 -0.253202 0.425102
13.037907 153.372144 0.999661 -1.029676 9.994295 0.837668 0.884673 120.000000 19.000004 0.961475 -0.192008 0.425117
13.039488 153.376925 0.999692 -1.030321 9.994766 0.874279 0.881455 120.000000 19.000004 0.961515 -0.156042 0.425137
13.040688 153.363637 0.999605 -1.106717 9.995074 0.754675 0.885256 120.000000 19.000004 0.961550 -0.352043 0.425150
13.042263 153.374267 0.999674 -1.091374 9.995576 0.936221 0.881462 120.000000 19.000004 0.961592 -0.155153 0.425171
13.043471 153.379053 0.999706 -1.036141 9.995964 0.943687 0.881455 120.000000 19.000004 0.961635 -0.092453 0.425188
