t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
0.000000 -1.644924 -0.010695 -0.001107 0.000000 0.223952 0.227273 0.000000 19.000004 0.000000 0.222845 0.000000
0.001392 -1.684254 -0.010950 -0.166757 0.000185 0.389603 0.230243 0.000000 19.000004 0.000012 0.222845 0.000004
0.002783 -1.641207 -0.010671 -0.020618 0.000300 0.243464 0.230320 0.000000 19.000004 0.000020 0.222845 0.000006
0.004172 -1.604534 -0.010432 0.337970 0.000246 -0.115125 0.230215 0.000000 19.000004 0.000016 0.222845 0.000005
0.005564 -1.571583 -0.010218 0.843022 -0.000048 -0.620177 0.225740 0.000000 19.000004 -0.000003 0.222845 -0.000001
0.006956 -1.458377 -0.009482 1.985896 -0.000722 -1.421166 0.227164 0.000000 19.000004 -0.000047 0.564729 -0.000015
0.008347 -1.399383 -0.009098 3.287666 -0.001731 -2.130405 0.226443 0.000000 19.000004 -0.000114 1.157261 -0.000035
0.009736 -1.331353 -0.008656 4.766644 -0.003048 -2.784414 0.229835 0.000000 19.000004 -0.000200 1.982230 -0.000062
0.011128 -1.210708 -0.007872 6.719798 -0.004416 -2.887606 0.228302 0.000000 18.997505 -0.000290 3.832192 -0.000090
0.012520 -1.138961 -0.007405 8.725125 -0.006111 -3.576705 0.230404 0.000000 19.000004 -0.000402 5.148420 -0.000125
0.013911 -1.023632 -0.006655 11.038714 -0.007713 -3.380650 0.229699 0.000000 19.000004 -0.000507 7.658064 -0.000158
0.015300 -0.986425 -0.006413 13.075347 -0.009857 -4.535585 0.230600 0.000000 19.000004 -0.000648 8.539761 -0.000202
0.016692 -0.879068 -0.005715 15.323286 -0.011862 -4.231100 0.229963 0.000000 18.997505 -0.000780 11.092185 -0.000243
0.018084 -0.788188 -0.005125 17.616579 -0.013713 -3.907201 0.230612 0.000000 19.000004 -0.000902 13.709378 -0.000281
0.019475 -0.713778 -0.004641 19.818978 -0.015598 -3.977280 0.229690 0.000000 19.000004 -0.001026 15.841698 -0.000320
