t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
0.108499 5.983899 0.039070 0.108499 0.108499 -0.414104 0.000528 0.616685 19.000004 0.000000 0.108499 0.108499
0.109890 6.061497 0.039577 0.109890 0.109890 -0.405732 0.000532 0.619140 19.002502 -0.000022 0.109890 0.109890
0.111277 6.119960 0.039958 0.111277 0.111277 -0.158381 0.000529 0.620986 19.002502 -0.000030 0.111277 0.111277
0.112673 6.251765 0.040819 0.112673 0.112673 -0.207164 0.000529 0.625133 18.997505 -0.000041 0.112673 0.112673
0.114064 6.352212 0.041475 0.114064 0.114064 -0.282216 0.000529 0.628264 18.997505 -0.000056 0.114064 0.114064
0.115447 6.440440 0.042051 0.115447 0.115447 -0.302061 0.000529 0.631038 18.995007 -0.000073 0.115447 0.115447
0.116840 6.542481 0.042717 0.116840 0.116840 -0.367048 0.000526 0.634184 18.995007 -0.000092 0.116840 0.116840
0.118235 6.629115 0.043283 0.118235 0.118235 -0.360832 0.000527 0.636801 18.997505 -0.000112 0.118235 0.118235
0.119627 6.704584 0.043775 0.119627 0.119627 -0.221148 0.000530 0.639100 19.000004 -0.000123 0.119627 0.119627
0.121018 6.842234 0.044674 0.121018 0.121018 -0.392518 0.000528 0.643273 19.002502 -0.000144 0.121018 0.121018
0.122410 6.893259 0.045007 0.122410 0.122410 -0.257526 0.000528 0.644809 19.005001 -0.000158 0.122410 0.122410
0.123801 6.981482 0.045583 0.123801 0.123801 -0.110814 0.000531 0.647469 19.002502 -0.000164 0.123801 0.123801
0.125192 7.106912 0.046402 0.125192 0.125192 -0.198117 0.000530 0.651235 18.997505 -0.000175 0.125192 0.125192
0.126582 7.211611 0.047086 0.126582 0.126582 -0.335745 0.000527 0.654393 18.995007 -0.000193 0.126582 0.126582
0.127974 7.272732 0.047485 0.127974 0.127974 -0.226128 0.000529 0.656164 18.997505 -0.000205 0.127974 0.127974
0.129361 7.362549 0.048071 0.129361 0.129361 -0.112864 0.000532 0.658812 19.000004 -0.000211 0.129361 0.129361
0.130757 7.466718 0.048752 0.130757 0.130757 -0.085049 0.000528 0.661871 19.002502 -0.000215 0.130757 0.130757
0.132147 7.552817 0.049314 0.132147 0.132147 -0.007249 0.000530 0.664392 19.002502 -0.000216 0.132147 0.132147
0.133532 7.656457 0.049990 0.133532 0.133532 -0.008746 0.000529 0.667467 18.995007 -0.000216 0.133532 0.133532
0.134927 7.738835 0.050528 0.134927 0.134927 0.065851 0.000529 0.669860 18.995007 -0.000213 0.134927 0.134927
0.136320 7.844068 0.051215 0.136320 0.136320 0.050735 0.000528 0.672905 18.995007 -0.000210 0.136320 0.136320
0.137711 7.926975 0.051757 0.137711 0.137711 0.112534 0.000528 0.675252 18.997505 -0.000204 0.137711 0.137711
0.139101 8.029021 0.052423 0.139101 0.139101 0.104053 0.000529 0.678181 18.997505 -0.000198 0.139101 0.139101
0.140494 8.113527 0.052975 0.140494 0.140494 0.166744 0.000533 0.680581 19.005001 -0.000190 0.140494 0.140494
0.141884 8.198028 0.053526 0.141884 0.141884 0.282918 0.000528 0.682995 19.002502 -0.000174 0.141884 0.141884
0.143274 8.288914 0.054120 0.143274 0.143274 0.408560 0.000528 0.685589 18.997505 -0.000152 0.143274 0.143274
0.144665 8.403179 0.054866 0.144665 0.144665 0.343661 0.000528 0.688865 18.995007 -0.000134 0.144665 0.144665
0.146051 8.489278 0.055428 0.146051 0.146051 0.343203 0.000528 0.691293 18.995007 -0.000116 0.146051 0.146051
0.147446 8.563688 0.055914 0.147446 0.147446 0.466920 0.000528 0.693342 18.997505 -0.000091 0.147446 0.147446
0.148838 8.674232 0.056636 0.148838 0.148838 0.450395 0.000527 0.696427 19.002502 -0.000067 0.148838 0.148838
0.150229 8.772026 0.057274 0.150229 0.150229 0.407943 0.000532 0.699151 19.005001 -0.000045 0.150229 0.150229
0.151616 8.847495 0.057767 0.151616 0.151616 0.490815 0.000528 0.701258 19.002502 -0.000018 0.151616 0.151616
