t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
10.669194 153.291889 1.000000 10.669194 10.669194 -53.505687 0.000527 3999111.994940 18.997505 3.942817 10.669194 10.669194
10.670593 153.254152 0.999754 10.670593 10.670593 -53.379472 0.000526 16242.725236 19.000004 3.940142 10.670593 10.670593
10.671983 153.253623 0.999750 10.671983 10.671983 -53.282678 0.000528 16017.776568 19.002502 3.937473 10.671983 10.671983
10.673374 153.256280 0.999768 10.673374 10.673374 -53.220627 0.000528 17213.413975 19.002502 3.934806 10.673374 10.673374
10.674766 153.278601 0.999913 10.674766 10.674766 -53.322470 0.000527 46130.226836 19.002502 3.932135 10.674766 10.674766
10.676156 153.253623 0.999750 10.676156 10.676156 -53.224250 0.000527 16017.776568 19.002502 3.929468 10.676156 10.676156
10.677547 153.254687 0.999757 10.677547 10.677547 -53.158597 0.000528 16476.108024 19.000004 3.926804 10.677547 10.677547
10.678932 153.255216 0.999761 10.678932 10.678932 -53.107947 0.000528 16714.201991 18.997505 3.924143 10.678932 10.678932
10.680328 153.288702 0.999979 10.680328 10.680328 -53.298020 0.000528 192349.174232 18.995007 3.921473 10.680328 10.680328
10.681719 153.253093 0.999747 10.681719 10.681719 -53.195141 0.000527 15799.374477 18.997505 3.918808 10.681719 10.681719
10.683112 153.251499 0.999737 10.683112 10.683112 -53.111057 0.000528 15175.783856 19.000004 3.916147 10.683112 10.683112
10.684502 153.254687 0.999757 10.684502 10.684502 -53.064984 0.000527 16476.108024 19.000004 3.913488 10.684502 10.684502
10.685893 153.255751 0.999764 10.685893 10.685893 -53.034211 0.000527 16961.139253 19.002502 3.910830 10.685893 10.685893
10.687283 153.253623 0.999750 10.687283 10.687283 -52.994876 0.000528 16017.776568 19.002502 3.908175 10.687283 10.687283
10.688671 153.254687 0.999757 10.688671 10.688671 -52.971996 0.000529 16476.248938 18.997505 3.905521 10.688671 10.688671
10.690068 153.265847 0.999830 10.690068 10.690068 -53.031542 0.000527 23537.912225 18.997505 3.902864 10.690068 10.690068
10.691457 153.253093 0.999747 10.691457 10.691457 -52.989479 0.000529 15799.239352 19.000004 3.900209 10.691457 10.691457
10.692847 153.281793 0.999934 10.692847 10.692847 -53.158872 0.000526 60715.986603 19.002502 3.897546 10.692847 10.692847
10.694239 153.254152 0.999754 10.694239 10.694239 -53.096985 0.000527 16242.864154 18.997505 3.894885 10.694239 10.694239
10.695630 153.274350 0.999886 10.695630 10.695630 -53.195345 0.000528 34951.386056 18.995007 3.892220 10.695630 10.695630
10.697021 153.253093 0.999747 10.697021 10.697021 -53.121851 0.000527 15799.104230 19.002502 3.889558 10.697021 10.697021
10.698406 153.253093 0.999747 10.698406 10.698406 -53.068787 0.000526 15799.104230 19.002502 3.886899 10.698406 10.698406
10.699802 153.248842 0.999719 10.699802 10.699802 -52.996566 0.000526 14238.856026 18.997505 3.884244 10.699802 10.699802
10.701195 153.253623 0.999750 10.701195 10.701195 -52.973101 0.000528 16019.048515 18.995007 3.881590 10.701195 10.701195
10.702585 153.260002 0.999792 10.702585 10.702585 -52.997882 0.000528 19222.881617 19.000004 3.878934 10.702585 10.702585
10.703975 153.257874 0.999778 10.703975 10.703975 -53.002632 0.000529 18019.959936 19.002502 3.876279 10.703975 10.703975
10.705368 153.253093 0.999747 10.705368 10.705368 -52.975389 0.000526 15799.104230 19.002502 3.873624 10.705368 10.705368
10.706759 153.251499 0.999737 10.706759 10.706759 -52.945087 0.000528 15175.913648 18.997505 3.870972 10.706759 10.706759
10.708144 153.252029 0.999740 10.708144 10.708144 -52.926176 0.000527 15378.521927 18.995007 3.868320 10.708144 10.708144
10.709542 153.248842 0.999719 10.709542 10.709542 -52.890376 0.000527 14238.856026 18.997505 3.865670 10.709542 10.709542
10.710932 153.256810 0.999771 10.710932 10.710932 -52.919384 0.000528 17473.604487 18.997505 3.863018 10.710932 10.710932
10.712323 153.251499 0.999737 10.712323 10.712323 -52.905775 0.000527 15175.654065 19.002502 3.860367 10.712323 10.712323
10.713714 153.251499 0.999737 10.713714 10.713714 -52.898471 0.000526 15175.654065 19.002502 3.857717 10.713714 10.713714
10.715104 153.253623 0.999750 10.715104 10.715104 -52.909328 0.000528 16019.048515 18.995007 3.855066 10.715104 10.715104
10.716497 153.252559 0.999743 10.716497 10.716497 -52.912164 0.000527 15585.615354 18.995007 3.852415 10.716497 10.716497
10.717880 153.241398 0.999671 10.717880 10.717880 -52.839718 0.000528 12139.342752 19.000004 3.849767 10.717880 10.717880
10.719278 153.252559 0.999743 10.719278 10.719278 -52.863834 0.000527 15584.377823 19.002502 3.847119 10.719278 10.719278
10.720668 153.254152 0.999754 10.720668 10.720668 -52.893375 0.000527 16242.586321 19.002502 3.844468 10.720668 10.720668
10.722061 153.246184 0.999702 10.722061 10.722061 -52.864160 0.000525 13410.774925 18.997505 3.841820 10.722061 10.722061
10.723450 153.252559 0.999743 10.723450 10.723450 -52.889355 0.000528 15584.644397 18.997505 3.839170 10.723450 10.723450
10.724843 153.250965 0.999733 10.724843 10.724843 -52.899090 0.000526 14978.621002 18.995007 3.836519 10.724843 10.724843
10.726232 153.251499 0.999737 10.726232 10.726232 -52.913406 0.000527 15175.913648 18.997505 3.833868 10.726232 10.726232
10.727618 153.245650 0.999698 10.727618 10.727618 -52.886518 0.000529 13255.625253 19.000004 3.831218 10.727618 10.727618
10.729014 153.246714 0.999705 10.729014 10.729014 -52.876008 0.000527 13567.774983 19.002502 3.828569 10.729014 10.729014
10.730407 153.244056 0.999688 10.730407 10.730407 -52.850991 0.000528 12814.040502 18.997505 3.825921 10.730407 10.730407
