t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
0.159966 8.853870 0.057622 0.159966 0.159966 2.122399 0.755480 0.700648 19.000004 0.000000 0.159966 0.159966
0.161358 8.919242 0.058048 0.161358 0.161358 2.190544 0.749015 0.702459 19.000004 0.000061 0.161358 0.161358
0.162750 9.020224 0.058705 0.162750 0.162750 2.174109 0.751110 0.705248 19.000004 0.000122 0.162750 0.162750
0.164139 9.103666 0.059248 0.164139 0.164139 2.209872 0.754640 0.707546 19.000004 0.000184 0.164139 0.164139
0.165530 9.206241 0.059916 0.165530 0.165530 2.157836 0.756201 0.710362 19.000004 0.000245 0.165530 0.165530
0.166922 9.293400 0.060483 0.166922 0.166922 2.139864 0.755179 0.712748 19.000004 0.000305 0.166922 0.166922
0.168314 9.388007 0.061099 0.168314 0.168314 2.098719 0.755551 0.715331 19.000004 0.000364 0.168314 0.168314
0.169702 9.477294 0.061680 0.169702 0.169702 2.078541 0.756201 0.717762 19.000004 0.000422 0.169702 0.169702
0.171094 9.543726 0.062112 0.171094 0.171094 2.219736 0.758313 0.719566 19.000004 0.000484 0.171094 0.171094
0.172486 9.643644 0.062762 0.172486 0.172486 2.269168 0.759111 0.722273 19.000004 0.000548 0.172486 0.172486
0.173878 9.719647 0.063257 0.173878 0.173878 2.406554 0.759706 0.724327 19.000004 0.000615 0.173878 0.173878
0.175267 9.799368 0.063776 0.175267 0.175267 2.587330 0.760006 0.726476 19.000004 0.000688 0.175267 0.175267
0.176658 9.918948 0.064554 0.176658 0.176658 2.537466 0.759926 0.729692 19.000004 0.000759 0.176658 0.176658
0.178050 10.019930 0.065211 0.178050 0.178050 2.425807 0.758810 0.732399 19.000004 0.000827 0.178050 0.178050
0.179444 10.108707 0.065789 0.179444 0.179444 2.344675 0.758128 0.734773 19.000004 0.000892 0.179444 0.179444
0.180833 10.202245 0.066398 0.180833 0.180833 2.256183 0.756858 0.737269 19.000004 0.000956 0.180833 0.180833
0.182225 10.280906 0.066910 0.182225 0.182225 2.261736 0.753641 0.739363 19.000004 0.001019 0.182225 0.182225
0.183614 10.362750 0.067442 0.183614 0.183614 2.321347 0.754611 0.741537 19.000004 0.001084 0.183614 0.183614
0.185006 10.467983 0.068127 0.185006 0.185006 2.268291 0.757221 0.744319 19.002502 0.001148 0.185006 0.185006
0.186397 10.548767 0.068653 0.186397 0.186397 2.289606 0.755096 0.746456 19.002502 0.001212 0.186397 0.186397
0.187786 10.651342 0.069321 0.187786 0.187786 2.223950 0.754670 0.749168 19.000004 0.001274 0.187786 0.187786
0.189178 10.735319 0.069867 0.189178 0.189178 2.213610 0.751685 0.751379 19.000004 0.001336 0.189178 0.189178
0.190569 10.843205 0.070569 0.190569 0.190569 2.086342 0.751090 0.754213 19.000004 0.001395 0.190569 0.190569
0.191961 10.919738 0.071067 0.191961 0.191961 2.076650 0.752626 0.756213 19.002502 0.001453 0.191961 0.191961
0.193350 11.019655 0.071718 0.193350 0.193350 2.004209 0.751023 0.758833 19.000004 0.001509 0.193350 0.193350
0.194741 11.097252 0.072223 0.194741 0.194741 2.031964 0.752637 0.760853 19.002502 0.001566 0.194741 0.194741
0.196133 11.191325 0.072835 0.196133 0.196133 2.028143 0.752569 0.763311 19.000004 0.001623 0.196133 0.196133
0.197525 11.271045 0.073354 0.197525 0.197525 2.096866 0.751149 0.765385 19.000004 0.001681 0.197525 0.197525
0.198914 11.355017 0.073900 0.198914 0.198914 2.194354 0.752722 0.767566 19.000004 0.001743 0.198914 0.198914
0.200305 11.468223 0.074637 0.200305 0.200305 2.120457 0.754588 0.770500 19.000004 0.001802 0.200305 0.200305
0.201705 11.549007 0.075163 0.201705 0.201705 2.124553 0.754382 0.772590 19.000004 0.001862 0.201705 0.201705
0.203089 11.647331 0.075803 0.203089 0.203089 2.073162 0.757246 0.775129 19.000004 0.001920 0.203089 0.203089
0.204478 11.740869 0.076411 0.204478 0.204478 2.010523 0.756369 0.777540 19.000004 0.001976 0.204478 0.204478
0.205869 11.834942 0.077024 0.205869 0.205869 1.935010 0.758071 0.779961 19.000004 0.002031 0.205869 0.205869
0.207261 11.919443 0.077574 0.207261 0.207261 1.912070 0.752783 0.782131 19.000004 0.002084 0.207261 0.207261
0.208652 11.985880 0.078006 0.208652 0.208652 2.053698 0.749238 0.783829 19.002502 0.002142 0.208652 0.208652
0.210044 12.088985 0.078677 0.210044 0.210044 2.080274 0.751421 0.786476 19.000004 0.002200 0.210044 0.210044
0.211433 12.196876 0.079379 0.211433 0.211433 1.985874 0.755376 0.789234 19.000004 0.002256 0.211433 0.211433
0.212825 12.275532 0.079891 0.212825 0.212825 1.987043 0.747683 0.791242 19.000004 0.002311 0.212825 0.212825
0.214216 12.386080 0.080611 0.214216 0.214216 1.851870 0.750655 0.794059 19.000004 0.002363 0.214216 0.214216
0.215608 12.463677 0.081116 0.215608 0.215608 1.829172 0.751934 0.796026 19.002502 0.002415 0.215608 0.215608
0.216997 12.567317 0.081790 0.216997 0.216997 1.721464 0.750357 0.798666 19.000004 0.002463 0.216997 0.216997
0.218389 12.661384 0.082402 0.218389 0.218389 1.610583 0.750980 0.801045 19.002502 0.002508 0.218389 0.218389
0.219781 12.738982 0.082907 0.219781 0.219781 1.607658 0.748769 0.803018 19.000004 0.002553 0.219781 0.219781
0.221172 12.807012 0.083350 0.221172 0.221172 1.754766 0.754156 0.804739 19.000004 0.002602 0.221172 0.221172
0.222561 12.905331 0.083990 0.222561 0.222561 1.820522 0.758289 0.807217 19.002502 0.002653 0.222561 0.222561
0.223956 12.989308 0.084536 0.223956 0.223956 1.918030 0.757872 0.809343 19.000004 0.002707 0.223956 0.223956
0.225358 13.092413 0.085207 0.225358 0.225358 1.910297 0.758970 0.811934 19.002502 0.002761 0.225358 0.225358
0.226736 13.209335 0.085968 0.226736 0.226736 1.727795 0.757057 0.814883 19.000004 0.002809 0.226736 0.226736
0.228125 13.248666 0.086224 0.228125 0.228125 1.921981 0.752920 0.815872 19.000004 0.002863 0.228125 0.228125
0.229517 13.340081 0.086819 0.229517 0.229517 2.066605 0.755616 0.818167 19.000004 0.002921 0.229517 0.229517
0.230908 13.473479 0.087688 0.230908 0.230908 1.894764 0.750760 0.821505 19.002502 0.002974 0.230908 0.230908
0.232300 13.537258 0.088103 0.232300 0.232300 1.935060 0.754368 0.823109 19.000004 0.003028 0.232300 0.232300
0.233689 13.663748 0.088926 0.233689 0.233689 1.722505 0.759218 0.826272 19.000004 0.003076 0.233689 0.233689
