Prel	liquid_fraction
-0.0099374	-0.137041
-0.0099233	-0.137041
-0.0101069	-0.137033
-0.00974319	-0.137041
-0.00910401	-0.137073
-0.00816819	-0.137138
-0.0076102	-0.137212
-0.00692512	-0.137298
-0.00620472	-0.137396
-0.0056962	-0.137493
-0.00460147	-0.137612
-0.00407529	-0.137726
-0.00337607	-0.137841
-0.00281104	-0.137951
-0.00215421	-0.138059
-0.00157153	-0.138161
-0.000875729	-0.138263
-0.000254213	-0.138361
0.000469739	-0.136901
0.00114775	-0.135535
0.00171984	-0.134255
0.00250736	-0.133063
0.00306179	-0.13195
0.00380689	-0.130915
0.00424126	-0.129946
0.0049193	-0.129041
0.00545252	-0.128191
0.00615175	-0.127396
0.00696399	-0.126661
0.00744072	-0.125974
0.00803399	-0.125331
0.00874735	-0.124732
0.00944302	-0.124177
0.00997272	-0.123659
0.0107179	-0.123178
0.011124	-0.122724
0.0120174	-0.122306
0.0124906	-0.121913
0.0132499	-0.12155
0.0137372	-0.121208
0.0143835	-0.120887
0.015284	-0.120595
0.0157324	-0.120323
0.0163151	-0.120066
0.0170073	-0.119827
0.0176041	-0.119603
0.0182433	-0.119392
0.0188189	-0.119191
0.0194863	-0.119001
0.0200302	-0.118819
0.0206976	-0.118645
0.0214604	-0.118484
0.0220289	-0.118332
0.0224209	-0.118179
0.0231908	-0.118032
0.0237346	-0.117887
0.0244268	-0.117747
0.0251366	-0.117615
0.0254438	-0.117477
0.0262949	-0.117344
0.026927	-0.117216
0.0275167	-0.117091
0.0281736	-0.116971
0.0288869	-0.116858
0.0294519	-0.116749
0.0300346	-0.116643
0.0307797	-0.116543
0.0312671	-0.116443
0.0320934	-0.116353
0.0325561	-0.116262
0.0331917	-0.116174
0.0337921	-0.116085
0.0345796	-0.116003
0.0350104	-0.11592
0.0357167	-0.115838
0.0363453	-0.115758
0.0369845	-0.11568
0.0373588	-0.115594
0.0381887	-0.11551
0.0388738	-0.115429
0.0394282	-0.11535
0.0399967	-0.115269
0.0407207	-0.11519
0.0412186	-0.115109
0.0418013	-0.115025
0.0426488	-0.114947
0.0432421	-0.114873
0.0437012	-0.114795
0.0443827	-0.114718
0.0449336	-0.114637
0.0453362	-0.114545
0.0461202	-0.114451
0.0468159	-0.114358
0.0473915	-0.114264
0.0478683	-0.114164
0.0484545	-0.114058
0.0490371	-0.113946
0.0500012	-0.113843
0.0503332	-0.113737
0.0509724	-0.113628
0.0516009	-0.113518
0.0522578	-0.113409
0.0528228	-0.113299
0.0534726	-0.11319
0.0540376	-0.11308
0.0547121	-0.112971
0.0552524	-0.11286
0.0560046	-0.112754
0.0563718	-0.112642
0.0572547	-0.112536
0.0577032	-0.112428
0.0585013	-0.112326
0.0592041	-0.112234
0.0596243	-0.11214
0.0601964	-0.112044
0.0608709	-0.11195
0.0614465	-0.111854
0.062128	-0.11176
0.0627919	-0.11167
0.0631733	-0.111574
0.0639432	-0.111479
0.0645788	-0.111386
0.0651262	-0.111292
0.0657266	-0.111197
0.0664011	-0.111103
0.0669415	-0.111008
0.0675524	-0.110911
0.0683328	-0.11082
0.0688908	-0.110732
0.0695229	-0.110647
0.0701692	-0.110565
0.0708402	-0.110489
0.0714475	-0.110417
0.0718325	-0.110339
0.0724681	-0.110257
0.073072	-0.110171
0.0737853	-0.110087
0.0743115	-0.11
0.0750107	-0.109914
0.0754733	-0.109824
0.0761443	-0.109732
0.0767764	-0.10964
0.0773662	-0.109547
0.0780477	-0.109457
0.0786092	-0.109366
0.0791778	-0.109273
0.0798735	-0.109182
0.0804562	-0.109092
0.0811942	-0.109007
0.0817239	-0.108924
0.0821406	-0.108834
0.0829811	-0.108748
0.0834684	-0.108661
0.0840617	-0.108571
0.0847539	-0.108484
0.0854425	-0.108401
0.0860075	-0.10832
0.0864313	-0.108233
0.0872541	-0.10815
0.0879357	-0.108073
0.0884901	-0.107999
0.0888962	-0.107919
0.0896378	-0.107839
0.0901675	-0.107756
0.0908314	-0.107674
0.0914106	-0.10759
0.0920957	-0.107508
0.0926536	-0.107426
0.093261	-0.107344
0.0938896	-0.107263
0.094557	-0.107184
0.0950938	-0.107105
0.0957436	-0.107027
0.0963439	-0.10695
0.0970361	-0.106877
0.0974492	-0.1068
0.0979507	-0.106714
0.0988018	-0.106632
0.0992079	-0.106544
0.0996811	-0.106447
0.10061	-0.106355
0.101083	-0.106261
0.101701	-0.106168
0.102185	-0.10607
0.102792	-0.105968
0.103612	-0.105871
0.103989	-0.10577
0.104664	-0.105669
0.105275	-0.105567
0.105896	-0.105467
0.106521	-0.105368
0.107051	-0.105268
0.107733	-0.105169
0.10822	-0.105068
0.108898	-0.104968
0.109541	-0.10487
0.110233	-0.104778
0.110667	-0.104683
0.111229	-0.104585
0.111762	-0.104482
0.112663	-0.104387
0.113139	-0.104294
0.11363	-0.104197
0.114411	-0.104105
0.114976	-0.104015
0.115371	-0.103919
0.116063	-0.103822
0.116897	-0.103733
0.117282	-0.103642
0.118126	-0.10356
0.118677	-0.103482
0.119351	-0.103412
0.119619	-0.103333
0.12034	-0.103253
0.120795	-0.103165
0.121523	-0.103076
0.122049	-0.102984
0.122815	-0.102896
0.123575	-0.102818
0.123977	-0.10274
0.124567	-0.102661
0.125206	-0.102583
0.125761	-0.102505
0.126403	-0.102427
0.127018	-0.102351
0.127519	-0.102272
0.128123	-0.102191
0.128709	-0.102107
0.129366	-0.102024
0.129928	-0.10194
0.130599	-0.101859
0.131171	-0.101778
0.131803	-0.101698
0.132357	-0.101619
0.132873	-0.101536
0.133544	-0.101453
0.134112	-0.101369
0.134783	-0.101288
0.135232	-0.101202
0.135769	-0.10111
0.13657	-0.101021
0.137022	-0.10093
0.137676	-0.100839
0.138265	-0.100748
0.138943	-0.100661
0.139515	-0.100575
0.139957	-0.100484
0.140737	-0.100397
0.141168	-0.100307
0.141853	-0.100217
0.142425	-0.100127
0.143209	-0.100045
0.143732	-0.0999656
0.144149	-0.0998819
0.144777	-0.099796
0.145628	-0.0997189
0.146352	-0.0996541
0.146571	-0.0995835
0.147168	-0.0995086
0.14774	-0.0994293
0.148496	-0.099353
0.148944	-0.0992731
0.14946	-0.099187
0.150194	-0.0991019
0.150699	-0.099014
0.15148	-0.0989316
0.1519	-0.0988463
0.152469	-0.0987581
0.15309	-0.0986686
0.153708	-0.0985793
0.154255	-0.0984885
0.154785	-0.0983938
0.155357	-0.0982955
0.156081	-0.0981998
0.156639	-0.0981049
0.157183	-0.0980087
0.157677	-0.0979078
