Prel	liquid_fraction
0.998353	1.18809
0.998314	1.18731
0.998349	1.18653
0.998335	1.18574
0.998318	1.18496
0.998251	1.18417
0.998268	1.18339
0.998208	1.18261
0.998293	1.18182
0.99818	1.18104
0.99806	1.18027
0.998194	1.17949
0.998222	1.17871
0.998029	1.17794
0.998099	1.17717
0.998067	1.1764
0.998085	1.17563
0.998081	1.17486
0.998159	1.17409
0.998261	1.17331
0.998145	1.17253
0.99812	1.17175
0.998198	1.17097
0.998177	1.17018
0.998071	1.1694
0.998067	1.16861
0.998081	1.16783
0.998117	1.16704
0.998088	1.16626
0.998053	1.16547
0.998032	1.16469
0.99805	1.1639
0.998036	1.16312
0.998053	1.16233
0.998029	1.16155
0.997983	1.16077
0.997962	1.15998
0.998011	1.1592
0.997993	1.15842
0.998014	1.15763
0.99793	1.15685
0.997962	1.15606
0.997972	1.15528
0.997933	1.1545
0.997955	1.15371
0.997947	1.15293
0.997937	1.15214
0.997962	1.15136
0.997842	1.15057
0.997881	1.14979
0.997919	1.14901
0.997873	1.14822
0.997923	1.14744
0.99793	1.14665
0.997725	1.14587
0.997736	1.14509
0.997669	1.14432
0.997919	1.14354
0.997676	1.14276
0.997648	1.14199
0.997676	1.14122
0.997697	1.14046
0.99768	1.13969
0.997937	1.13891
0.997771	1.13813
0.997912	1.13735
0.99768	1.13656
0.997683	1.13578
0.997666	1.135
0.997937	1.13421
0.997919	1.13342
0.997666	1.13263
0.997687	1.13184
0.997687	1.13105
0.997676	1.13026
0.997768	1.12947
0.997676	1.12868
0.99768	1.1279
0.997673	1.12711
0.997658	1.12632
0.997655	1.12553
0.997592	1.12475
0.997563	1.12396
0.997542	1.12318
0.99751	1.12241
0.9975	1.12163
0.997405	1.12086
0.997317	1.1201
0.997285	1.11934
0.997264	1.11859
0.997334	1.11784
0.997253	1.11709
0.99726	1.11634
0.997221	1.1156
0.997239	1.11485
0.997253	1.11411
0.997207	1.11337
0.997264	1.11262
0.997098	1.11188
0.99726	1.11113
0.997225	1.11038
0.997197	1.10963
0.997151	1.10888
0.997109	1.10813
0.997112	1.10738
0.997102	1.10663
0.997063	1.10588
0.996989	1.10514
0.996865	1.1044
0.996901	1.10366
0.996823	1.10292
0.996767	1.10219
0.996784	1.10147
0.996774	1.10074
0.996717	1.10002
0.99664	1.0993
0.996686	1.09858
0.996672	1.09786
0.996661	1.09714
0.996436	1.09643
0.996527	1.09572
0.996513	1.09501
0.996407	1.0943
0.9964	1.0936
0.996365	1.09289
0.996291	1.09219
0.996189	1.0915
0.996196	1.09081
0.99615	1.09012
0.996115	1.08943
0.996073	1.08875
0.996034	1.08806
0.996027	1.08738
0.99602	1.0867
0.996023	1.08602
0.996023	1.08533
0.995998	1.08464
0.995932	1.08395
0.995914	1.08326
0.995773	1.08257
0.995681	1.08189
0.995628	1.08121
0.995533	1.08054
0.995495	1.07987
0.995466	1.07921
0.995463	1.07854
0.995466	1.07788
0.995473	1.07721
0.995445	1.07655
0.995375	1.07588
0.995184	1.07522
0.995149	1.07456
0.995068	1.07391
0.99498	1.07326
0.99486	1.07262
0.994804	1.07198
0.994952	1.07135
0.99486	1.07071
0.994793	1.07008
0.994716	1.06944
0.994635	1.06881
0.994673	1.06818
0.994504	1.06755
0.994487	1.06693
0.99442	1.0663
0.994268	1.06569
0.994289	1.06507
0.994222	1.06446
0.99419	1.06384
0.994208	1.06323
0.994226	1.06261
0.994099	1.06199
0.993951	1.06138
0.993831	1.06077
0.993835	1.06016
0.993813	1.05955
0.993644	1.05895
0.993806	1.05834
0.993722	1.05773
0.993549	1.05713
0.993475	1.05653
0.993405	1.05593
0.993285	1.05533
0.993112	1.05474
0.993112	1.05416
0.993126	1.05358
0.992985	1.053
0.992968	1.05242
0.992943	1.05185
0.992809	1.05127
0.992654	1.0507
0.992707	1.05013
0.992569	1.04957
0.992566	1.049
0.992548	1.04844
0.992425	1.04787
0.992298	1.04731
0.992171	1.04675
0.99215	1.0462
0.992153	1.04564
0.991882	1.04509
0.991886	1.04455
0.991822	1.044
0.991773	1.04346
0.991551	1.04292
0.991424	1.0424
0.99147	1.04187
0.991322	1.04134
0.991301	1.04082
0.9911	1.04031
0.991011	1.0398
0.990976	1.03929
0.990839	1.03878
0.990624	1.03829
0.990634	1.03779
0.990525	1.03731
0.990462	1.03682
0.9903	1.03634
0.990088	1.03587
0.99007	1.0354
0.990063	1.03493
0.989873	1.03446
0.989796	1.034
0.989563	1.03355
0.989655	1.0331
0.989482	1.03265
0.989235	1.0322
0.98907	1.03177
0.988981	1.03134
0.988971	1.03092
0.988872	1.03049
0.988675	1.03007
0.98858	1.02966
0.988541	1.02925
0.988407	1.02884
0.988153	1.02843
0.988016	1.02804
0.987759	1.02765
0.98773	1.02727
0.987667	1.02689
0.987512	1.02652
0.987272	1.02616
0.987251	1.02579
0.986994	1.02544
0.98686	1.02509
0.986772	1.02475
0.986518	1.02442
0.986497	1.02409
0.986303	1.02376
0.986098	1.02344
0.985957	1.02313
0.985936	1.02282
0.985672	1.02252
0.985513	1.02222
0.985482	1.02192
0.985196	1.02163
0.985073	1.02135
0.985066	1.02106
0.984756	1.02078
0.984615	1.02051
0.984354	1.02024
0.984266	1.01998
0.984012	1.01973
0.983896	1.01948
0.983727	1.01924
0.983575	1.01901
0.983374	1.01878
0.983166	1.01855
0.983053	1.01833
0.982905	1.01812
0.982694	1.01791
0.982408	1.01771
0.982412	1.01751
0.982222	1.01731
0.981947	1.01712
0.981894	1.01693
0.98163	1.01675
0.9814	1.01657
0.981365	1.01639
0.981101	1.01622
0.98097	1.01605
0.980833	1.01588
0.980593	1.01572
0.980322	1.01556
0.980153	1.01541
0.980103	1.01526
0.979836	1.01512
0.979525	1.01498
0.97942	1.01484
0.9793	1.01471
0.979043	1.01459
0.978986	1.01446
0.978782	1.01433
0.978507	1.01421
0.978443	1.01409
0.978186	1.01397
0.978035	1.01385
0.977753	1.01374
0.977732	1.01363
0.977495	1.01352
0.97734	1.01341
0.977206	1.01329
0.976882	1.01319
0.97678	1.01308
0.976769	1.01297
0.976463	1.01286
0.976086	1.01275
0.975955	1.01265
0.975924	1.01255
0.975606	1.01246
0.975416	1.01237
0.97524	1.01228
0.975155	1.01219
0.974901	1.0121
0.974838	1.01201
0.974683	1.01191
0.974457	1.01182
0.974295	1.01172
0.974274	1.01162
0.973989	1.01152
0.973883	1.01142
0.973707	1.01131
0.973545	1.0112
0.973231	1.01109
0.97315	1.01099
0.972967	1.01088
0.972755	1.01077
0.972674	1.01066
0.972413	1.01055
0.972283	1.01045
0.971994	1.01034
0.972008	1.01024
0.971835	1.01013
0.971529	1.01002
0.971416	1.00991
0.971296	1.0098
0.971074	1.0097
0.971	1.00959
0.970746	1.00947
0.970524	1.00937
0.97032	1.00926
0.970292	1.00915
0.970017	1.00905
0.969752	1.00895
0.969463	1.00885
0.969449	1.00876
0.969241	1.00867
0.969012	1.00858
0.968991	1.00849
0.968649	1.00841
0.968526	1.00832
0.968247	1.00825
0.968219	1.00816
0.968061	1.00808
0.967825	1.008
0.96768	1.00792
0.967476	1.00784
0.967225	1.00776
0.967222	1.00768
0.966884	1.0076
0.96681	1.00752
0.966552	1.00745
0.966464	1.00737
0.966189	1.00729
0.966133	1.00721
0.965978	1.00713
0.965685	1.00705
0.965319	1.00699
0.965319	1.00692
0.965262	1.00684
0.964892	1.00677
0.964783	1.00671
0.964596	1.00664
0.964455	1.00657
0.964314	1.0065
0.964286	1.00643
0.963969	1.00635
0.963676	1.00628
0.963659	1.00621
0.96343	1.00614
0.963165	1.00607
0.963197	1.00599
0.962869	1.00592
0.962672	1.00585
0.962577	1.00578
0.962365	1.00571
0.962164	1.00564
0.961995	1.00557
0.961844	1.0055
0.961562	1.00544
0.961385	1.00538
0.961171	1.00532
0.96103	1.00527
0.960744	1.00522
0.960741	1.00517
0.960589	1.00511
0.960342	1.00506
0.960198	1.00501
0.95994	1.00495
0.959782	1.0049
0.959725	1.00485
0.959465	1.0048
0.95919	1.00475
0.959059	1.0047
0.958873	1.00466
0.958591	1.00462
0.95827	1.00458
0.958245	1.00455
0.957942	1.00453
0.957861	1.0045
0.957748	1.00448
0.957459	1.00446
0.957315	1.00443
0.957107	1.00441
0.95692	1.00439
0.956895	1.00437
0.956596	1.00435
0.956314	1.00433
0.956198	1.00431
0.956085	1.00429
0.955792	1.00427
0.95562	1.00426
0.955398	1.00424
0.955211	1.00423
0.954929	1.00423
0.954816	1.00422
0.954647	1.00422
0.954407	1.00422
0.954386	1.00421
0.95403	1.00421
0.953759	1.00422
0.953716	1.00422
0.95359	1.00422
0.953262	1.00423
0.953149	1.00423
0.953008	1.00423
0.952737	1.00423
0.952458	1.00424
0.952426	1.00425
0.952166	1.00426
0.951958	1.00427
0.951908	1.00427
0.95163	1.00428
0.9515	1.00428
0.951246	1.00429
0.951108	1.00429
0.951048	1.00429
0.950678	1.00429
0.950488	1.0043
0.950259	1.00431
0.950259	1.00431
0.950118	1.00431
0.94984	1.00431
0.949572	1.00431
0.949445	1.00431
0.949202	1.00432
0.949166	1.00432
0.949078	1.00431
0.948772	1.00431
0.948528	1.0043
0.948486	1.0043
0.948254	1.00429
0.947968	1.00428
0.947919	1.00428
0.947718	1.00427
0.947549	1.00426
0.947394	1.00425
0.947306	1.00423
0.947101	1.00422
0.94672	1.0042
0.946724	1.00419
0.94659	1.00417
0.946319	1.00415
0.946315	1.00413
0.946114	1.0041
0.945885	1.00407
0.945762	1.00404
0.945624	1.00401
0.945423	1.00397
0.945187	1.00394
0.94511	1.0039
0.944983	1.00386
0.944666	1.00382
0.944528	1.00379
0.944518	1.00375
0.94426	1.0037
0.944102	1.00366
0.943848	1.00362
0.943771	1.00358
0.943499	1.00354
0.943443	1.0035
0.943316	1.00345
0.943062	1.00341
0.942946	1.00337
0.942861	1.00332
0.94266	1.00327
0.942474	1.00322
0.942223	1.00317
0.942061	1.00312
0.941998	1.00308
0.941807	1.00303
0.941624	1.00298
0.941494	1.00293
0.941367	1.00288
0.941117	1.00283
0.941198	1.00277
0.940821	1.00271
0.940814	1.00265
0.940532	1.0026
0.940419	1.00254
0.940204	1.00248
0.940038	1.00242
0.939802	1.00236
0.939739	1.00231
0.939615	1.00225
0.939548	1.00219
0.939175	1.00214
0.939189	1.00208
0.93891	1.00202
0.93891	1.00196
0.938713	1.00189
0.938558	1.00183
0.938325	1.00176
0.938153	1.0017
0.938061	1.00163
0.937952	1.00157
0.937666	1.0015
0.937504	1.00144
0.937508	1.00138
0.937254	1.00131
0.937187	1.00124
0.93699	1.00118
0.936842	1.00111
0.93682	1.00103
0.936577	1.00096
0.936415	1.00088
0.936271	1.0008
0.936274	1.00072
0.936133	1.00063
0.935978	1.00054
0.935985	1.00044
0.935887	1.00033
0.935675	1.00021
0.935534	1.0001
0.935464	0.999973
0.935354	0.999844
0.935189	0.999712
0.935182	0.999573
0.935164	0.999423
0.935097	0.999263
0.935041	0.999093
0.935002	0.998911
0.934815	0.998721
0.934685	0.998526
0.934755	0.998319
0.934604	0.998105
0.934621	0.99788
0.934371	0.99765
0.934607	0.997406
0.934477	0.997149
0.934417	0.996883
0.934357	0.996606
0.934301	0.996319
0.934265	0.996022
0.934223	0.995716
0.934138	0.995402
0.934124	0.995078
0.934202	0.994742
0.934026	0.994399
0.934209	0.99404
0.934071	0.993672
0.933941	0.993297
0.933948	0.992915
0.933941	0.992525
0.93386	0.992129
0.933871	0.991724
0.933811	0.991314
0.933835	0.990895
0.933719	0.990472
0.93367	0.990045
0.933529	0.989618
0.933645	0.989185
0.933543	0.988748
0.933462	0.98831
0.933444	0.987869
0.933462	0.987423
0.933536	0.986969
0.933529	0.986508
0.933398	0.986043
0.933367	0.985575
0.933367	0.985102
0.933367	0.984625
0.93337	0.984142
0.933367	0.983653
0.933381	0.983158
0.933314	0.982658
0.933374	0.982152
0.933127	0.981648
0.933381	0.981135
0.93336	0.980615
0.933279	0.980091
0.933226	0.979564
0.933176	0.979036
0.933138	0.978507
0.933159	0.977976
0.933088	0.977445
0.933106	0.976911
0.933078	0.976377
0.933064	0.97584
0.933035	0.975303
0.933106	0.974761
0.932982	0.974219
0.933035	0.973675
0.933046	0.973127
0.932997	0.972577
0.933042	0.972024
0.933032	0.971467
0.932965	0.970909
0.932993	0.970349
0.932993	0.969785
0.932982	0.96922
0.932908	0.968654
0.932954	0.968086
0.932993	0.967514
0.932958	0.966939
0.932997	0.966361
0.932954	0.965781
0.93287	0.965202
0.932789	0.964625
0.932887	0.964047
0.932951	0.963465
0.932947	0.962879
0.932968	0.962289
0.932873	0.9617
0.932873	0.961109
0.932961	0.960515
0.932866	0.95992
0.932961	0.959321
0.932803	0.958725
0.932856	0.958128
0.932859	0.95753
0.932739	0.956936
0.932803	0.956341
0.9327	0.95575
0.932757	0.955159
0.932718	0.954569
0.93276	0.953978
0.932975	0.953379
0.932965	0.952773
0.932693	0.952171
0.932968	0.951562
0.932771	0.950954
0.932683	0.950351
0.932972	0.949739
0.932947	0.949122
0.932704	0.94851
0.932845	0.947896
0.932715	0.947285
0.932715	0.946676
0.932693	0.94607
0.9327	0.945464
0.932937	0.944852
0.93269	0.944242
0.93282	0.943629
0.93269	0.943019
0.932686	0.94241
0.932521	0.941809
0.932648	0.941208
0.932651	0.940607
0.932648	0.940007
0.932584	0.939409
0.932605	0.938812
0.932542	0.938217
0.932549	0.937623
0.932591	0.937029
0.932493	0.936437
0.932535	0.935846
0.932447	0.935257
0.932542	0.934668
0.932422	0.934081
0.932278	0.933501
0.93233	0.932924
0.932359	0.932348
0.932436	0.93177
0.932528	0.931187
0.932542	0.930598
0.932337	0.930012
0.932538	0.92942
0.93238	0.92883
0.932267	0.928243
0.932302	0.927658
0.932267	0.927076
0.932281	0.926494
0.932355	0.92591
0.932249	0.925327
0.932281	0.924744
0.932288	0.92416
0.932397	0.923571
0.932366	0.922979
0.932292	0.922386
0.932352	0.921791
0.932242	0.921197
0.932249	0.920603
0.932214	0.92001
0.932105	0.919422
0.932204	0.918834
0.932214	0.918245
0.932154	0.917656
0.932186	0.917067
0.932147	0.916479
0.932172	0.915889
0.932193	0.915298
0.9322	0.914705
0.932172	0.914111
0.9322	0.913515
0.932179	0.912917
0.93213	0.91232
0.931999	0.911728
0.932115	0.911134
0.932098	0.910541
0.93196	0.909951
0.931872	0.909368
0.931939	0.908787
0.931897	0.908209
0.931841	0.907634
0.931865	0.907062
0.931812	0.906492
0.93177	0.905925
0.931759	0.905361
0.931742	0.904798
0.931876	0.904232
0.931798	0.903665
0.931865	0.903095
0.931696	0.902527
0.931841	0.901956
0.931738	0.901384
0.931858	0.900808
0.931749	0.900232
0.931862	0.899651
0.93171	0.899072
0.931717	0.898492
0.931714	0.897912
0.931717	0.897331
0.931717	0.896749
0.931696	0.896167
0.93152	0.89559
0.931714	0.89501
0.931707	0.894427
0.931478	0.893851
0.931724	0.893269
0.931717	0.892683
0.931763	0.892092
0.931745	0.891498
0.931703	0.890901
0.93171	0.890303
0.931714	0.889702
0.93171	0.889099
0.9317	0.888495
0.931728	0.887889
0.93171	0.887281
0.93171	0.886672
0.931678	0.886063
0.931724	0.885452
0.931661	0.884841
0.931738	0.884228
0.931685	0.883614
0.931678	0.883001
0.931714	0.882386
0.931671	0.881771
0.931664	0.881157
0.931654	0.880543
0.931594	0.879931
0.931671	0.879319
0.931566	0.878709
0.93165	0.878098
0.931664	0.877486
0.931604	0.876875
0.931654	0.876263
0.931566	0.875653
0.931573	0.875044
0.931449	0.87444
0.931643	0.873833
0.931499	0.873229
0.931527	0.872626
0.931647	0.872019
0.931502	0.871414
0.93153	0.87081
0.931467	0.870207
0.931449	0.869607
0.931506	0.869007
0.931502	0.868406
0.931467	0.867806
0.931439	0.867207
0.931548	0.866605
0.931513	0.866001
0.931435	0.865399
0.93146	0.864797
0.931442	0.864196
0.931453	0.863594
0.931389	0.862993
0.931435	0.862393
0.931446	0.861791
0.931474	0.861187
0.931428	0.860583
0.931428	0.859979
0.931446	0.859374
0.931432	0.858768
0.931435	0.858161
0.931442	0.857553
0.931439	0.856945
0.931485	0.856333
0.931446	0.855721
0.931435	0.855109
0.931404	0.854497
0.931474	0.853883
0.931396	0.85327
0.931446	0.852656
0.931446	0.852041
0.931414	0.851426
0.931404	0.850811
0.931347	0.850199
0.931333	0.849588
0.931421	0.848976
0.931305	0.848367
0.931315	0.84776
0.93128	0.847155
0.931305	0.846551
0.93116	0.845952
0.931301	0.845353
0.9311	0.84476
0.931132	0.84417
0.931301	0.843578
0.931301	0.842982
0.931287	0.842384
0.931051	0.841793
0.931083	0.841205
0.931315	0.840611
0.93109	0.840021
0.931041	0.839435
0.931058	0.838851
0.931308	0.838259
0.931044	0.83767
0.931174	0.837079
0.931044	0.836491
0.931174	0.835899
0.931051	0.835308
0.931041	0.834719
0.931044	0.83413
0.931044	0.833542
0.931104	0.832951
0.931002	0.832361
0.93103	0.831772
0.930991	0.831183
0.930998	0.830594
0.930942	0.830007
0.930903	0.829422
0.930868	0.82884
0.930857	0.82826
0.930892	0.827681
0.930889	0.827101
0.9309	0.82652
0.930829	0.825941
0.930804	0.825363
0.930752	0.824788
0.930787	0.824213
0.9309	0.823634
0.930677	0.823059
0.930752	0.822484
0.930621	0.821914
0.930748	0.821342
0.930663	0.820772
0.930656	0.820202
0.930635	0.819633
0.930603	0.819066
0.930628	0.818498
0.930611	0.81793
0.930625	0.81736
0.930596	0.816791
0.930561	0.816222
0.930635	0.815649
0.930632	0.815075
0.93047	0.814503
0.930544	0.813931
0.930473	0.81336
0.930614	0.812785
0.930607	0.812207
0.930607	0.811625
0.930473	0.811045
0.930607	0.81046
0.930473	0.809878
0.930582	0.809292
0.930589	0.808702
0.93048	0.808114
0.930547	0.807524
0.930501	0.806933
0.930473	0.806343
0.930512	0.805751
0.93048	0.805159
0.930462	0.804568
0.930459	0.803976
0.930459	0.803384
0.93042	0.802792
0.930459	0.8022
0.930424	0.801607
0.930466	0.801013
0.930374	0.800421
0.930318	0.799831
0.930279	0.799245
0.93036	0.798658
0.930388	0.79807
0.930233	0.797485
0.930209	0.796905
0.930311	0.796322
0.930276	0.79574
0.930269	0.795158
0.930269	0.794575
0.930293	0.793991
0.930286	0.793405
0.930399	0.792814
0.930371	0.792219
0.930406	0.791619
0.930364	0.791018
0.930473	0.79041
0.930304	0.789804
0.93035	0.789196
0.930452	0.788583
0.930255	0.787974
0.930272	0.787367
0.930244	0.786762
0.9303	0.786156
0.930276	0.785551
0.930406	0.784941
0.93036	0.78433
0.930223	0.783721
0.930216	0.783115
0.930322	0.782508
0.930205	0.781902
0.930237	0.781298
0.930223	0.780694
0.930251	0.78009
0.930283	0.779484
0.930223	0.778879
0.930244	0.778274
0.930216	0.777669
0.930248	0.777063
0.93024	0.776457
0.93023	0.77585
0.930184	0.775245
0.930202	0.77464
0.930212	0.774034
0.930159	0.77343
0.930205	0.772825
0.930195	0.77222
0.930219	0.771614
0.930209	0.771006
0.930191	0.770399
0.930166	0.769792
0.930174	0.769186
0.930174	0.768579
0.930188	0.767971
0.930166	0.767364
0.93017	0.766756
0.930124	0.766149
0.930159	0.765542
0.930156	0.764935
0.930156	0.764327
0.930107	0.763721
0.930149	0.763114
0.930124	0.762507
0.930082	0.761902
0.930057	0.761299
0.930078	0.760696
0.930082	0.760094
0.93005	0.759492
0.929966	0.758895
0.930047	0.758297
0.93005	0.757698
0.930166	0.757095
0.930054	0.756493
0.929934	0.755894
0.929856	0.755301
0.93005	0.754705
0.929821	0.754116
0.930061	0.753522
0.929892	0.752931
0.930043	0.752336
0.930047	0.751738
0.929807	0.751146
0.9298	0.750557
0.929786	0.749973
0.929789	0.749391
0.929821	0.74881
0.929796	0.748229
0.929885	0.747646
0.929902	0.74706
0.92986	0.746473
0.929923	0.745881
0.929779	0.745292
0.929747	0.744706
0.929772	0.744119
0.92974	0.743534
0.929754	0.742949
0.929698	0.742366
0.929765	0.741782
0.929751	0.741197
0.929733	0.740611
0.929645	0.740028
0.929712	0.739444
0.929726	0.738859
0.92967	0.738274
0.929662	0.737689
0.929655	0.737105
0.929655	0.73652
0.929525	0.735939
0.929567	0.73536
0.929497	0.734784
0.929423	0.734213
0.929409	0.733645
0.929465	0.733078
0.929465	0.732511
0.929391	0.731947
0.929317	0.731386
0.929282	0.730829
0.929342	0.730272
0.929366	0.729714
0.929388	0.729153
0.92924	0.728596
0.929278	0.728039
0.929391	0.727478
0.929377	0.726913
0.929377	0.726345
0.929211	0.72578
0.929218	0.725216
0.929208	0.724653
0.929201	0.72409
0.929373	0.72352
0.929201	0.722952
0.929222	0.722383
0.929211	0.721813
0.929222	0.721241
0.929292	0.720666
0.929218	0.720089
0.929229	0.719511
0.929229	0.718931
0.929233	0.718349
0.929201	0.717766
0.929233	0.717181
0.929077	0.716599
0.929116	0.716019
0.929088	0.715439
0.92907	0.714861
0.928979	0.714287
0.928958	0.713717
0.928915	0.71315
0.928965	0.712584
0.928954	0.712019
0.928926	0.711455
0.928954	0.71089
0.928869	0.710327
0.928834	0.709766
0.928866	0.709205
0.928965	0.708641
0.928958	0.708073
0.928795	0.707508
0.928859	0.706942
0.928852	0.706375
0.928877	0.705806
0.928968	0.705232
0.928961	0.704653
0.928873	0.704074
0.928951	0.70349
0.928908	0.702905
0.928958	0.702316
0.92888	0.701727
0.928961	0.701133
0.928958	0.700537
0.928961	0.699939
0.928838	0.699342
0.92882	0.698747
0.928813	0.698153
0.928954	0.697556
0.928947	0.696955
0.928965	0.696351
0.928831	0.695749
0.928961	0.695144
0.928954	0.694537
0.928827	0.693931
0.928951	0.693323
0.928806	0.692718
0.928954	0.69211
0.928951	0.6915
0.928947	0.690887
0.928926	0.690274
0.928933	0.68966
0.928817	0.689049
0.928813	0.68844
0.928803	0.687834
0.928838	0.687229
0.928862	0.686623
0.928803	0.686018
0.928792	0.685415
0.928877	0.68481
0.92881	0.684206
0.928732	0.683606
0.928898	0.683001
0.928951	0.682392
0.928891	0.681781
0.928803	0.681172
0.928891	0.680561
0.92888	0.679948
0.928905	0.679334
0.928799	0.678721
0.928862	0.678108
0.92881	0.677496
0.928806	0.676886
0.928803	0.676276
0.928841	0.675666
0.928855	0.675054
0.928831	0.674442
0.928813	0.673831
0.92881	0.673221
0.928591	0.672618
0.928855	0.672012
0.928795	0.671406
0.928803	0.670799
0.928721	0.670194
0.928721	0.669591
0.928693	0.66899
0.928651	0.668392
0.928584	0.667798
0.928626	0.667207
0.928545	0.66662
0.928503	0.666037
0.928514	0.665457
0.928478	0.664881
0.928432	0.664309
0.928415	0.66374
0.928387	0.663174
0.92839	0.66261
0.928366	0.662049
0.928401	0.661487
0.928281	0.660929
0.928284	0.660373
0.928397	0.659814
0.92839	0.659253
0.92839	0.65869
0.928397	0.658124
0.928221	0.657561
0.928154	0.657003
0.928168	0.656447
0.928394	0.655885
0.928232	0.655323
0.928172	0.654763
0.928151	0.654204
0.928387	0.653638
0.928122	0.653074
0.9282	0.65251
0.928129	0.651946
0.928203	0.65138
0.928217	0.650812
0.928129	0.650244
0.928147	0.649675
0.928147	0.649105
0.9282	0.648531
0.92808	0.64796
0.928136	0.647386
0.928122	0.646812
0.928013	0.64624
0.928066	0.645668
0.928091	0.645095
0.928073	0.64452
0.92801	0.643947
0.928059	0.643372
0.927985	0.642799
0.927988	0.642225
0.92802	0.641651
0.927981	0.641077
0.927907	0.640505
0.927946	0.639932
0.927759	0.639366
0.927911	0.638799
0.927978	0.638229
0.927812	0.637661
0.927706	0.637099
0.927717	0.63654
0.927717	0.635983
0.927703	0.635428
0.927721	0.634873
0.927703	0.634318
0.927724	0.633762
0.927724	0.633205
0.927565	0.632652
0.92764	0.632099
0.927601	0.631546
0.927555	0.630995
0.927555	0.630445
0.927573	0.629894
0.927477	0.629345
0.927537	0.628795
0.927678	0.628239
0.927724	0.627676
0.927562	0.627112
0.927724	0.626541
0.927541	0.625972
0.927551	0.625401
0.927625	0.624828
0.92758	0.624252
0.92759	0.623675
0.927551	0.623098
0.927594	0.622518
0.927548	0.621937
0.927569	0.621355
0.927544	0.620772
0.927548	0.620188
0.927548	0.619603
0.927537	0.619017
0.927544	0.61843
0.927491	0.617844
0.927439	0.617259
0.927548	0.616672
0.927513	0.616085
0.927541	0.615495
0.927439	0.614907
0.927537	0.614316
0.92741	0.613728
0.927541	0.613137
0.927382	0.612548
0.927509	0.611958
0.92746	0.611367
0.927372	0.610778
0.927298	0.610195
0.927425	0.609609
0.927375	0.609024
0.927343	0.608441
0.927375	0.607857
0.927291	0.607276
0.927453	0.60669
0.927284	0.606107
0.927358	0.605523
0.927269	0.604941
0.927284	0.604359
0.927347	0.603776
0.927273	0.603194
0.927252	0.602612
0.927308	0.60203
0.927269	0.601447
0.92728	0.600863
0.927217	0.600281
0.927181	0.599701
0.927276	0.599119
0.927199	0.598537
0.927217	0.597956
0.927224	0.597373
0.927188	0.596791
0.927181	0.596209
0.927202	0.595626
0.927192	0.595042
0.927199	0.594458
0.927188	0.593872
0.927252	0.593284
0.927139	0.592697
0.92722	0.592107
0.927146	0.591519
0.927118	0.590931
0.927178	0.590343
0.927143	0.589754
0.927125	0.589165
0.927217	0.588573
0.927287	0.587976
0.927125	0.587381
0.927097	0.586787
0.927118	0.586193
0.927262	0.585595
0.927111	0.584998
0.927104	0.584402
0.92704	0.58381
0.927121	0.583216
0.926924	0.582629
0.927107	0.582039
0.927121	0.581448
0.926987	0.58086
0.927121	0.580269
0.927097	0.579676
0.927051	0.579084
0.927044	0.578492
0.927079	0.577899
0.92698	0.577308
0.926966	0.576719
0.927023	0.576129
0.926861	0.575545
0.926906	0.574962
0.926878	0.574382
0.926917	0.573803
0.926868	0.573225
0.926811	0.57265
0.926836	0.572076
0.926836	0.571503
0.926769	0.570932
0.926716	0.570365
