Prel	transmission
0.764457	0.656576
0.76446	0.658702
0.764281	0.657397
0.764238	0.661205
0.764192	0.660447
0.764185	0.659902
0.764094	0.663632
0.764118	0.661647
0.764059	0.663046
0.76396	0.664383
0.763865	0.662948
0.76378	0.663565
0.763794	0.664912
0.763703	0.665138
0.763787	0.6643
0.76378	0.66373
0.763794	0.660574
0.763636	0.662959
0.763629	0.659075
0.763533	0.663538
0.763491	0.665361
0.763392	0.665755
0.763382	0.666119
0.763347	0.662963
0.763213	0.664798
0.763216	0.666025
0.763213	0.662286
0.763107	0.660112
0.763163	0.65678
0.763015	0.657698
0.763012	0.658282
0.76291	0.657457
0.762885	0.659508
0.76291	0.659124
0.762871	0.652893
0.762783	0.65589
0.762712	0.655644
0.762617	0.653647
0.762575	0.655312
0.762582	0.659032
0.762522	0.659401
0.762423	0.659687
0.762568	0.658121
0.762483	0.658127
0.76243	0.656288
0.762392	0.65884
0.762349	0.658467
0.76243	0.653705
0.762134	0.648647
0.762138	0.650281
0.76205	0.657401
0.762282	0.653843
0.762004	0.657075
0.762011	0.653609
0.762007	0.654087
0.762004	0.660671
0.761969	0.662474
0.761881	0.661448
0.761775	0.65794
0.761775	0.655761
0.761743	0.655148
0.761743	0.655803
0.76162	0.651705
0.76175	0.659841
0.761606	0.662926
0.76162	0.662447
0.761609	0.657338
0.761588	0.658159
0.761563	0.660246
0.761394	0.660342
0.761429	0.658485
0.761299	0.659479
0.761271	0.655676
0.76126	0.660087
0.7612	0.661654
0.761211	0.660398
0.761028	0.659424
0.761204	0.660682
0.76094	0.658968
0.760943	0.6591
0.760947	0.6604
0.760943	0.661048
0.760943	0.661685
0.76088	0.660914
0.760851	0.658288
0.760809	0.659815
0.76076	0.659696
0.760809	0.654737
0.760728	0.651331
0.760566	0.663419
0.760538	0.6628
0.760517	0.66356
0.760383	0.659721
0.760432	0.658554
0.760421	0.656436
0.760376	0.657712
0.760369	0.659115
0.760372	0.656639
0.760365	0.656429
0.760337	0.656614
0.760263	0.66006
0.760196	0.657801
0.760147	0.657864
0.760097	0.659314
0.760065	0.657783
0.760023	0.662027
0.759917	0.660355
0.759896	0.662273
0.759907	0.663699
0.759773	0.660722
0.759734	0.663916
0.759702	0.654371
0.759695	0.659993
0.759773	0.659024
0.759713	0.659978
0.75965	0.662981
0.759614	0.665665
0.759576	0.665082
0.759526	0.664581
0.759487	0.666226
0.759357	0.659991
0.759389	0.663366
0.759332	0.658259
0.759265	0.659696
0.759213	0.65952
0.759262	0.662624
0.759248	0.664331
0.759107	0.661761
0.759096	0.665223
0.759096	0.665187
0.759012	0.666115
0.75898	0.665232
0.758976	0.666121
0.758871	0.664094
0.75885	0.662336
0.75885	0.661636
0.758846	0.661629
0.758684	0.659596
0.758575	0.660333
0.758582	0.663267
0.758455	0.663938
0.758487	0.66567
0.758444	0.662653
0.758451	0.664289
0.758589	0.661873
0.75843	0.661417
0.758427	0.661093
0.758289	0.659339
0.758353	0.656706
0.758279	0.663969
0.758212	0.658498
0.758279	0.656163
0.758085	0.659003
0.758	0.659189
0.758152	0.658147
0.757965	0.65937
0.758018	0.660431
0.758032	0.65728
0.757933	0.659542
0.757722	0.663734
0.757873	0.661115
0.757782	0.663296
0.757651	0.660769
0.757644	0.661732
0.757591	0.663069
0.757588	0.66127
0.757591	0.6624
0.757464	0.655367
0.757436	0.660219
0.757443	0.656342
0.757486	0.659906
0.757454	0.661864
0.757348	0.659021
0.757278	0.662503
0.757197	0.662427
0.757183	0.660729
0.757151	0.659761
0.757094	0.6623
0.757017	0.662972
0.756848	0.663469
0.75683	0.663605
0.756777	0.663998
0.756805	0.66643
0.75677	0.661162
0.756767	0.651935
0.75677	0.654634
0.756742	0.656391
0.756728	0.656599
0.756654	0.659815
0.756657	0.657479
0.756622	0.652806
0.756464	0.651975
0.756347	0.655915
0.756358	0.655495
0.756347	0.655432
0.756256	0.655812
0.756217	0.657039
0.756199	0.660796
0.756287	0.660183
0.756252	0.655756
0.756192	0.65513
0.756185	0.655868
0.756019	0.655101
0.755928	0.658661
0.756044	0.661471
0.755931	0.658807
0.755826	0.658742
0.755822	0.659453
0.755931	0.659757
0.755776	0.6529
0.75591	0.652431
0.755794	0.652402
0.755748	0.651832
0.755752	0.649892
0.755512	0.652733
0.755519	0.65471
0.755607	0.653247
0.755463	0.653474
0.755449	0.652788
0.755403	0.652335
0.755403	0.651803
0.75529	0.654831
0.755191	0.656693
0.755339	0.657578
0.755346	0.656974
0.755322	0.653687
0.755241	0.657669
0.755019	0.655984
0.755001	0.651242
0.754927	0.656053
0.754941	0.650015
0.755001	0.652482
0.754673	0.651651
0.754945	0.656442
0.754793	0.648996
0.754666	0.647916
0.754818	0.654064
0.754694	0.655696
0.754652	0.654098
0.75467	0.652813
0.754645	0.656391
0.754652	0.656007
0.754606	0.658371
0.754508	0.65749
0.754511	0.656284
0.754515	0.65878
0.754522	0.656319
0.754451	0.657372
0.754451	0.655991
0.754381	0.657873
0.754261	0.656214
0.754236	0.654862
0.754169	0.655919
0.754183	0.657155
0.754106	0.656789
0.754134	0.656829
0.754046	0.66017
0.754014	0.65918
0.753831	0.660923
0.753827	0.651959
0.754092	0.659102
0.753841	0.646696
0.753831	0.661728
0.753841	0.662521
0.753824	0.664901
0.753834	0.661415
0.753785	0.661842
0.753732	0.666646
0.753704	0.665031
0.753665	0.664841
0.753549	0.662356
0.753454	0.662396
0.753433	0.661388
0.753404	0.661019
0.753418	0.662217
0.753383	0.658076
0.753401	0.66432
0.753426	0.661636
0.753397	0.665922
0.753246	0.66556
0.753256	0.665706
0.753299	0.662673
0.753253	0.664043
0.753108	0.663878
0.752999	0.666021
0.753108	0.664085
0.753038	0.664602
0.752985	0.663176
0.752939	0.66365
0.752918	0.66384
0.752844	0.663679
0.75284	0.660022
0.752837	0.664651
0.752675	0.664193
0.752615	0.659477
0.75283	0.663039
0.752576	0.66242
0.75258	0.660226
0.752661	0.663869
0.75259	0.66154
0.752509	0.662474
0.752509	0.663558
0.752442	0.664727
0.752428	0.66544
0.752439	0.664637
0.752418	0.661513
0.752432	0.663717
0.752432	0.666159
0.75215	0.665466
0.752407	0.661886
0.752026	0.663301
0.75203	0.657638
0.752118	0.661813
0.752157	0.663788
0.752051	0.662061
0.752005	0.662677
0.751991	0.662512
0.751748	0.657088
0.751818	0.65589
0.751815	0.659187
0.751748	0.652451
0.751751	0.653343
0.751748	0.654263
0.751639	0.654882
0.751755	0.654241
0.751702	0.661962
0.75148	0.661093
0.751667	0.660653
0.751332	0.662356
0.751579	0.662324
0.751336	0.662742
0.751332	0.662682
0.751286	0.662807
0.751329	0.663661
0.751276	0.663947
0.75124	0.663824
0.751219	0.662836
0.751198	0.65817
0.75104	0.662378
0.751191	0.664644
0.751205	0.664427
0.750941	0.663171
0.751089	0.662901
0.750962	0.660472
0.750941	0.662718
0.750937	0.661737
0.75086	0.661097
0.750888	0.657982
0.750793	0.656802
0.750768	0.659681
0.75062	0.657236
0.750567	0.660843
0.750536	0.66219
0.750469	0.662085
0.750504	0.662648
0.750514	0.660997
0.750497	0.653153
0.750451	0.658661
0.750352	0.661294
0.750472	0.663379
0.750345	0.661535
0.750359	0.662695
0.750211	0.661247
0.750215	0.660941
0.750236	0.661053
0.75006	0.660612
0.750102	0.657569
0.750014	0.656293
0.749979	0.659544
0.749951	0.659582
0.750046	0.659491
0.74976	0.660219
0.749707	0.656221
0.749933	0.652413
0.749929	0.656125
0.749831	0.656567
0.749785	0.655931
0.749728	0.654409
0.7497	0.655189
0.749612	0.65615
0.749637	0.655265
0.749587	0.652516
0.749552	0.652502
0.749489	0.653367
0.749439	0.649112
0.749408	0.649204
0.749401	0.651964
0.749521	0.647107
0.749256	0.652274
0.749256	0.648249
0.749108	0.649018
0.749098	0.647883
0.749101	0.649995
0.749122	0.650547
0.749073	0.651034
0.749115	0.651117
0.7489	0.649405
0.748854	0.65535
0.748802	0.652958
0.748837	0.650189
0.748833	0.653915
0.74884	0.653302
0.748844	0.655162
0.748826	0.655995
0.748618	0.655247
0.748428	0.654753
0.748685	0.653414
0.748654	0.657546
0.748685	0.656619
0.748604	0.657432
0.748431	0.657857
0.748435	0.658054
0.748442	0.657124
0.748431	0.658715
0.748382	0.659095
0.748386	0.655553
0.74828	0.656997
0.748269	0.657073
0.748276	0.660148
0.748273	0.661721
0.74828	0.659462
0.748259	0.658784
0.748276	0.659797
0.748206	0.660572
0.74822	0.659839
0.747906	0.660443
0.748195	0.66055
0.748012	0.660309
0.747875	0.659491
0.747864	0.66061
0.747945	0.659184
0.747868	0.661126
0.747892	0.662508
0.747836	0.661527
0.747885	0.661889
0.747832	0.658018
0.747882	0.655788
0.74766	0.655213
0.74761	0.660997
0.747561	0.658206
0.747614	0.662277
0.74761	0.658049
