Prel	liquid_fraction	
1.00025	1.60021
0.999859	1.59795
0.999863	1.59571
0.999873	1.59347
0.999877	1.59123
0.99982	1.58901
0.999838	1.58678
0.999774	1.58456
0.999824	1.58235
0.999711	1.58014
0.999739	1.57793
0.999771	1.57572
0.99969	1.57352
0.999757	1.57131
0.999732	1.5691
0.999753	1.5669
0.99975	1.56469
0.999704	1.56247
0.999707	1.56026
0.9997	1.55805
0.999686	1.55583
0.999693	1.55362
0.999629	1.5514
0.99969	1.54918
0.999682	1.54696
0.999693	1.54474
0.99969	1.54251
0.99958	1.54029
0.999707	1.53806
0.999439	1.53584
0.999435	1.53363
0.999697	1.5314
0.999693	1.52917
0.999566	1.52694
0.999682	1.52471
0.999548	1.52247
0.999612	1.52024
0.999439	1.51801
0.999545	1.51577
0.999587	1.51354
0.999538	1.5113
0.999442	1.50907
0.999449	1.50684
0.999407	1.50461
0.999411	1.50238
0.9994	1.50016
0.999358	1.49793
0.999333	1.49571
0.999354	1.49349
0.99934	1.49127
0.999276	1.48906
0.999329	1.48684
0.999273	1.48462
0.999283	1.48241
0.999167	1.48019
0.999273	1.47798
0.999117	1.47577
0.999153	1.47356
0.999026	1.47136
0.998997	1.46917
0.999033	1.46697
0.999015	1.46478
0.999033	1.46259
0.999255	1.46039
0.999036	1.45819
0.999026	1.45598
0.998874	1.45379
0.999026	1.45159
0.999019	1.44939
0.999022	1.44718
0.998973	1.44498
0.999004	1.44277
0.998987	1.44056
0.99886	1.43835
0.998867	1.43615
0.99886	1.43394
0.998782	1.43174
0.998785	1.42954
0.998874	1.42734
0.998687	1.42514
0.998757	1.42294
0.998697	1.42075
0.998641	1.41856
0.998658	1.41636
0.998538	1.41418
0.998454	1.412
0.998503	1.40982
0.998482	1.40765
0.998464	1.40548
0.998581	1.4033
0.998397	1.40113
0.998457	1.39895
0.998471	1.39678
0.998252	1.39461
0.998542	1.39243
0.998457	1.39025
0.99845	1.38806
0.998397	1.38587
0.998323	1.38369
0.998196	1.38151
0.998199	1.37933
0.998333	1.37715
0.998203	1.37497
0.998196	1.37279
0.998157	1.37061
0.998185	1.36843
0.998153	1.36625
0.998086	1.36408
0.998044	1.3619
0.998058	1.35973
0.998044	1.35755
0.99804	1.35538
0.998054	1.3532
0.997765	1.35103
0.997973	1.34886
0.997786	1.3467
0.997768	1.34454
0.997786	1.34238
0.997677	1.34022
0.997659	1.33807
0.997659	1.33592
0.997627	1.33378
0.997514	1.33164
0.997553	1.32949
0.997373	1.32736
0.997369	1.32523
0.997362	1.32311
0.997232	1.32099
0.99732	1.31887
0.997334	1.31675
0.997352	1.31463
0.997256	1.3125
0.997242	1.31038
0.997165	1.30825
0.997147	1.30613
0.996967	1.30401
0.996949	1.3019
0.996896	1.29979
0.996811	1.29769
0.996783	1.29559
0.996794	1.2935
0.9966	1.29141
0.996797	1.28932
0.996748	1.28722
0.996536	1.28514
0.996596	1.28305
0.996434	1.28096
0.996476	1.27888
0.996349	1.2768
0.996356	1.27473
0.996204	1.27266
0.996119	1.27059
0.996116	1.26853
0.996027	1.26648
0.995978	1.26443
0.995989	1.26238
0.995971	1.26032
0.995982	1.25827
0.995823	1.25622
0.995763	1.25417
0.995632	1.25213
0.995604	1.25009
0.995572	1.24805
0.995568	1.24601
0.995381	1.24398
0.995448	1.24195
0.995477	1.23991
0.995381	1.23788
0.995215	1.23584
0.99518	1.23382
0.995102	1.23179
0.994915	1.22977
0.994887	1.22776
0.994731	1.22576
0.994735	1.22376
0.994806	1.22176
0.994746	1.21976
0.994647	1.21776
0.99447	1.21577
0.994329	1.21378
0.994498	1.21179
0.994378	1.2098
0.994251	1.20782
0.994099	1.20584
0.994068	1.20386
0.993923	1.2019
0.993912	1.19993
0.993644	1.19798
0.993866	1.19602
0.99363	1.19407
0.993478	1.19212
0.993407	1.19018
0.993259	1.18825
0.993195	1.18633
0.993132	1.18441
0.993019	1.1825
0.992779	1.1806
0.992726	1.17871
0.992644	1.17682
0.992383	1.17495
0.992344	1.17309
0.992281	1.17123
0.992115	1.16938
0.99197	1.16755
0.991963	1.16571
0.991832	1.16388
0.991596	1.16206
0.991483	1.16025
0.991405	1.15845
0.991415	1.15665
0.991161	1.15486
0.990999	1.15307
0.990992	1.15129
0.990752	1.14951
0.990621	1.14775
0.990526	1.14599
