Prel	liquid_fraction
0.733914	0.0370572
0.730158	0.0383725
0.730457	0.0397772
0.730644	0.0412472
0.731039	0.0427545
0.731391	0.0442779
0.73186	0.0457956
0.73217	0.0472957
0.732378	0.0487718
0.73278	0.0502119
0.733192	0.0516064
0.73353	0.0529508
0.733647	0.0542491
0.734225	0.0554884
0.734493	0.0566708
0.734757	0.0577978
0.735229	0.0588636
0.735416	0.0598749
0.735888	0.0608267
0.736174	0.0617228
0.736473	0.0625657
0.736819	0.0633566
0.737224	0.0640948
0.737534	0.0647836
0.737795	0.0654279
0.738186	0.0660272
0.738457	0.066586
0.73869	0.0671096
0.739222	0.0675919
0.739349	0.0680432
0.73992	0.0684557
0.740135	0.0688369
0.740413	0.0691901
0.740836	0.0695135
0.740988	0.0698156
0.741534	0.0700889
0.741827	0.0703377
0.742109	0.0705653
0.742465	0.070772
0.742637	0.0709648
0.743014	0.071142
0.743448	0.0713008
0.743716	0.0714451
0.744068	0.0715746
0.744551	0.0716852
0.744703	0.0717852
0.745126	0.0718716
0.745506	0.0719438
0.745711	0.0720079
0.746038	0.0720639
0.746528	0.0721067
0.746747	0.0721419
0.74718	0.0721661
0.747445	0.072183
0.747628	0.0721984
0.748019	0.0722092
0.748393	0.0722141
0.748851	0.0722092
0.749069	0.0721997
0.74926	0.0721908
0.749676	0.0721784
0.749958	0.0721645
0.750165	0.072153
0.750733	0.0721344
0.750909	0.0721152
0.751262	0.0720941
0.751607	0.0720703
0.752005	0.0720415
0.75216	0.0720145
0.752615	0.0719838
0.752897	0.0719514
0.75333	0.0719136
0.753457	0.0718783
0.75394	0.0718387
0.754215	0.0717977
0.754599	0.0717529
0.754892	0.0717062
0.755265	0.071656
0.755523	0.0716052
0.755819	0.0715548
0.756213	0.0715019
0.756605	0.0714448
0.756841	0.0713874
0.757137	0.0713305
0.757362	0.0712774
0.757806	0.0712227
0.758011	0.0711712
0.758388	0.0711201
0.758677	0.0710703
0.75904	0.0710202
0.759509	0.0709644
0.759731	0.0709079
0.759963	0.0708536
0.760432	0.0707956
0.760598	0.0707405
0.761021	0.0706835
0.761229	0.0706293
0.761567	0.0705764
0.761831	0.0705265
0.762029	0.070483
0.762487	0.0704396
0.762822	0.0703957
0.763146	0.0703512
0.76335	0.07031
0.763763	0.0702679
0.764027	0.0702268
0.764362	0.0701858
0.764612	0.070147
0.764971	0.0701082
0.765292	0.0700692
0.765662	0.0700279
0.765831	0.0699899
0.766117	0.0699552
0.766557	0.0699184
0.766723	0.0698853
0.767111	0.0698522
0.767527	0.0698153
0.767742	0.0697789
0.768196	0.0697376
0.768348	0.069698
0.768616	0.0696611
0.769024	0.0696226
0.769187	0.0695882
0.769609	0.0695528
0.769877	0.0695181
0.770212	0.069483
0.770459	0.0694496
0.770843	0.0694147
0.771132	0.0693795
0.771537	0.0693403
0.771671	0.0693041
0.771957	0.0692708
0.772189	0.0692424
0.772697	0.0692104
0.772877	0.0691805
0.773211	0.0691508
0.773465	0.0691231
0.773976	0.0690895
0.774089	0.0690582
0.774265	0.0690328
0.774607	0.0690104
0.775033	0.0689861
0.775337	0.0689603
0.775446	0.0689401
0.775855	0.06892
0.77626	0.0688964
0.7765	0.0688724
0.776849	0.0688459
0.777042	0.0688212
0.777321	0.0687985
0.777652	0.0687761
0.777857	0.0687573
0.778234	0.0687383
0.778558	0.0687183
0.778988	0.0686927
0.77902	0.0686723
0.779442	0.0686509
0.779816	0.0686262
0.779968	0.0686041
0.780243	0.0685845
0.780651	0.0685627
0.781	0.0685375
0.781092	0.0685169
0.781578	0.0684926
0.781779	0.068469
0.781952	0.0684501
0.782304	0.0684327
0.78271	0.0684124
0.782889	0.0683942
0.783143	0.0683786
0.783524	0.068362
0.783848	0.0683434
0.784074	0.0683257
0.784472	0.0683046
0.784623	0.068286
0.784856	0.0682711
0.785208	0.0682569
0.785388	0.0682472
0.785755	0.0682381
0.78603	0.0682301
