Prel	liquid_fraction
0.994532	1.19964
0.994407	1.19919
0.994331	1.19854
0.994359	1.19746
0.994327	1.19663
0.994331	1.19565
0.994275	1.19491
0.994261	1.19401
0.994251	1.19309
0.994213	1.19228
0.994188	1.19142
0.994181	1.19049
0.994119	1.18978
0.994022	1.18922
0.994119	1.18786
0.994001	1.18738
0.994147	1.18582
0.994171	1.18476
0.994036	1.18435
0.994122	1.18304
0.993865	1.18313
0.994004	1.1816
0.993963	1.18081
0.993883	1.18017
0.9939	1.17914
0.993827	1.17848
0.993792	1.17766
0.993803	1.17666
0.993695	1.17614
0.993792	1.17478
0.993671	1.17432
0.993636	1.1735
0.993518	1.17303
0.993778	1.171
0.993473	1.17129
0.993442	1.17046
0.993518	1.16919
0.993403	1.1687
0.993407	1.16773
0.993372	1.16691
0.99348	1.16551
0.993365	1.16502
0.993403	1.1639
0.993344	1.16319
0.993372	1.16211
0.993365	1.16118
0.993271	1.16061
0.993285	1.15959
0.993181	1.15906
0.993226	1.15792
0.993195	1.15709
0.993139	1.15636
0.993094	1.15558
0.993091	1.15464
0.99307	1.15377
0.992983	1.15317
0.993028	1.15202
0.992973	1.15129
0.992969	1.15035
0.992976	1.14936
0.992969	1.14843
0.992969	1.14748
0.992875	1.1469
0.992712	1.14662
0.992917	1.14482
0.992719	1.14468
0.992712	1.14375
0.992799	1.14244
0.992705	1.14186
0.99275	1.14072
0.992646	1.14019
0.992615	1.13936
0.992625	1.13836
0.992587	1.13757
0.992556	1.13673
0.992497	1.13602
0.992521	1.13497
0.992566	1.13383
0.992392	1.13358
0.992382	1.13267
0.992434	1.1315
0.992417	1.13062
0.99242	1.12965
0.992326	1.12908
0.992292	1.12826
0.992198	1.12769
0.992326	1.12621
0.992299	1.12537
0.99226	1.12457
0.992295	1.12348
0.992222	1.12282
0.992177	1.12205
0.992184	1.12107
0.992149	1.12026
0.992128	1.11939
0.991993	1.11899
0.992	1.118
0.991972	1.11717
0.991924	1.11641
0.991878	1.11564
0.991868	1.11473
0.991844	1.11388
0.991788	1.11315
0.991844	1.11197
0.991812	1.11115
0.991767	1.11038
0.991687	1.10975
0.991746	1.10856
0.991625	1.1081
0.991809	1.1064
0.991541	1.10654
0.991746	1.10475
0.99166	1.10415
0.991534	1.10371
0.991448	1.10312
0.991448	1.10217
0.991416	1.10134
0.991343	1.10069
0.991343	1.09974
0.991204	1.09936
0.991093	1.09886
0.991079	1.09797
0.991191	1.09656
0.991079	1.09607
0.991027	1.09533
0.99102	1.09441
0.990927	1.09384
0.990934	1.09287
0.990861	1.09222
0.990676	1.09202
0.990683	1.09104
0.990635	1.09029
0.990586	1.08954
0.990524	1.08885
0.990638	1.08743
0.99061	1.0866
0.99052	1.08602
0.990458	1.08533
0.990409	1.08458
0.990399	1.08368
0.990242	1.08337
0.990183	1.08267
0.990187	1.0817
0.989999	1.08153
0.990117	1.08009
0.990124	1.07912
0.990055	1.07846
0.989891	1.07818
0.989808	1.07758
0.989707	1.07705
0.989718	1.07606
0.989565	1.07574
0.989447	1.07528
0.989454	1.07431
0.989322	1.0739
0.989405	1.07262
0.989346	1.07192
0.989277	1.07126
0.989141	1.07087
0.989051	1.0703
0.988978	1.06965
0.988887	1.06908
0.98878	1.06858
0.988877	1.06724
0.988606	1.06741
0.988707	1.06606
0.988603	1.06554
0.988502	1.06502
0.988419	1.06441
0.988377	1.06365
0.988207	1.06341
0.988221	1.06241
0.988071	1.06208
0.988061	1.06119
0.987981	1.06058
0.9878	1.06038
0.987779	1.05952
0.987696	1.05893
0.987665	1.05812
0.987658	1.05721
0.987536	1.05677
0.987376	1.05649
0.987276	1.05597
0.987265	1.05507
0.987258	1.05417
0.987196	1.05349
0.987057	1.05312
0.986897	1.05284
0.986814	1.05225
0.986633	1.05206
0.986605	1.05124
0.986588	1.05037
0.986452	1.05
0.986268	1.04982
0.986161	1.04933
0.986077	1.04874
0.986032	1.04799
0.986025	1.04709
0.98589	1.04671
0.985744	1.04638
0.985681	1.04571
0.985518	1.04545
0.985386	1.04506
0.985383	1.04415
0.985202	1.04396
0.98523	1.04292
0.985164	1.04226
0.984882	1.04248
0.984834	1.04176
0.98466	1.04154
0.984559	1.04103
0.98458	1.04002
0.984472	1.03953
0.984254	1.0395
0.984156	1.03898
0.98416	1.03804
0.984118	1.03729
0.984021	1.03676
0.983767	1.03688
0.983656	1.03641
0.983663	1.03546
0.983604	1.03478
0.983507	1.03426
0.983295	1.03421
0.983125	1.03398
0.983205	1.03274
0.983024	1.03256
0.982878	1.03223
0.982784	1.0317
0.982635	1.03139
0.982545	1.03084
0.982454	1.0303
0.982353	1.02979
0.982128	1.0298
0.98201	1.02937
0.982096	1.0281
0.981756	1.02858
0.981714	1.02783
0.981607	1.02736
0.98135	1.0275
0.981225	1.0271
0.981263	1.02603
0.981124	1.02568
0.980888	1.02574
0.980787	1.02524
0.980759	1.02444
0.980578	1.02427
0.980439	1.02393
0.980377	1.02328
0.980109	1.02347
0.980061	1.02276
0.97996	1.02226
0.9797	1.02242
0.979668	1.02164
0.979571	1.02113
0.979311	1.02129
0.979196	1.02086
0.979172	1.02005
0.978967	1.01999
0.978838	1.01961
0.978671	1.01939
0.978505	1.01917
0.978477	1.01838
0.978348	1.018
0.97806	1.01828
0.977966	1.01777
0.977945	1.01695
0.977622	1.01738
0.977515	1.01692
0.977195	1.01733
0.977139	1.01666
0.97707	1.01605
0.976893	1.01587
0.976837	1.0152
0.976639	1.01512
0.976358	1.01538
0.97634	1.01455
0.976233	1.0141
0.975941	1.0144
0.975757	1.01427
0.975677	1.0137
0.975476	1.01363
0.975239	1.01371
0.975104	1.01338
0.974989	1.01295
0.974684	1.01332
0.974451	1.01339
0.974458	1.01247
0.974336	1.01208
0.974006	1.01254
0.973905	1.01207
0.973756	1.0118
0.973506	1.01194
0.973266	1.01204
0.973225	1.01132
0.973082	1.01102
0.972832	1.01117
0.972683	1.0109
0.972506	1.01074
0.972301	1.0107
0.972224	1.01014
0.97195	1.01038
0.971679	1.01062
0.971474	1.01058
0.971443	1.00983
0.971081	1.01043
0.97104	1.00973
0.970887	1.00948
0.970553	1.00997
0.970307	1.01011
0.970209	1.00964
0.970008	1.00959
0.969911	1.00912
0.969647	1.00933
0.969421	1.00939
0.96914	1.00967
0.969181	1.00863
0.968928	1.0088
0.968733	1.00873
0.968549	1.00862
0.968337	1.00862
0.968174	1.00843
0.968011	1.00823
0.967792	1.00827
0.967753	1.00756
0.967458	1.00791
0.967274	1.0078
0.966975	1.00817
0.966861	1.00777
0.966597	1.008
0.966298	1.00836
0.966284	1.00756
0.966034	1.00773
0.965871	1.00754
0.96576	1.00714
0.965436	1.00761
0.965325	1.00721
0.965072	1.0074
0.964856	1.00743
0.964582	1.0077
0.964575	1.00688
0.964235	1.00742
0.964089	1.00717
0.963995	1.00671
0.963776	1.00675
0.963453	1.00723
0.963408	1.00657
0.963192	1.0066
0.962883	1.00702
0.962845	1.00633
0.962668	1.00622
0.96256	1.00581
0.962348	1.00584
0.962084	1.00608
0.961827	1.00629
0.961789	1.0056
0.961508	1.00592
0.961369	1.00565
0.961219	1.00542
0.960987	1.00553
0.960632	1.00615
0.960542	1.00568
0.960414	1.00537
0.960163	1.00556
0.959962	1.00555
0.959729	1.00567
0.959611	1.00532
0.959455	1.00513
0.959312	1.00488
0.959093	1.00494
0.958895	1.00492
0.958805	1.00446
0.958517	1.00482
0.958322	1.00478
0.958333	1.00391
0.958051	1.00424
0.95793	1.00391
0.957544	1.00466
0.957586	1.00366
0.957259	1.00418
0.957089	1.00405
0.957058	1.00335
0.956738	1.00384
0.956415	1.00434
0.956398	1.00359
0.956224	1.00348
0.956005	1.00356
0.955856	1.00335
0.955661	1.00333
0.955488	1.00322
0.955418	1.00269
0.955161	1.00292
0.954981	1.00284
0.954817	1.0027
0.954678	1.00245
0.954394	1.0028
0.954262	1.00253
0.954248	1.00177
0.953904	1.00237
0.953619	1.00273
0.953612	1.00194
0.953362	1.00215
0.953202	1.002
0.953042	1.00184
0.952806	1.002
0.952657	1.00181
0.952403	1.00204
0.952372	1.00136
0.952111	1.00162
0.951903	1.00167
0.951896	1.00089
0.951629	1.00118
0.951497	1.00092
0.951146	1.00155
0.950996	1.00136
0.950833	1.00123
0.950746	1.00078
0.950625	1.00048
0.950284	1.00107
0.950166	1.00076
0.95001	1.0006
0.949815	1.0006
0.949513	1.00104
0.949454	1.00049
0.949256	1.0005
0.949103	1.00033
0.948926	1.00026
0.948794	1.00001
0.948537	1.00027
0.948422	0.999944
0.948169	1.00019
0.947929	1.00038
0.947686	1.00059
0.947668	0.999868
0.9473	1.00059
0.947279	0.999884
0.947036	1.00009
0.946859	1.00003
0.946633	1.00017
0.946491	0.999967
0.946203	1.00036
0.94606	1.00016
0.945897	1.00005
0.945668	1.0002
0.94549	1.00014
0.945386	0.99979
0.945028	1.00047
0.94498	0.999893
0.944862	0.999595
0.944747	0.999285
0.944414	0.999873
0.944292	0.999593
0.944108	0.999569
0.943757	1.00023
0.943715	0.999625
0.943507	0.999704
0.94326	0.999939
0.943194	0.999436
0.942916	0.999801
0.942649	1.00012
0.942632	0.999422
0.94235	0.999805
0.94201	1.00043
0.941958	0.999872
0.941774	0.999856
0.941572	0.999913
0.941402	0.999843
0.941246	0.999716
0.940923	1.00027
0.940898	0.999607
0.940794	0.999267
0.940422	1.00003
0.940346	0.999573
0.940183	0.999479
0.93996	0.999627
0.939686	0.999991
0.939596	0.999598
0.939266	1.00019
0.93913	0.999986
0.939134	0.99921
0.938797	0.999832
0.938491	1.00033
0.938421	0.999855
0.938293	0.999624
0.93805	0.999865
0.93796	0.999476
0.937633	1.00006
0.937484	0.999919
0.937365	0.999649
0.937174	0.999678
0.937067	0.999367
0.936803	0.999698
0.936678	0.999458
0.9364	0.999848
0.936396	0.999109
0.93615	0.999372
0.935854	0.999833
0.935608	1.0001
0.935604	0.999363
0.935448	0.999255
0.935087	0.99999
0.935128	0.999074
0.934955	0.99904
0.934673	0.999449
0.934684	0.99866
