Prel	transmission
0.996343	1.08103
0.996325	1.07722
0.996308	1.07964
0.996343	1.0815
0.996218	1.08258
0.996374	1.078
0.996332	1.07583
0.996357	1.07171
0.996319	1.06786
0.996371	1.07411
0.996305	1.07423
0.996346	1.0798
0.996336	1.07804
0.99636	1.07747
0.996353	1.07531
0.996263	1.07536
0.996378	1.06913
0.996315	1.07049
0.996339	1.07179
0.99635	1.06866
0.996312	1.06957
0.996343	1.07099
0.996339	1.07159
0.996378	1.0719
0.996374	1.07326
0.999604	1.05771
0.9996	1.05711
0.999573	1.05753
0.999632	1.06223
0.999555	1.04715
0.999531	1.06188
0.999587	1.06213
0.9996	1.06039
0.999656	1.0611
0.999569	1.06182
0.999607	1.06006
0.999652	1.04814
0.999625	1.05561
0.999642	1.05454
0.999666	1.04875
0.999524	1.0596
0.999656	1.05833
0.999541	1.05977
0.999656	1.05749
0.999621	1.0582
0.999656	1.05736
0.999534	1.06136
0.9996	1.06054
0.999614	1.05956
0.999562	1.05845
0.999628	1.05862
0.999625	1.06291
0.999517	1.06239
0.99959	1.06646
0.999593	1.06549
0.999555	1.0629
0.999569	1.06155
0.999593	1.06297
0.999666	1.05634
0.999659	1.05367
0.999642	1.05615
0.999652	1.0619
0.999666	1.06484
0.999517	1.06567
0.999517	1.06316
0.999618	1.06168
0.999604	1.0608
0.999635	1.05839
0.999649	1.05872
0.999649	1.06117
0.999646	1.06044
0.999656	1.06088
0.99968	1.06083
0.999639	1.05813
0.999649	1.0597
0.999705	1.06231
0.99959	1.06324
0.999611	1.06263
0.99951	1.05326
0.999576	1.0545
0.999587	1.05974
0.999569	1.05432
0.999597	1.0643
0.999576	1.0677
0.999531	1.06386
0.999555	1.06703
0.999531	1.06646
0.999548	1.06381
0.999531	1.06595
0.999552	1.06792
0.999527	1.06775
0.999534	1.0644
0.999444	1.06599
0.999524	1.06881
0.999524	1.06714
0.999507	1.06456
0.999503	1.06948
0.999493	1.0694
0.9995	1.07013
0.999482	1.06148
0.99951	1.0682
0.999496	1.07048
0.999423	1.07297
0.999451	1.06774
0.999451	1.06547
0.999385	1.06582
0.999458	1.05845
0.9995	1.06685
0.9995	1.06223
0.999489	1.06341
0.999347	1.06435
0.999465	1.06729
0.999361	1.06864
0.999475	1.06811
0.999427	1.07026
0.999385	1.0667
0.999284	1.07036
0.999316	1.0667
0.999267	1.06921
0.999243	1.06699
0.999354	1.06745
0.999222	1.0663
0.999302	1.06494
0.999208	1.06829
0.99925	1.06652
0.99926	1.06466
0.99925	1.06749
0.999256	1.06642
0.999149	1.06761
0.999256	1.06674
0.999253	1.06561
0.999201	1.0622
0.999197	1.06106
0.999097	1.06802
0.99917	1.06254
0.999253	1.06882
0.999159	1.07031
0.99925	1.06343
0.999177	1.06634
0.999163	1.06679
0.999138	1.06994
0.999121	1.06624
0.999118	1.06865
0.999263	1.06735
0.999118	1.06742
0.9991	1.06856
0.99909	1.07038
0.999208	1.06733
0.999239	1.07004
0.99918	1.07073
0.999215	1.07061
0.999111	1.0716
0.999086	1.07205
0.999107	1.06787
0.99909	1.06668
0.999166	1.07002
0.999076	1.06684
0.9991	1.06906
0.999086	1.07071
0.999059	1.06969
0.999111	1.06574
0.999131	1.06998
0.999114	1.06552
0.999135	1.06794
0.999135	1.06577
0.999142	1.06928
0.999124	1.06662
0.999097	1.06435
0.999149	1.06736
0.999128	1.06576
0.999055	1.06765
0.999124	1.06775
0.999107	1.06348
0.999083	1.06188
0.999097	1.0631
0.9991	1.05286
0.999124	1.06252
0.999093	1.06554
0.9991	1.06195
0.99909	1.06083
0.999118	1.06222
0.9991	1.06493
0.999083	1.06385
0.999086	1.06195
0.999111	1.05989
0.999104	1.05918
0.999218	1.05592
0.999083	1.06157
0.99917	1.05662
0.999104	1.06023
0.999097	1.06244
0.999104	1.06152
0.999083	1.06157
0.999083	1.06014
0.999204	1.05865
0.999111	1.05534
0.999097	1.05462
0.999246	1.05535
0.99925	1.05631
0.999256	1.05869
0.999239	1.06204
0.9991	1.06166
0.999236	1.06198
0.99918	1.05818
0.999243	1.05951
0.999201	1.05542
0.999118	1.05892
0.9991	1.05818
0.999104	1.06319
0.99926	1.06149
0.999097	1.06183
0.999093	1.05878
0.999083	1.05958
0.999104	1.06099
0.999232	1.05953
0.999253	1.05789
0.999128	1.06055
0.99925	1.05962
0.999142	1.06159
0.999107	1.06008
0.999149	1.06292
0.999253	1.06392
0.999114	1.06222
0.999114	1.06263
0.999114	1.06728
0.999246	1.06716
0.999204	1.06409
0.999253	1.06089
0.999097	1.06106
0.999076	1.06167
0.99909	1.06256
0.9991	1.06535
0.999177	1.06267
0.999218	1.06251
0.999111	1.0595
0.999104	1.06597
0.999107	1.06494
0.999107	1.06699
0.999097	1.06409
0.999184	1.06587
0.999177	1.06625
0.999097	1.06439
0.999086	1.0633
0.999208	1.06459
0.999222	1.06369
0.999111	1.0674
0.999093	1.06743
0.99909	1.06912
0.999111	1.06633
0.99909	1.06838
0.999142	1.0687
0.999131	1.06891
0.999111	1.06796
0.99909	1.06693
0.999079	1.069
0.999138	1.06958
0.999069	1.0702
0.999086	1.06672
0.99909	1.06516
0.999111	1.06515
0.999048	1.06814
0.99909	1.06827
0.999121	1.06674
0.99909	1.06987
0.999093	1.06738
0.999104	1.0703
0.99909	1.05625
0.99909	1.06502
0.999079	1.07056
0.998965	1.06981
0.998829	1.06944
0.998982	1.06606
0.998996	1.07011
0.999104	1.06815
0.998965	1.06811
0.999083	1.06468
0.999048	1.06351
0.998954	1.06593
0.99902	1.069
0.998902	1.06906
0.998878	1.07124
0.998947	1.06972
0.998913	1.07034
0.998885	1.06755
0.998954	1.06658
0.998847	1.07263
0.998836	1.06787
0.998913	1.06796
0.998861	1.069
0.998861	1.06851
0.998857	1.06658
0.998777	1.06084
0.99884	1.06686
0.998798	1.06954
0.998812	1.06658
0.998794	1.0623
0.998836	1.06764
0.998767	1.07223
0.998708	1.06592
0.998829	1.06702
0.998732	1.06888
0.998805	1.06717
0.998725	1.06695
0.99877	1.0658
0.998788	1.07098
0.998676	1.06995
0.998676	1.06936
0.998746	1.06878
0.998728	1.07108
0.998694	1.07014
0.99869	1.06912
0.998666	1.06967
0.99869	1.07236
0.998673	1.07212
0.998638	1.07076
0.998687	1.06756
0.998638	1.0663
0.998683	1.06531
0.998687	1.06835
0.998683	1.06568
0.998746	1.06356
0.998697	1.0655
0.998659	1.06512
0.998676	1.05893
0.998715	1.06202
0.99869	1.06309
0.998631	1.06273
0.998711	1.06437
0.998569	1.06142
0.998735	1.05671
0.998673	1.05769
0.998701	1.0577
0.998683	1.05707
0.998722	1.06172
0.998774	1.06094
0.998666	1.06129
0.998656	1.06172
0.998687	1.06167
0.99869	1.06322
0.998701	1.05859
0.998676	1.06176
0.998725	1.06038
0.99868	1.06157
0.998788	1.05953
0.998708	1.05984
0.998718	1.06155
0.998749	1.06096
0.998704	1.05869
0.998694	1.06479
0.998697	1.06277
0.998694	1.06667
0.998673	1.06413
0.99869	1.06449
0.998694	1.06301
0.998777	1.06245
0.998715	1.05984
0.998718	1.06164
0.998812	1.06349
0.998784	1.06523
0.998756	1.06654
0.998777	1.06509
0.998732	1.06857
0.998815	1.06324
0.99877	1.06365
0.998808	1.06229
0.998788	1.05993
0.998822	1.05946
0.998822	1.05934
0.998798	1.05724
0.998833	1.06266
0.998791	1.06345
0.998819	1.06624
0.998794	1.06335
0.998826	1.06556
0.998812	1.06354
0.998784	1.06274
0.998805	1.06806
0.998784	1.06916
0.998798	1.06888
0.998777	1.0679
0.998805	1.06576
0.998763	1.0659
0.998878	1.07025
0.998826	1.07001
0.998815	1.0675
0.998791	1.06987
0.998843	1.07111
0.998822	1.06926
0.998805	1.06925
0.99884	1.06783
0.998798	1.0697
0.998815	1.06893
0.99876	1.06785
0.998805	1.06679
0.998763	1.06613
0.998777	1.0679
0.998781	1.0605
0.998756	1.06019
0.998718	1.06118
0.998742	1.06905
0.998715	1.07019
0.998687	1.06846
0.998711	1.06721
0.99869	1.06224
0.998725	1.06689
