Pcell	transmission
150.852	46636.3
150.802	46612.6
150.818	46589
150.814	46565.5
150.804	46542.1
150.805	46518.8
150.815	46495.4
150.794	46472.2
150.806	46449
150.817	46425.8
150.794	46402.6
150.794	46379.5
150.817	46356.2
150.794	46333
150.812	46309.7
150.809	46286.4
150.817	46262.9
150.794	46239.5
150.811	46216
150.819	46192.4
150.818	46168.7
150.793	46145
150.793	46121.4
150.816	46097.7
150.813	46074
150.795	46050.2
150.809	46026.4
150.795	46002.7
150.795	45979
150.813	45955.2
150.794	45931.4
150.796	45907.6
150.811	45883.8
150.794	45860
150.795	45836.1
150.804	45812.3
150.795	45788.4
150.792	45764.6
150.8	45740.7
150.793	45716.9
150.793	45693.1
150.796	45669.2
150.794	45645.3
150.792	45621.5
150.796	45597.6
150.811	45573.5
150.794	45549.5
150.793	45525.5
150.796	45501.5
150.801	45477.4
150.791	45453.4
150.796	45429.3
150.796	45405.2
150.794	45381.2
150.798	45357
150.793	45332.9
150.796	45308.8
150.8	45284.7
150.792	45260.5
150.795	45236.4
150.793	45212.2
150.794	45188.1
150.794	45163.9
150.793	45139.8
150.792	45115.6
150.794	45091.5
150.793	45067.3
150.793	45043.1
150.794	45018.9
150.791	44994.8
150.791	44970.6
150.775	44946.5
150.789	44922.5
150.78	44898.5
150.785	44874.5
150.778	44850.5
150.794	44826.5
150.795	44802.4
150.797	44778.3
150.799	44754
150.797	44729.8
150.795	44705.5
150.808	44681.1
150.795	44656.7
150.797	44632.3
150.808	44607.8
150.795	44583.3
150.794	44558.8
150.802	44534.4
150.794	44509.9
150.78	44485.6
150.788	44461.3
150.794	44437
150.798	44412.6
150.796	44388.3
150.791	44364
150.801	44339.6
150.808	44315.2
150.804	44290.7
150.793	44266.2
150.793	44241.8
150.793	44217.4
150.794	44193
150.798	44168.6
150.802	44144.2
150.795	44119.8
150.794	44095.4
150.79	44071.1
150.797	44046.8
150.793	44022.4
150.794	43998.1
150.788	43973.8
150.783	43949.7
150.789	43925.5
150.789	43901.3
150.775	43877.2
150.773	43853.3
150.776	43829.4
150.772	43805.5
150.774	43781.7
150.77	43758
150.764	43734.3
150.78	43710.6
150.76	43686.9
150.77	43663.3
150.771	43639.7
150.766	43616
150.756	43592.5
150.774	43568.8
150.76	43545.3
150.755	43521.7
150.755	43498.2
150.762	43474.7
150.772	43451.1
150.754	43427.5
150.747	43404
150.757	43380.5
150.757	43356.9
150.748	43333.4
150.748	43309.9
150.745	43286.5
150.743	43263
