t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
11.991816 153.408282 0.999868 0.133121 8.341296 -0.228699 0.702304 120.000000 19.000004 0.959814 -0.095578 0.357355
11.993207 153.407218 0.999861 0.161481 8.341141 -0.326879 0.709462 120.000000 19.000004 0.959796 -0.165398 0.357348
11.994599 153.407753 0.999865 0.186716 8.340991 -0.317043 0.703230 120.000000 19.000004 0.959778 -0.130327 0.357342
11.995989 153.407753 0.999865 0.205696 8.340832 -0.336023 0.704811 120.000000 18.997505 0.959760 -0.130327 0.357335
11.997380 153.380112 0.999685 0.039405 8.340793 -0.081744 0.695739 120.000000 18.997505 0.959755 -0.042339 0.357334
11.998772 153.382770 0.999702 -0.079799 8.340765 -0.059705 0.706739 120.000000 19.000004 0.959752 -0.139504 0.357332
12.000178 153.392871 0.999768 -0.110909 8.340803 0.078534 0.708063 120.000000 18.997505 0.959756 -0.032375 0.357334
12.001554 153.406689 0.999858 -0.045406 8.340730 -0.154742 0.705354 120.000000 19.000004 0.959748 -0.200148 0.357331
12.002944 153.384898 0.999716 -0.133246 8.340762 0.066967 0.707680 120.000000 19.000004 0.959751 -0.066278 0.357332
12.004336 153.397122 0.999796 -0.124368 8.340835 0.153713 0.705113 120.000000 19.000004 0.959760 0.029344 0.357335
12.005726 153.393935 0.999775 -0.136724 8.340895 0.127463 0.705908 120.000000 19.000004 0.959767 -0.009261 0.357338
12.007117 153.401373 0.999823 -0.097167 8.340982 0.183614 0.703748 120.000000 18.997505 0.959777 0.086447 0.357342
12.008510 153.380647 0.999688 -0.198830 8.341044 0.131425 0.705848 120.000000 19.000004 0.959784 -0.067405 0.357344
12.009900 153.380112 0.999685 -0.283759 8.341159 0.241420 0.704413 120.000000 19.000004 0.959797 -0.042339 0.357349
12.011289 153.368422 0.999609 -0.426833 8.341198 0.083239 0.706482 120.000000 19.000004 0.959802 -0.343594 0.357351
12.012683 153.383304 0.999706 -0.443220 8.341322 0.260438 0.702596 120.000000 19.000004 0.959816 -0.182782 0.357356
12.014073 153.366829 0.999598 -0.559883 8.341467 0.306681 0.704841 120.000000 19.000004 0.959833 -0.253202 0.357362
12.015464 153.384368 0.999712 -0.536156 8.341652 0.390553 0.702525 120.000000 19.000004 0.959855 -0.145604 0.357370
12.016855 153.378518 0.999674 -0.549942 8.341833 0.381844 0.703165 120.000000 19.000004 0.959876 -0.168098 0.357378
12.018246 153.379053 0.999678 -0.552782 8.342051 0.460329 0.706286 120.000000 19.000004 0.959901 -0.092453 0.357387
12.019636 153.378518 0.999674 -0.553573 8.342233 0.385475 0.704504 120.000000 19.000004 0.959922 -0.168098 0.357395
12.021029 153.370016 0.999619 -0.604567 8.342398 0.348687 0.707454 120.000000 18.997505 0.959941 -0.255880 0.357402
12.022429 153.370545 0.999622 -0.637414 8.342565 0.349329 0.706487 120.000000 19.000004 0.959960 -0.288085 0.357409
12.023809 153.376395 0.999661 -0.620418 8.342736 0.363880 0.705052 120.000000 19.000004 0.959980 -0.256538 0.357417
12.025202 153.380112 0.999685 -0.576710 8.342989 0.534371 0.705208 120.000000 19.000004 0.960010 -0.042339 0.357428
12.026592 153.368952 0.999612 -0.608348 8.343128 0.293902 0.704438 120.000000 19.000004 0.960026 -0.314446 0.357434
12.027982 153.369486 0.999615 -0.625218 8.343289 0.340190 0.707136 120.000000 19.000004 0.960044 -0.285028 0.357440
12.029375 153.384898 0.999716 -0.533041 8.343511 0.466763 0.704891 120.000000 19.000004 0.960070 -0.066278 0.357450
12.030764 153.377989 0.999671 -0.497712 8.343631 0.254663 0.703185 120.000000 18.997505 0.960084 -0.243048 0.357455
12.032156 153.368952 0.999612 -0.523151 8.343730 0.208705 0.703683 120.000000 18.997505 0.960095 -0.314446 0.357459
12.033547 153.373738 0.999643 -0.508086 8.343786 0.117874 0.703260 120.000000 19.000004 0.960102 -0.390212 0.357462
12.034937 153.367358 0.999602 -0.532677 8.343964 0.376185 0.702565 120.000000 19.000004 0.960123 -0.156491 0.357469
12.036329 153.364171 0.999581 -0.568755 8.344058 0.197806 0.701755 120.000000 18.997505 0.960133 -0.370949 0.357473
12.037720 153.360449 0.999557 -0.617387 8.344155 0.206334 0.699802 120.000000 19.000004 0.960145 -0.411053 0.357478
12.039110 153.365765 0.999591 -0.616980 8.344309 0.325236 0.700693 120.000000 19.000004 0.960163 -0.291745 0.357484
12.040503 153.363107 0.999574 -0.628388 8.344387 0.164800 0.701805 120.000000 19.000004 0.960172 -0.463588 0.357487
12.041893 153.366829 0.999598 -0.607789 8.344555 0.354587 0.702540 120.000000 18.997505 0.960191 -0.253202 0.357495
12.043283 153.364701 0.999584 -0.599276 8.344676 0.254647 0.701820 120.000000 19.000004 0.960205 -0.344629 0.357500
12.044683 153.360979 0.999560 -0.611104 8.344763 0.182276 0.703517 120.000000 18.997505 0.960215 -0.428828 0.357504
12.046065 153.359385 0.999550 -0.625631 8.344880 0.250293 0.703688 120.000000 19.000004 0.960229 -0.375338 0.357509
12.047456 153.364701 0.999584 -0.597254 8.345000 0.252625 0.703391 120.000000 18.997505 0.960243 -0.344629 0.357514
12.048849 153.366829 0.999598 -0.554753 8.345143 0.301551 0.703019 120.000000 19.000004 0.960259 -0.253202 0.357520
12.050239 153.360449 0.999557 -0.556491 8.345212 0.145438 0.703205 120.000000 19.000004 0.960267 -0.411053 0.357523
12.051629 153.364701 0.999584 -0.525162 8.345297 0.180533 0.702883 120.000000 18.997505 0.960277 -0.344629 0.357526
12.053021 153.357262 0.999536 -0.543123 8.345364 0.139898 0.701981 120.000000 19.000004 0.960285 -0.403225 0.357529
12.054412 153.354070 0.999515 -0.573649 8.345407 0.090956 0.703743 120.000000 19.000004 0.960290 -0.482694 0.357531
12.055803 153.362043 0.999567 -0.541659 8.345470 0.132997 0.704876 120.000000 19.000004 0.960297 -0.408663 0.357534
12.057194 153.362043 0.999567 -0.510561 8.345518 0.101899 0.708083 120.000000 19.000004 0.960303 -0.408663 0.357536
12.058584 153.361513 0.999564 -0.483944 8.345549 0.065246 0.708601 120.000000 19.000004 0.960306 -0.418699 0.357537
12.059976 153.358856 0.999546 -0.475064 8.345604 0.117501 0.706714 120.000000 19.000004 0.960313 -0.357563 0.357540
12.061367 153.354070 0.999515 -0.494634 8.345610 0.011940 0.704408 120.000000 19.000004 0.960313 -0.482694 0.357540
12.062757 153.358856 0.999546 -0.475025 8.345666 0.117462 0.709115 120.000000 19.000004 0.960320 -0.357563 0.357542
12.064149 153.349819 0.999487 -0.513497 8.345702 0.075602 0.708959 120.000000 18.997505 0.960324 -0.437895 0.357544
12.065540 153.349289 0.999484 -0.543801 8.345716 0.030347 0.710217 120.000000 19.000004 0.960326 -0.513454 0.357544
12.066932 153.354070 0.999515 -0.532577 8.345740 0.049883 0.707464 120.000000 19.000004 0.960328 -0.482694 0.357545
12.068322 153.356198 0.999529 -0.504687 8.345791 0.108148 0.705571 120.000000 18.997505 0.960334 -0.396540 0.357548
12.069712 153.362577 0.999570 -0.435762 8.345795 0.008579 0.705787 120.000000 19.000004 0.960335 -0.427183 0.357548
12.071104 153.353540 0.999512 -0.434208 8.345740 -0.115839 0.706185 120.000000 19.000004 0.960328 -0.550048 0.357545
12.072496 153.345567 0.999460 -0.480924 8.345754 0.030355 0.707197 120.000000 19.000004 0.960330 -0.450569 0.357546
12.073887 153.351947 0.999501 -0.473256 8.345723 -0.065904 0.707096 120.000000 19.000004 0.960327 -0.539160 0.357545
12.075276 153.355134 0.999522 -0.441889 8.345748 0.052035 0.703472 120.000000 19.000004 0.960329 -0.389854 0.357546
12.076668 153.350353 0.999491 -0.443338 8.345746 -0.003852 0.702893 120.000000 18.997505 0.960329 -0.447190 0.357546
12.078058 153.343974 0.999449 -0.482101 8.345674 -0.151075 0.696998 120.000000 19.000004 0.960321 -0.633176 0.357543
12.079450 153.348759 0.999480 -0.478334 8.345810 0.285485 0.693298 120.000000 19.000004 0.960337 -0.192849 0.357548
12.080840 153.354604 0.999519 -0.432850 8.345832 0.046324 0.704629 120.000000 19.000004 0.960339 -0.386526 0.357549
12.082232 153.345567 0.999460 -0.450539 8.345832 -0.000030 0.704755 120.000000 19.000004 0.960339 -0.450569 0.357549
12.083623 153.347161 0.999470 -0.450560 8.345767 -0.137046 0.705596 120.000000 19.000004 0.960332 -0.587607 0.357547
