t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
11.164297 153.791477 0.999900 0.037718 14.958388 -0.010472 0.970325 120.000000 19.000004 0.983561 0.027246 0.306422
11.165689 153.793601 0.999914 0.009607 14.958397 0.017639 0.959364 120.000000 18.997505 0.983561 0.027246 0.306422
11.167078 153.784568 0.999855 -0.072297 14.958444 0.099544 0.968449 120.000000 19.000004 0.983564 0.027246 0.306423
11.168469 153.776066 0.999800 -0.194056 14.958549 0.221303 0.957869 120.000000 19.000004 0.983571 0.027246 0.306425
11.169861 153.762248 0.999710 -0.381946 14.958743 0.409192 0.970139 120.000000 19.000004 0.983584 0.027246 0.306429
11.171253 153.757462 0.999679 -0.563472 14.959022 0.590719 0.973646 120.000000 19.000004 0.983602 0.027246 0.306435
11.172642 153.759056 0.999689 -0.696624 14.959365 0.723870 0.971238 120.000000 19.000004 0.983625 0.027246 0.306442
11.174033 153.738858 0.999558 -0.930821 14.959819 0.958068 0.979148 120.000000 18.997505 0.983655 0.027246 0.306451
11.175425 153.739393 0.999561 -1.110653 14.960358 1.137900 0.973967 120.000000 19.000004 0.983690 0.027246 0.306462
11.176817 153.739393 0.999561 -1.247823 14.960962 1.275070 0.952337 120.000000 19.000004 0.983730 0.027246 0.306474
11.178208 153.722383 0.999451 -1.459562 14.961666 1.486808 0.965555 120.000000 19.000004 0.983776 0.027246 0.306489
11.179597 153.736735 0.999544 -1.526282 14.962401 1.553528 0.966450 120.000000 19.000004 0.983825 0.027246 0.306504
11.180989 153.730890 0.999506 -1.605132 14.963175 1.632378 0.969049 120.000000 19.000004 0.983876 0.027246 0.306520
11.182381 153.726105 0.999475 -1.686303 14.963986 1.713549 0.970667 120.000000 19.000004 0.983929 0.027246 0.306536
11.183772 153.727169 0.999482 -1.730554 14.964819 1.757800 0.977863 120.000000 19.000004 0.983984 0.027246 0.306553
11.185161 153.720260 0.999437 -1.796115 14.965681 1.823361 0.972290 120.000000 19.000004 0.984040 0.027246 0.306571
11.186553 153.715474 0.999406 -1.864676 14.966578 1.891923 0.963860 120.000000 19.000004 0.984099 0.027246 0.306589
11.187945 153.697405 0.999288 -2.021552 14.967549 2.048798 0.962377 120.000000 19.000004 0.984163 0.027246 0.306609
11.189336 153.691030 0.999247 -2.173174 14.968591 2.200420 0.966100 120.000000 19.000004 0.984232 0.027246 0.306631
11.190725 153.694217 0.999267 -2.256911 14.969671 2.284158 0.954729 120.000000 19.000004 0.984303 0.027246 0.306653
11.192117 153.670833 0.999115 -2.457264 14.970848 2.484511 0.953998 120.000000 19.000004 0.984380 0.027246 0.306677
11.193509 153.677207 0.999157 -2.557536 14.972073 2.584782 0.961422 120.000000 19.000004 0.984461 0.027246 0.306702
11.194900 153.673490 0.999133 -2.640657 14.973337 2.667903 0.963793 120.000000 19.000004 0.984544 0.027246 0.306728
