t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
0.000000 -1.569455 -0.010195 0.046781 0.000000 0.176064 0.689119 0.000000 19.000004 0.000000 0.222845 0.000000
0.001392 -1.539691 -0.010002 0.257483 -0.000016 -0.034638 0.691054 0.000000 19.000004 -0.000001 0.222845 -0.000001
0.002777 -1.546070 -0.010043 0.386141 -0.000093 -0.163296 0.682166 0.000000 18.997505 -0.000008 0.222845 -0.000004
0.004173 -1.472729 -0.009567 0.965454 -0.000334 -0.507109 0.692954 0.000000 18.997505 -0.000029 0.458345 -0.000014
0.005564 -1.415329 -0.009194 1.804707 -0.000723 -0.819809 0.682550 0.000000 18.997505 -0.000063 0.984898 -0.000031
0.006955 -1.352614 -0.008787 2.883775 -0.001279 -1.175081 0.685817 0.000000 19.000004 -0.000111 1.708694 -0.000055
0.008342 -1.229312 -0.007986 4.543970 -0.001767 -1.031936 0.681798 0.000000 19.000004 -0.000154 3.512035 -0.000076
0.009737 -1.134175 -0.007368 6.481340 -0.002357 -1.242495 0.676704 0.000000 19.000004 -0.000205 5.238845 -0.000101
0.011127 -1.061894 -0.006898 8.479416 -0.003184 -1.747684 0.675833 0.000000 18.997505 -0.000277 6.731732 -0.000136
0.012515 -0.961446 -0.006246 10.692730 -0.003931 -1.582782 0.693138 0.000000 18.997505 -0.000342 9.109948 -0.000168
0.013910 -0.890229 -0.005783 12.871389 -0.004922 -2.086082 0.693059 0.000000 19.000004 -0.000427 10.785307 -0.000211
0.015301 -0.809979 -0.005262 15.060979 -0.005889 -2.040548 0.683399 0.000000 19.000004 -0.000511 13.020430 -0.000252
0.016692 -0.714842 -0.004644 17.336543 -0.006609 -1.521258 0.684133 0.000000 19.000004 -0.000574 15.815285 -0.000283
0.018077 -0.643624 -0.004181 19.507025 -0.007508 -1.905582 0.688252 0.000000 19.000004 -0.000652 17.601443 -0.000322
0.019476 -0.576128 -0.003743 21.545882 -0.008530 -2.146579 0.691776 0.000000 19.000004 -0.000741 19.399304 -0.000365
0.020866 -0.504376 -0.003276 23.487205 -0.009354 -1.740801 0.687756 0.000000 19.000004 -0.000812 21.746404 -0.000401
