t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
0.000000 -1.557230 -0.010091 -0.031894 0.000000 0.254739 0.689119 0.000000 19.000004 0.000000 0.222845 0.000000
0.001392 -1.557765 -0.010094 -0.034114 0.000122 0.256959 0.695140 0.000000 19.000004 0.000013 0.222845 0.000005
0.002783 -1.520558 -0.009853 0.206621 0.000129 0.016224 0.694332 0.000000 19.000004 0.000014 0.222845 0.000006
0.004174 -1.491328 -0.009664 0.592148 0.000001 -0.271663 0.692848 0.000000 19.000004 0.000000 0.320484 0.000000
0.005564 -1.432864 -0.009285 1.283068 -0.000230 -0.487706 0.699769 0.000000 19.000004 -0.000024 0.795362 -0.000010
0.006956 -1.341454 -0.008692 2.432254 -0.000505 -0.579979 0.695315 0.000000 19.000004 -0.000053 1.852275 -0.000022
0.008345 -1.271295 -0.008238 3.807900 -0.000987 -1.018371 0.695895 0.000000 19.000004 -0.000104 2.789529 -0.000042
0.009738 -1.146934 -0.007432 5.709340 -0.001324 -0.711567 0.694198 0.000000 19.000004 -0.000139 4.997773 -0.000057
0.011127 -1.032135 -0.006688 7.961884 -0.001565 -0.509672 0.692695 0.000000 19.002502 -0.000165 7.452213 -0.000067
0.012518 -0.951350 -0.006165 10.259982 -0.002001 -0.919565 0.694031 0.000000 19.002502 -0.000211 9.340417 -0.000086
0.013909 -0.899266 -0.005827 12.387721 -0.002877 -1.850910 0.693531 0.000000 19.000004 -0.000303 10.536811 -0.000123
0.015300 -0.782873 -0.005073 14.775384 -0.003302 -0.897955 0.694714 0.000000 19.000004 -0.000348 13.877429 -0.000141
0.016691 -0.691458 -0.004481 17.191599 -0.003679 -0.795836 0.697832 0.000000 19.002502 -0.000387 16.395764 -0.000158
0.018083 -0.604294 -0.003916 19.581550 -0.004121 -0.932476 0.693662 0.000000 19.000004 -0.000434 18.649074 -0.000177
0.019473 -0.568685 -0.003685 21.592940 -0.005065 -1.995369 0.703959 0.000000 19.000004 -0.000533 19.597571 -0.000217
0.020864 -0.476740 -0.003089 23.642666 -0.005686 -1.310391 0.702264 0.000000 19.002502 -0.000599 22.332275 -0.000244
0.022255 -0.393833 -0.002552 25.646526 -0.006405 -1.517904 0.701504 0.000000 19.000004 -0.000674 24.128622 -0.000274
0.023646 -0.333241 -0.002159 27.449550 -0.007252 -1.791060 0.695644 0.000000 19.000004 -0.000764 25.658490 -0.000311
0.025036 -0.217367 -0.001409 29.431612 -0.007662 -0.865188 0.699792 0.000000 19.002502 -0.000807 28.566424 -0.000328
0.026428 -0.176443 -0.001143 31.054109 -0.008336 -1.422718 0.688529 0.000000 19.000004 -0.000878 29.631390 -0.000357
0.027819 -0.098316 -0.000637 32.610063 -0.008977 -1.353500 0.687552 0.000000 19.000004 -0.000945 31.256563 -0.000385
0.029215 0.005852 0.000038 34.265596 -0.009190 -0.447223 0.692364 0.196419 19.002502 -0.000968 33.818374 -0.000394
0.030602 0.061659 0.000400 35.674896 -0.009686 -1.050610 0.698348 0.255526 19.000004 -0.001020 34.624286 -0.000415
0.031996 0.147229 0.000954 37.062056 -0.009853 -0.352900 0.707005 0.287504 19.002502 -0.001038 36.709156 -0.000422
0.033382 0.219506 0.001422 38.333856 -0.010094 -0.509951 0.706048 0.305020 19.000004 -0.001063 37.823905 -0.000432
0.034774 0.302948 0.001963 39.570925 -0.010321 -0.479269 0.706952 0.320786 19.000004 -0.001087 39.091656 -0.000442
0.036165 0.380015 0.002462 40.727337 -0.010572 -0.530601 0.711104 0.332890 19.002502 -0.001113 40.196736 -0.000453
0.037555 0.429442 0.002783 41.627298 -0.010838 -0.560767 0.711250 0.339808 19.002502 -0.001141 41.066531 -0.000464
0.038946 0.529889 0.003434 42.641169 -0.010912 -0.157136 0.699894 0.352395 19.002502 -0.001149 42.484033 -0.000467
0.040336 0.610673 0.003957 43.611105 -0.010915 -0.006081 0.700173 0.361433 19.002502 -0.001150 43.605024 -0.000468
0.041728 0.672854 0.004360 44.414922 -0.010995 -0.169267 0.704191 0.367881 19.002502 -0.001158 44.245654 -0.000471
0.043119 0.745670 0.004832 45.144929 -0.011070 -0.157163 0.705848 0.374970 19.002502 -0.001166 44.987765 -0.000474
0.044509 0.840273 0.005445 45.949821 -0.011079 -0.019147 0.701666 0.383562 19.002502 -0.001167 45.930674 -0.000475
0.045900 0.915207 0.005930 46.680604 -0.011102 -0.048471 0.709391 0.389952 19.000004 -0.001169 46.632133 -0.000476
0.047292 0.988023 0.006402 47.329875 -0.011094 0.015910 0.706629 0.395862 19.000004 -0.001168 47.345785 -0.000475
0.048682 1.088471 0.007053 48.087278 -0.011050 0.093958 0.701556 0.403598 19.000004 -0.001164 48.181236 -0.000473
0.050073 1.132052 0.007336 48.555608 -0.011091 -0.086907 0.699238 0.406822 19.000004 -0.001168 48.468701 -0.000475
0.051465 1.212302 0.007856 49.021579 -0.011082 0.018383 0.698241 0.412571 19.000004 -0.001167 49.039962 -0.000475
0.052856 1.275552 0.008265 49.371066 -0.011052 0.063806 0.695135 0.416946 19.000004 -0.001164 49.434871 -0.000473
0.054247 1.361117 0.008820 49.766952 -0.010969 0.174389 0.695456 0.422669 19.000004 -0.001155 49.941341 -0.000470
0.055637 1.453062 0.009416 50.239408 -0.010883 0.181871 0.695263 0.428591 19.000004 -0.001146 50.421279 -0.000466
0.057028 1.522156 0.009863 50.620962 -0.010791 0.195029 0.700544 0.432901 19.000004 -0.001136 50.815992 -0.000462
0.058419 1.613571 0.010456 51.069958 -0.010688 0.217882 0.695828 0.438437 19.000004 -0.001126 51.287840 -0.000458
0.059810 1.698607 0.011007 51.528938 -0.010641 0.098490 0.696479 0.443431 19.000004 -0.001121 51.627427 -0.000456
0.061201 1.738997 0.011268 51.700979 -0.010613 0.059966 0.698974 0.445754 19.000004 -0.001118 51.760945 -0.000455
0.062592 1.841042 0.011930 52.037964 -0.010587 0.054551 0.702989 0.451493 19.000004 -0.001115 52.092515 -0.000454
0.063982 1.903223 0.012333 52.247672 -0.010568 0.040256 0.695516 0.454905 19.000004 -0.001113 52.287928 -0.000453
0.065374 1.984537 0.012860 52.475471 -0.010527 0.085094 0.697367 0.459277 19.000004 -0.001109 52.560565 -0.000451
0.066764 2.054696 0.013314 52.643673 -0.010440 0.184454 0.704398 0.462971 19.002502 -0.001100 52.828127 -0.000447
0.068156 2.117406 0.013720 52.712777 -0.010271 0.357730 0.701865 0.466216 19.002502 -0.001082 53.070507 -0.000440
0.069546 2.208291 0.014309 52.883945 -0.010048 0.469964 0.700508 0.470830 19.000004 -0.001058 53.353909 -0.000430
0.070938 2.281103 0.014781 53.018780 -0.009821 0.478345 0.708024 0.474454 19.000004 -0.001034 53.497124 -0.000421
0.072329 2.373047 0.015377 53.247791 -0.009658 0.345535 0.700606 0.478945 19.000004 -0.001017 53.593326 -0.000414
0.073719 2.437356 0.015794 53.371906 -0.009557 0.212651 0.699977 0.482032 19.000004 -0.001007 53.584557 -0.000409
0.075112 2.533022 0.016414 53.612498 -0.009473 0.178299 0.708447 0.486548 19.000004 -0.000998 53.790797 -0.000406
0.076501 2.576604 0.016696 53.608136 -0.009344 0.272885 0.704822 0.488576 19.000004 -0.000984 53.881021 -0.000400
0.077893 2.664827 0.017268 53.693228 -0.009226 0.247801 0.711337 0.492629 19.000004 -0.000972 53.941029 -0.000395
0.079283 2.727013 0.017671 53.681851 -0.009047 0.377961 0.708068 0.495444 19.000004 -0.000953 54.059812 -0.000388
0.080674 2.845529 0.018439 53.957956 -0.008878 0.358063 0.700146 0.500723 19.000004 -0.000935 54.316020 -0.000380
0.082064 2.908244 0.018845 54.103923 -0.008743 0.284321 0.697716 0.503471 19.000004 -0.000921 54.388244 -0.000375
0.083456 2.975740 0.019282 54.172950 -0.008606 0.289138 0.698794 0.506397 19.000004 -0.000906 54.462088 -0.000369
0.084846 3.056525 0.019806 54.264778 -0.008464 0.300044 0.695746 0.509855 19.000004 -0.000891 54.564822 -0.000363
0.086237 3.110737 0.020157 54.201538 -0.008260 0.431001 0.708311 0.512151 19.000004 -0.000870 54.632538 -0.000354
0.087629 3.209591 0.020798 54.302360 -0.008077 0.386327 0.702435 0.516288 19.000004 -0.000851 54.688687 -0.000346
0.089019 3.280808 0.021259 54.356958 -0.007945 0.278338 0.707864 0.519230 19.000004 -0.000837 54.635296 -0.000340
0.090410 3.340866 0.021648 54.300456 -0.007811 0.283352 0.705934 0.521688 19.000004 -0.000823 54.583809 -0.000335
0.091803 3.424308 0.022189 54.305265 -0.007684 0.267777 0.709573 0.525067 19.000004 -0.000809 54.573042 -0.000329
0.093192 3.492868 0.022633 54.264120 -0.007519 0.349236 0.706377 0.527815 18.997505 -0.000792 54.613356 -0.000322
0.094583 3.592256 0.023277 54.386240 -0.007412 0.226377 0.708915 0.531753 18.997505 -0.000781 54.612617 -0.000318
0.095975 3.666131 0.023756 54.474129 -0.007319 0.195498 0.699870 0.534648 19.000004 -0.000771 54.669627 -0.000314
0.097365 3.734691 0.024200 54.499773 -0.007313 0.013225 0.707463 0.537310 18.997505 -0.000770 54.512997 -0.000313
0.098756 3.802187 0.024638 54.466603 -0.007267 0.097029 0.703663 0.539908 19.000004 -0.000765 54.563633 -0.000311
0.100148 3.868090 0.025065 54.374912 -0.007162 0.220126 0.709080 0.542425 19.000004 -0.000754 54.595038 -0.000307
0.101538 3.968007 0.025712 54.458191 -0.007105 0.121807 0.704632 0.546204 19.000004 -0.000748 54.579997 -0.000304
0.102929 4.031252 0.026122 54.444809 -0.007068 0.076593 0.709779 0.548573 19.000004 -0.000744 54.521402 -0.000303
0.104319 4.117886 0.026683 54.505184 -0.007091 -0.047878 0.702007 0.551792 19.000004 -0.000747 54.457306 -0.000304
0.105710 4.182725 0.027103 54.483196 -0.007064 0.057371 0.699020 0.554182 18.997505 -0.000744 54.540567 -0.000303
0.107102 4.286364 0.027775 54.646105 -0.007078 -0.030453 0.699685 0.557967 18.997505 -0.000746 54.615653 -0.000303
0.108492 4.341106 0.028130 54.641253 -0.007076 0.004204 0.695660 0.559950 19.000004 -0.000745 54.645457 -0.000303
0.109885 4.410725 0.028581 54.595363 -0.007066 0.022043 0.705985 0.562456 19.000004 -0.000744 54.617406 -0.000303
0.111274 4.476098 0.029004 54.489530 -0.007006 0.127138 0.697182 0.564793 19.000004 -0.000738 54.616668 -0.000300
0.112666 4.583459 0.029700 54.608162 -0.007023 -0.035815 0.703335 0.568600 19.000004 -0.000740 54.572347 -0.000301
0.114057 4.612159 0.029886 54.397456 -0.006924 0.207631 0.698038 0.569611 18.997505 -0.000729 54.605087 -0.000297
0.115449 4.720045 0.030585 54.434476 -0.006792 0.279798 0.696466 0.573388 18.997505 -0.000715 54.714274 -0.000291
0.116838 4.810930 0.031174 54.564182 -0.006734 0.121836 0.697638 0.576541 18.997505 -0.000709 54.686018 -0.000289
0.118229 4.855042 0.031460 54.463480 -0.006624 0.232679 0.695751 0.578062 18.997505 -0.000698 54.696159 -0.000284
0.119620 4.935831 0.031983 54.413843 -0.006483 0.297855 0.696729 0.580833 19.000004 -0.000683 54.711698 -0.000278
0.121011 5.018738 0.032521 54.420157 -0.006315 0.354213 0.697013 0.583657 19.000004 -0.000665 54.774370 -0.000271
0.122402 5.058604 0.032779 54.191791 -0.006017 0.629334 0.692108 0.585008 18.997505 -0.000634 54.821125 -0.000258
0.123792 5.167024 0.033482 54.220283 -0.005708 0.652861 0.702644 0.588661 19.000004 -0.000601 54.873144 -0.000245
0.125183 5.232926 0.033909 54.181700 -0.005354 0.747202 0.695457 0.590865 19.000004 -0.000564 54.928902 -0.000229
0.126575 5.319555 0.034470 54.223105 -0.005023 0.699083 0.694467 0.593746 18.997505 -0.000529 54.922188 -0.000215
0.127966 5.372174 0.034811 54.108682 -0.004648 0.791704 0.698302 0.595487 19.000004 -0.000490 54.900386 -0.000199
0.129356 5.473151 0.035465 54.182557 -0.004340 0.651516 0.697609 0.598807 19.000004 -0.000457 54.834073 -0.000186
0.130748 5.549684 0.035961 54.250490 -0.004044 0.623578 0.694117 0.601308 19.000004 -0.000426 54.874068 -0.000173
0.132138 5.598581 0.036278 54.133405 -0.003667 0.797445 0.694302 0.602899 19.000004 -0.000386 54.930850 -0.000157
0.133529 5.670329 0.036743 54.014279 -0.003197 0.991822 0.694874 0.605222 19.000004 -0.000337 55.006100 -0.000137
0.134922 5.746332 0.037235 53.921882 -0.002654 1.145180 0.696218 0.607671 19.000004 -0.000280 55.067062 -0.000114
0.136313 5.808513 0.037638 53.762797 -0.002076 1.220840 0.694582 0.609665 19.000004 -0.000219 54.983637 -0.000089
0.137704 5.919061 0.038355 53.865455 -0.001640 0.920023 0.695173 0.613190 18.997505 -0.000173 54.785478 -0.000070
0.139093 5.996124 0.038854 53.963858 -0.001309 0.700175 0.703715 0.615632 19.000004 -0.000138 54.664033 -0.000056
0.140484 6.056716 0.039247 53.950360 -0.000993 0.668588 0.697845 0.617544 19.000004 -0.000105 54.618948 -0.000043
0.141875 6.131121 0.039729 53.935005 -0.000703 0.611729 0.695979 0.619882 18.997505 -0.000074 54.546734 -0.000030
0.143266 6.197553 0.040159 53.866749 -0.000423 0.590954 0.697553 0.621960 19.000004 -0.000045 54.457703 -0.000018
0.144656 6.285780 0.040731 53.897414 -0.000153 0.569755 0.697541 0.624706 18.997505 -0.000016 54.467169 -0.000007
0.146047 6.369752 0.041275 53.981275 0.000083 0.498237 0.697088 0.627307 18.997505 0.000008 54.479512 0.000004
0.147439 6.431403 0.041675 53.962314 0.000341 0.544984 0.697958 0.629209 19.000004 0.000036 54.507298 0.000015
0.148830 6.532385 0.042329 54.115412 0.000517 0.371640 0.709418 0.632308 19.000004 0.000054 54.487052 0.000022
0.150220 6.567994 0.042560 53.982760 0.000753 0.498391 0.709818 0.633397 18.997505 0.000079 54.481151 0.000032
0.151611 6.636554 0.043004 53.831696 0.001101 0.734461 0.710324 0.635488 19.000004 0.000116 54.566157 0.000047
0.153003 6.718402 0.043534 53.752958 0.001505 0.852804 0.710270 0.637973 19.000004 0.000158 54.605762 0.000064
0.154394 6.799716 0.044061 53.731057 0.001890 0.813333 0.709750 0.640431 19.000004 0.000199 54.544390 0.000081
0.155784 6.882628 0.044598 53.766880 0.002217 0.690277 0.700928 0.642927 19.000004 0.000233 54.457157 0.000095
0.157176 6.963413 0.045122 53.834908 0.002438 0.468035 0.709159 0.645348 19.000004 0.000256 54.302943 0.000104
0.158568 7.006995 0.045404 53.686474 0.002704 0.559542 0.710448 0.646651 19.000004 0.000284 54.246016 0.000116
0.159957 7.090437 0.045945 53.622454 0.003025 0.680013 0.707194 0.649136 18.997505 0.000318 54.302467 0.000130
0.161348 7.151024 0.046338 53.479130 0.003416 0.824616 0.707576 0.650934 19.000004 0.000359 54.303746 0.000146
0.162740 7.233931 0.046875 53.416625 0.003838 0.889969 0.707722 0.653386 19.000004 0.000404 54.306594 0.000164
0.164130 7.331726 0.047508 53.518842 0.004124 0.606033 0.705989 0.656265 19.000004 0.000434 54.124875 0.000177
0.165521 7.394441 0.047915 53.526415 0.004370 0.518671 0.699134 0.658105 19.000004 0.000460 54.045087 0.000187
0.166911 7.476284 0.048445 53.580777 0.004594 0.474271 0.701974 0.660498 19.000004 0.000484 54.055048 0.000197
0.168302 7.527310 0.048776 53.472208 0.004874 0.589750 0.704686 0.661985 19.000004 0.000513 54.061958 0.000209
0.169693 7.610217 0.049313 53.438995 0.005172 0.629334 0.705965 0.664395 19.000004 0.000544 54.068329 0.000222
0.171085 7.687280 0.049812 53.429241 0.005487 0.664783 0.705520 0.666626 18.997505 0.000577 54.094024 0.000235
0.172475 7.745214 0.050188 53.314920 0.005770 0.597958 0.696725 0.668299 19.000004 0.000607 53.912878 0.000247
0.173866 7.849383 0.050863 53.416656 0.005979 0.441300 0.694491 0.671297 19.000004 0.000629 53.857957 0.000256
0.175257 7.925382 0.051355 53.510955 0.006136 0.331925 0.695159 0.673475 18.997505 0.000646 53.842880 0.000263
0.176647 7.991284 0.051782 53.532769 0.006294 0.333652 0.697868 0.675359 19.000004 0.000662 53.866422 0.000270
0.178038 8.040181 0.052099 53.384227 0.006527 0.492860 0.708642 0.676753 19.000004 0.000687 53.877087 0.000280
0.179430 8.131596 0.052692 53.374281 0.006811 0.599522 0.710890 0.679353 19.000004 0.000717 53.973803 0.000292
0.180821 8.203878 0.053160 53.353423 0.007114 0.638543 0.710698 0.681402 18.997505 0.000749 53.991966 0.000305
0.182213 8.278283 0.053642 53.337161 0.007402 0.607403 0.707856 0.683505 19.000004 0.000779 53.944564 0.000317
0.183604 8.329838 0.053976 53.176328 0.007740 0.715462 0.696748 0.684958 19.000004 0.000815 53.891790 0.000332
0.184994 8.416467 0.054537 53.127621 0.008043 0.640394 0.691106 0.687395 18.997505 0.000847 53.768015 0.000345
0.186384 8.477589 0.054934 53.004600 0.008443 0.843455 0.701077 0.689109 18.997505 0.000889 53.848056 0.000362
