t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
12.879881 154.311807 0.999917 0.044920 9.074611 -0.017673 0.765561 120.000000 19.000004 0.955419 0.027246 0.388771
12.881272 154.304898 0.999873 0.013578 9.074617 0.013668 0.768310 120.000000 19.000004 0.955419 0.027246 0.388772
12.882669 154.285765 0.999749 -0.136771 9.074695 0.164018 0.765671 120.000000 19.000004 0.955428 0.027246 0.388775
12.884060 154.284701 0.999742 -0.265549 9.074834 0.292796 0.766733 120.000000 19.000004 0.955442 0.027246 0.388781
12.885451 154.271947 0.999659 -0.451604 9.075061 0.478851 0.775021 120.000000 18.997505 0.955466 0.027246 0.388791
12.886837 154.268755 0.999638 -0.620643 9.075366 0.647889 0.782371 120.000000 18.997505 0.955498 0.027246 0.388804
12.888235 154.283107 0.999731 -0.659952 9.075694 0.687199 0.769981 120.000000 19.000004 0.955533 0.027246 0.388818
12.889623 154.248028 0.999504 -0.914539 9.076139 0.941786 0.781254 120.000000 19.000004 0.955580 0.027246 0.388837
12.891010 154.240060 0.999452 -1.166598 9.076702 1.193845 0.781346 120.000000 18.997505 0.955639 0.027246 0.388861
12.892405 154.243247 0.999473 -1.341621 9.077353 1.368868 0.762375 120.000000 19.000004 0.955707 0.027246 0.388889
12.893797 154.238461 0.999442 -1.503921 9.078078 1.531167 0.775941 120.000000 19.000004 0.955784 0.027246 0.388920
12.895187 154.220926 0.999328 -1.737330 9.078914 1.764576 0.779220 120.000000 19.000004 0.955872 0.027246 0.388956
12.896575 154.221456 0.999332 -1.909294 9.079828 1.936540 0.778364 120.000000 19.000004 0.955968 0.027246 0.388995
12.897965 154.221986 0.999335 -2.029366 9.080802 2.056612 0.765888 120.000000 19.000004 0.956071 0.027246 0.389037
12.899360 154.222520 0.999339 -2.105757 9.081815 2.133003 0.768587 120.000000 19.000004 0.956177 0.027246 0.389080
12.900747 154.224114 0.999349 -2.138920 9.082837 2.166166 0.768051 120.000000 19.000004 0.956285 0.027246 0.389124
12.902144 154.218798 0.999315 -2.181215 9.083888 2.208461 0.766531 120.000000 18.997505 0.956395 0.027246 0.389169
12.903533 154.207638 0.999242 -2.268771 9.084974 2.296017 0.766984 120.000000 19.000004 0.956510 0.027246 0.389215
12.904921 154.185847 0.999101 -2.461822 9.086150 2.489068 0.767486 120.000000 19.000004 0.956634 0.027246 0.389266
12.906311 154.188505 0.999118 -2.580304 9.087384 2.607550 0.765344 120.000000 19.000004 0.956764 0.027246 0.389319
12.907709 154.172559 0.999015 -2.757633 9.088710 2.784880 0.771854 120.000000 19.000004 0.956903 0.027246 0.389375
12.909097 154.162463 0.998950 -2.943632 9.090113 2.970879 0.765990 120.000000 19.000004 0.957051 0.027246 0.389436
12.910484 154.169901 0.998998 -3.020907 9.091553 3.048154 0.768585 120.000000 19.000004 0.957203 0.027246 0.389497
12.911875 154.149709 0.998867 -3.188284 9.093076 3.215531 0.768426 120.000000 18.997505 0.957363 0.027246 0.389563
12.913272 154.144393 0.998833 -3.330929 9.094673 3.358175 0.765609 120.000000 18.997505 0.957531 0.027246 0.389631
