t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
0.000000 -1.624731 -0.010570 -0.206520 0.000000 0.429365 0.455696 0.000000 19.000004 0.000000 0.222845 0.000000
0.001392 -1.594967 -0.010377 -0.015194 0.000113 0.238039 0.462191 0.000000 19.000004 0.000026 0.222845 0.000006
0.002783 -1.616758 -0.010519 -0.000276 0.000219 0.223121 0.461625 0.000000 19.000004 0.000051 0.222845 0.000011
0.004172 -1.566797 -0.010193 0.337200 0.000164 -0.114355 0.456005 0.000000 19.000004 0.000038 0.222845 0.000008
0.005564 -1.500365 -0.009761 1.042939 -0.000195 -0.759033 0.459004 0.000000 19.000004 -0.000045 0.283905 -0.000010
0.006956 -1.433399 -0.009326 2.047266 -0.000791 -1.257682 0.457365 0.000000 19.000004 -0.000184 0.789584 -0.000040
0.008348 -1.337732 -0.008703 3.473792 -0.001537 -1.573635 0.461043 0.000000 19.000004 -0.000358 1.900157 -0.000079
0.009737 -1.230376 -0.008005 5.309241 -0.002395 -1.815518 0.461186 0.000000 19.000004 -0.000558 3.493723 -0.000122
0.011128 -1.139491 -0.007413 7.355584 -0.003446 -2.217170 0.470321 0.000000 19.000004 -0.000803 5.138414 -0.000176
0.012520 -1.062958 -0.006916 9.462598 -0.004752 -2.756628 0.470459 0.000000 19.000004 -0.001107 6.705970 -0.000243
0.013912 -0.956666 -0.006224 11.793917 -0.005972 -2.574834 0.471302 0.000000 19.000004 -0.001391 9.219082 -0.000305
0.015303 -0.885977 -0.005764 14.055951 -0.007466 -3.153744 0.472089 0.000000 19.000004 -0.001739 10.902207 -0.000382
0.016692 -0.798814 -0.005197 16.348305 -0.008873 -2.974874 0.466269 0.000000 19.000004 -0.002068 13.373431 -0.000454
0.018084 -0.723345 -0.004706 18.568346 -0.010277 -2.964122 0.471911 0.000000 19.000004 -0.002395 15.604223 -0.000525
0.019476 -0.648940 -0.004222 20.702082 -0.011814 -3.242221 0.468636 0.000000 19.000004 -0.002752 17.459861 -0.000604
0.020867 -0.572936 -0.003727 22.756250 -0.013364 -3.271919 0.459788 0.000000 19.000004 -0.003113 19.484331 -0.000683
0.022256 -0.512349 -0.003333 24.626732 -0.014841 -3.123551 0.467522 0.000000 19.000004 -0.003458 21.503181 -0.000759
0.023648 -0.430501 -0.002801 26.467898 -0.016336 -3.155362 0.471057 0.000000 19.000004 -0.003806 23.312537 -0.000835
0.025039 -0.327925 -0.002133 28.403302 -0.017573 -2.610607 0.471296 0.000000 19.000004 -0.004094 25.792696 -0.000898
0.026431 -0.262558 -0.001708 30.156086 -0.018869 -2.736115 0.471071 0.000000 19.000004 -0.004396 27.419970 -0.000965
0.027820 -0.192919 -0.001255 31.771841 -0.020084 -2.569193 0.469931 0.000000 19.000004 -0.004680 29.202648 -0.001027
0.029212 -0.081841 -0.000532 33.530013 -0.021006 -1.945064 0.468864 0.000000 19.000004 -0.004895 31.584949 -0.001074
0.030603 -0.036131 -0.000235 34.963283 -0.021928 -1.947614 0.466023 0.000000 19.000004 -0.005109 33.015669 -0.001121
0.031995 0.045713 0.000297 36.352786 -0.022856 -1.958781 0.468429 0.492472 19.000004 -0.005326 34.394005 -0.001168
0.033387 0.108962 0.000709 37.572741 -0.023771 -1.929877 0.466266 0.551461 19.000004 -0.005539 35.642864 -0.001215
0.034779 0.204094 0.001328 38.850444 -0.024370 -1.263736 0.469793 0.603706 19.000004 -0.005678 37.586708 -0.001246
0.036168 0.274248 0.001784 40.001958 -0.025007 -1.346345 0.468913 0.631889 19.000004 -0.005827 38.655613 -0.001278
0.037559 0.348123 0.002265 41.063263 -0.025634 -1.323640 0.470176 0.656637 19.000004 -0.005973 39.739623 -0.001310
0.038948 0.415624 0.002704 42.000350 -0.026201 -1.198456 0.461672 0.676318 19.000004 -0.006105 40.801894 -0.001339
0.040340 0.494810 0.003219 42.902579 -0.026608 -0.859934 0.463027 0.696871 19.000004 -0.006200 42.042645 -0.001360
0.041732 0.588883 0.003831 43.865002 -0.026853 -0.516746 0.470778 0.718668 19.000004 -0.006257 43.348255 -0.001373
0.043123 0.661694 0.004305 44.729564 -0.027137 -0.598891 0.465772 0.734046 19.000004 -0.006323 44.130673 -0.001387
0.044515 0.735569 0.004786 45.513093 -0.027434 -0.628166 0.468476 0.748590 19.000004 -0.006392 44.884927 -0.001402
0.045904 0.836551 0.005443 46.400479 -0.027674 -0.506739 0.464583 0.767061 18.997505 -0.006448 45.893740 -0.001415
0.047296 0.858871 0.005588 46.851853 -0.028027 -0.745911 0.461340 0.770955 19.000004 -0.006530 46.105942 -0.001433
0.048687 0.923715 0.006010 47.219070 -0.028268 -0.507474 0.457552 0.781927 19.000004 -0.006586 46.711596 -0.001445
0.050079 1.023632 0.006660 47.742394 -0.028301 -0.070915 0.461026 0.797951 18.997505 -0.006594 47.671479 -0.001447
0.051468 1.107604 0.007206 48.285845 -0.028291 0.021594 0.460916 0.810705 19.000004 -0.006592 48.307439 -0.001446
0.052859 1.189452 0.007738 48.826169 -0.028269 0.046976 0.466964 0.822594 18.997505 -0.006587 48.873145 -0.001445
0.054251 1.244194 0.008095 49.182565 -0.028239 0.062045 0.460994 0.830278 19.000004 -0.006580 49.244610 -0.001443
0.055643 1.345171 0.008752 49.686137 -0.028163 0.161915 0.465582 0.843951 19.000004 -0.006562 49.848052 -0.001440
0.057032 1.391945 0.009056 49.953678 -0.028090 0.152782 0.462918 0.850083 19.000004 -0.006545 50.106459 -0.001436
0.058424 1.462628 0.009516 50.180304 -0.027953 0.290254 0.469633 0.859129 19.000004 -0.006513 50.470558 -0.001429
0.059815 1.545006 0.010052 50.447514 -0.027718 0.496434 0.455769 0.869363 19.000004 -0.006458 50.943948 -0.001417
0.061207 1.597625 0.010394 50.551697 -0.027407 0.656165 0.468743 0.875739 18.997505 -0.006386 51.207861 -0.001401
0.062596 1.670437 0.010868 50.653926 -0.026993 0.875302 0.465631 0.884369 18.997505 -0.006289 51.529228 -0.001380
0.063988 1.771948 0.011528 50.939560 -0.026552 0.929578 0.464808 0.896060 19.000004 -0.006187 51.869138 -0.001357
0.065379 1.841042 0.011978 51.161723 -0.026111 0.930793 0.471300 0.903806 19.000004 -0.006084 52.092515 -0.001335
0.066771 1.922886 0.012510 51.412904 -0.025667 0.938541 0.473436 0.912779 19.000004 -0.005980 52.351444 -0.001312
0.068160 1.985072 0.012915 51.558521 -0.025192 1.003857 0.465453 0.919458 19.000004 -0.005870 52.562378 -0.001288
0.069551 2.086053 0.013572 51.868036 -0.024679 1.083567 0.470168 0.930069 19.000004 -0.005750 52.951603 -0.001261
0.070943 2.156207 0.014028 52.108234 -0.024154 1.107327 0.473380 0.937279 19.000004 -0.005628 53.215561 -0.001235
0.072335 2.216264 0.014419 52.223774 -0.023609 1.150947 0.469773 0.943353 19.000004 -0.005501 53.374721 -0.001207
0.073726 2.288541 0.014889 52.315757 -0.023043 1.193735 0.463908 0.950549 18.997505 -0.005369 53.509492 -0.001178
0.075116 2.360823 0.015359 52.388503 -0.022477 1.197194 0.455908 0.957627 19.000004 -0.005237 53.585698 -0.001149
0.076507 2.466590 0.016047 52.661991 -0.022010 0.985591 0.460471 0.967784 19.000004 -0.005128 53.647581 -0.001125
0.077899 2.533552 0.016483 52.844716 -0.021561 0.947223 0.465854 0.974098 19.000004 -0.005024 53.791939 -0.001102
0.079291 2.601053 0.016922 52.954987 -0.021099 0.975564 0.464577 0.980377 19.000004 -0.004916 53.930550 -0.001078
0.080680 2.670677 0.017375 53.019719 -0.020661 0.924888 0.463322 0.986767 18.997505 -0.004814 53.944608 -0.001056
0.082071 2.748269 0.017880 53.097499 -0.020185 1.005781 0.460226 0.993790 19.000004 -0.004703 54.103280 -0.001032
