t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
0.000000 -1.635357 -0.010655 -0.069351 0.000000 0.292196 0.506329 0.000000 19.000004 0.000000 0.222845 0.000000
0.001392 -1.638015 -0.010672 -0.092587 0.000150 0.315432 0.511120 0.000000 19.000004 0.000049 0.222845 0.000007
0.002784 -1.635357 -0.010655 -0.093470 0.000299 0.316316 0.508583 0.000000 19.000004 0.000099 0.222845 0.000013
0.004176 -1.613566 -0.010513 0.048515 0.000382 0.174330 0.498196 0.000000 19.000004 0.000126 0.222845 0.000017
0.005567 -1.560423 -0.010166 0.510290 0.000246 -0.287445 0.498504 0.000000 19.000004 0.000081 0.222845 0.000011
0.006956 -1.466350 -0.009553 1.496169 -0.000223 -0.990538 0.507276 0.000000 19.000004 -0.000074 0.505631 -0.000010
0.008348 -1.381844 -0.009003 2.839935 -0.000930 -1.493084 0.508416 0.000000 19.000004 -0.000308 1.346850 -0.000041
0.009739 -1.304781 -0.008501 4.416071 -0.001921 -2.091983 0.509307 0.000000 19.000004 -0.000636 2.324088 -0.000086
0.011128 -1.206457 -0.007860 6.306691 -0.003057 -2.401337 0.503159 0.000000 18.997505 -0.001013 3.905354 -0.000136
0.012520 -1.116106 -0.007272 8.385692 -0.004386 -2.805436 0.509916 0.000000 19.000004 -0.001453 5.580256 -0.000195
0.013912 -1.015659 -0.006617 10.665802 -0.005720 -2.814707 0.497668 0.000000 18.997505 -0.001894 7.851095 -0.000255
0.015303 -0.925838 -0.006032 13.020691 -0.007187 -3.097886 0.509028 0.000000 19.000004 -0.002380 9.922804 -0.000320
0.016692 -0.840802 -0.005478 15.384587 -0.008720 -3.240170 0.509393 0.000000 19.000004 -0.002888 12.144417 -0.000388
0.018084 -0.760547 -0.004955 17.703100 -0.010198 -3.119825 0.506322 0.000000 18.997505 -0.003377 14.583276 -0.000454
0.019476 -0.654255 -0.004263 20.132939 -0.011531 -2.813692 0.510202 0.000000 19.000004 -0.003819 17.319248 -0.000513
0.020867 -0.583037 -0.003799 22.403548 -0.013041 -3.188275 0.511187 0.000000 19.000004 -0.004319 19.215273 -0.000581
