t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
7.824471 153.476313 0.999917 0.124860 2.922924 -0.097614 0.514849 120.000000 19.000004 0.967962 0.027246 0.130144
7.825862 153.474719 0.999907 0.088716 2.922894 -0.061469 0.513041 120.000000 19.000004 0.967953 0.027246 0.130142
7.827254 153.465153 0.999844 -0.003961 2.922909 0.031207 0.513947 120.000000 19.000004 0.967958 0.027246 0.130143
7.828643 153.466212 0.999851 -0.072907 2.922957 0.100154 0.514434 120.000000 19.000004 0.967973 0.027246 0.130145
7.830034 153.461961 0.999823 -0.156373 2.923044 0.183620 0.509309 120.000000 18.997505 0.968002 0.027246 0.130149
7.831426 153.438576 0.999671 -0.375532 2.923234 0.402779 0.515176 120.000000 19.000004 0.968065 0.027246 0.130158
7.832818 153.451330 0.999754 -0.468531 2.923469 0.495777 0.513907 120.000000 19.000004 0.968143 0.027246 0.130168
7.834210 153.443362 0.999702 -0.592298 2.923763 0.619544 0.515793 120.000000 18.997505 0.968240 0.027246 0.130181
7.835599 153.425822 0.999588 -0.802460 2.924155 0.829707 0.512255 120.000000 19.000004 0.968370 0.027246 0.130199
7.836991 153.420507 0.999553 -1.001862 2.924643 1.029108 0.509604 120.000000 19.000004 0.968532 0.027246 0.130220
7.838382 153.420507 0.999553 -1.156040 2.925204 1.183287 0.514542 120.000000 19.000004 0.968717 0.027246 0.130245
7.839774 153.420507 0.999553 -1.271796 2.925819 1.299042 0.510428 120.000000 18.997505 0.968921 0.027246 0.130273
7.841163 153.420507 0.999553 -1.355069 2.926473 1.382316 0.506470 120.000000 19.000004 0.969138 0.027246 0.130302
7.842554 153.417849 0.999536 -1.428273 2.927162 1.455520 0.499033 120.000000 19.000004 0.969366 0.027246 0.130332
7.843946 153.408812 0.999477 -1.534101 2.927923 1.604426 0.519334 120.000000 19.000004 0.969618 0.070325 0.130366
7.845338 153.400309 0.999422 -1.662199 2.928713 1.667546 0.516687 120.000000 18.997505 0.969879 0.005348 0.130401
7.846727 153.396588 0.999397 -1.776276 2.929545 1.760809 0.514262 120.000000 19.000004 0.970155 -0.015467 0.130439
7.848118 153.413068 0.999505 -1.746288 2.930308 1.609559 0.518960 120.000000 19.000004 0.970408 -0.136728 0.130472
7.849510 153.398186 0.999408 -1.802799 2.931133 1.740776 0.513217 120.000000 19.000004 0.970681 -0.062023 0.130509
7.850902 153.419977 0.999550 -1.690870 2.931947 1.718116 0.511079 120.000000 19.000004 0.970950 0.027246 0.130545
7.852291 153.404561 0.999449 -1.684305 2.932683 1.556308 0.511736 120.000000 19.000004 0.971194 -0.127997 0.130578
7.853682 153.399245 0.999415 -1.698275 2.933380 1.471233 0.511148 120.000000 18.997505 0.971425 -0.227042 0.130609
7.855119 153.397122 0.999401 -1.707654 2.934229 1.736999 0.509762 120.000000 19.000004 0.971698 0.029344 0.130647
7.856466 153.398186 0.999408 -1.693432 2.934977 1.631410 0.510350 120.000000 19.000004 0.971953 -0.062023 0.130680
7.857856 153.398716 0.999411 -1.663019 2.935751 1.635648 0.509475 120.000000 19.000004 0.972210 -0.027371 0.130715
7.859246 153.400309 0.999422 -1.612696 2.936517 1.618043 0.509700 120.000000 19.000004 0.972464 0.005348 0.130749
7.860639 153.404561 0.999449 -1.529196 2.937182 1.401200 0.508681 120.000000 19.000004 0.972683 -0.127997 0.130779
7.862030 153.400309 0.999422 -1.474651 2.937883 1.479998 0.509076 120.000000 18.997505 0.972915 0.005348 0.130810
7.863423 153.387026 0.999335 -1.503097 2.938528 1.361833 0.509388 120.000000 19.000004 0.973129 -0.141264 0.130838
7.864811 153.373203 0.999245 -1.602783 2.939202 1.425533 0.518964 120.000000 19.000004 0.973353 -0.177250 0.130869
7.866203 153.361513 0.999169 -1.745981 2.939831 1.327283 0.516828 120.000000 19.000004 0.973561 -0.418699 0.130897
7.867595 153.362577 0.999176 -1.840480 2.940501 1.413297 0.514867 120.000000 19.000004 0.973782 -0.427183 0.130926
7.868984 153.358856 0.999152 -1.925439 2.941242 1.567876 0.512099 120.000000 19.000004 0.974028 -0.357563 0.130959
7.870375 153.362577 0.999176 -1.953326 2.941965 1.526142 0.520308 120.000000 19.000004 0.974268 -0.427183 0.130992
7.871767 153.351947 0.999107 -2.027670 2.942671 1.488510 0.511341 120.000000 19.000004 0.974501 -0.539160 0.131023
7.873159 153.353540 0.999117 -2.059788 2.943386 1.509740 0.520609 120.000000 19.000004 0.974738 -0.550048 0.131055
7.874548 153.344503 0.999058 -2.126294 2.944110 1.530933 0.509772 120.000000 19.000004 0.974978 -0.595361 0.131087
7.875939 153.352476 0.999110 -2.109573 2.944852 1.566796 0.511856 120.000000 19.000004 0.975224 -0.542778 0.131120
7.877331 153.343444 0.999051 -2.135573 2.945687 1.762164 0.514137 120.000000 19.000004 0.975500 -0.373409 0.131157
7.878723 153.338658 0.999020 -2.168668 2.946526 1.769249 0.514351 120.000000 19.000004 0.975777 -0.399419 0.131195
7.880111 153.338658 0.999020 -2.176155 2.947366 1.776735 0.508902 120.000000 19.000004 0.976056 -0.399419 0.131232
7.881503 153.340786 0.999034 -2.148712 2.948173 1.704574 0.508788 120.000000 18.997505 0.976323 -0.444138 0.131268
7.882895 153.334937 0.998996 -2.144861 2.949016 1.778154 0.515142 120.000000 18.997505 0.976602 -0.366707 0.131305
7.884286 153.337594 0.999013 -2.104972 2.949803 1.662026 0.513551 120.000000 18.997505 0.976863 -0.442946 0.131341
7.885678 153.334407 0.998992 -2.073993 2.950611 1.703953 0.511954 120.000000 18.997505 0.977130 -0.370040 0.131376
7.887068 153.334937 0.998996 -2.026424 2.951396 1.659716 0.507086 120.000000 19.000004 0.977390 -0.366707 0.131411
7.888459 153.324840 0.998930 -2.034848 2.952170 1.634595 0.502037 120.000000 19.000004 0.977647 -0.400253 0.131446
7.889851 153.308894 0.998826 -2.127124 2.953119 2.001968 0.506439 120.000000 19.000004 0.977961 -0.125156 0.131488
7.891240 153.301985 0.998781 -2.228420 2.954106 2.087016 0.512303 120.000000 19.000004 0.978288 -0.141404 0.131532
7.892631 153.320060 0.998899 -2.173493 2.954946 1.773173 0.515633 120.000000 18.997505 0.978566 -0.400320 0.131569
7.894023 153.336001 0.999003 -2.005046 2.955663 1.513593 0.505016 120.000000 19.000004 0.978804 -0.491453 0.131601
7.895415 153.325370 0.998933 -1.918178 2.956396 1.547129 0.516408 120.000000 19.000004 0.979046 -0.371049 0.131634
7.896806 153.318995 0.998892 -1.871179 2.957094 1.473257 0.509096 120.000000 18.997505 0.979277 -0.397922 0.131665
7.898195 153.327498 0.998947 -1.760425 2.957758 1.403627 0.501586 120.000000 19.000004 0.979497 -0.356797 0.131695
