t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
0.000000 -1.510461 -0.009845 -0.027734 0.000000 0.250579 0.689119 0.000000 19.000004 0.000000 0.222845 0.000000
0.001393 -1.496643 -0.009755 0.052304 0.000108 0.228781 0.690730 0.000000 19.000004 0.000013 0.281085 0.000005
0.002777 -1.495579 -0.009748 0.124291 0.000186 0.164681 0.693871 0.000000 19.000004 0.000022 0.288972 0.000008
0.004169 -1.519498 -0.009904 0.026368 0.000279 0.196477 0.695160 0.000000 19.002502 0.000032 0.222845 0.000012
0.005566 -1.473788 -0.009606 0.243566 0.000378 0.206928 0.696363 0.000000 19.002502 0.000044 0.450494 0.000016
0.006957 -1.448810 -0.009443 0.581834 0.000403 0.053806 0.697466 0.000000 19.000004 0.000047 0.635640 0.000017
0.008347 -1.358459 -0.008854 1.441764 0.000494 0.191732 0.697853 0.000000 19.000004 0.000057 1.633496 0.000021
0.009735 -1.290963 -0.008414 2.572104 0.000461 -0.070243 0.697587 0.000000 19.000004 0.000053 2.501861 0.000020
0.011129 -1.195297 -0.007791 4.096601 0.000461 0.000813 0.696837 0.000000 19.000004 0.000053 4.097414 0.000020
0.012519 -1.128860 -0.007358 5.739458 0.000272 -0.400181 0.698896 0.000000 19.002502 0.000031 5.339276 0.000012
0.013906 -1.010344 -0.006585 7.804942 0.000354 0.174840 0.697139 0.000000 19.002502 0.000041 7.979782 0.000015
0.015301 -0.936998 -0.006107 9.902957 0.000243 -0.234912 0.697204 0.000000 19.000004 0.000028 9.668045 0.000010
0.016692 -0.841866 -0.005487 12.150569 0.000226 -0.035410 0.696962 0.000000 19.002502 0.000026 12.115159 0.000010
0.018086 -0.773835 -0.005044 14.323492 0.000150 -0.160344 0.694606 0.000000 19.000004 0.000017 14.163148 0.000006
0.019468 -0.696773 -0.004541 16.474779 0.000050 -0.210959 0.696021 0.000000 19.000004 0.000006 16.263820 0.000002
0.020860 -0.617582 -0.004025 18.603025 -0.000095 -0.307907 0.695467 0.000000 19.000004 -0.000011 18.295118 -0.000004
0.022257 -0.559653 -0.003648 20.554503 -0.000407 -0.654638 0.695301 0.000000 19.000004 -0.000047 19.899865 -0.000017
0.023643 -0.462922 -0.003017 22.595898 -0.000393 0.029311 0.696197 0.000000 19.000004 -0.000045 22.625210 -0.000017
0.025040 -0.404459 -0.002636 24.442602 -0.000668 -0.577979 0.695231 0.000000 19.002502 -0.000077 23.864623 -0.000029
0.026429 -0.299760 -0.001954 26.414788 -0.000629 0.081033 0.695679 0.000000 19.002502 -0.000073 26.495821 -0.000027
0.027817 -0.232794 -0.001517 28.226575 -0.000659 -0.061586 0.695694 0.000000 19.000004 -0.000076 28.164989 -0.000028
0.029211 -0.165812 -0.001081 29.890080 -0.000650 0.017952 0.697667 0.000000 19.000004 -0.000075 29.908031 -0.000028
0.030603 -0.097252 -0.000634 31.427909 -0.000721 -0.150137 0.697078 0.000000 19.000004 -0.000083 31.277772 -0.000031
0.031994 -0.021249 -0.000138 32.898181 -0.000471 0.528814 0.697118 0.000000 19.002502 -0.000054 33.426995 -0.000020
0.033379 0.048370 0.000315 34.250752 -0.000385 0.181633 0.696464 0.496034 19.002502 -0.000044 34.432385 -0.000016
0.034777 0.142443 0.000928 35.659218 0.000080 0.976083 0.697098 0.572766 19.000004 0.000009 36.635302 0.000003
0.036166 0.212067 0.001382 36.949063 0.000439 0.760685 0.694652 0.607386 19.000004 0.000051 37.709748 0.000019
0.037557 0.277969 0.001812 38.099672 0.000729 0.612486 0.695049 0.633419 19.000004 0.000085 38.712157 0.000031
0.038949 0.350781 0.002286 39.172096 0.001016 0.605619 0.695291 0.657654 19.002502 0.000118 39.777715 0.000044
0.040336 0.421469 0.002747 40.154587 0.001375 0.759246 0.693418 0.678127 19.000004 0.000160 40.913834 0.000059
0.041746 0.489499 0.003190 41.039677 0.001824 0.936148 0.697632 0.695782 19.000004 0.000211 41.975825 0.000078
0.043116 0.575594 0.003752 41.951730 0.002383 1.197566 0.698694 0.715964 19.000004 0.000277 43.149296 0.000102
0.044508 0.653721 0.004261 42.827016 0.002962 1.221514 0.696056 0.732659 19.000004 0.000344 44.048530 0.000127
