t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
0.000000 -1.528531 -0.009938 -0.166975 0.000000 0.389820 0.689119 0.000000 19.000004 0.000000 0.222845 0.000000
0.001391 -1.513119 -0.009838 -0.146926 0.000175 0.369771 0.691067 0.000000 18.997505 0.000025 0.222845 0.000012
0.002783 -1.472195 -0.009572 0.137248 0.000329 0.325058 0.685980 0.000000 19.000004 0.000047 0.462306 0.000023
0.004172 -1.447217 -0.009409 0.531284 0.000384 0.116168 0.682433 0.000000 19.000004 0.000055 0.647453 0.000027
0.005564 -1.366432 -0.008884 1.375016 0.000458 0.155904 0.692054 0.000000 18.997505 0.000065 1.530920 0.000032
0.006955 -1.296808 -0.008431 2.506620 0.000420 -0.079956 0.695187 0.000000 19.000004 0.000060 2.426664 0.000029
0.008347 -1.188388 -0.007726 4.116223 0.000468 0.100090 0.693725 0.000000 18.997505 0.000067 4.216313 0.000033
0.009739 -1.079968 -0.007022 6.102686 0.000558 0.191462 0.695278 0.000000 18.997505 0.000080 6.294148 0.000039
0.011127 -1.000777 -0.006507 8.189348 0.000569 0.022047 0.689142 0.000000 19.000004 0.000081 8.211395 0.000040
0.012519 -0.914148 -0.005943 10.387549 0.000475 -0.197896 0.676025 0.000000 19.000004 0.000068 10.189652 0.000033
0.013911 -0.817947 -0.005318 12.719449 0.000500 0.053422 0.682010 0.000000 19.000004 0.000071 12.772871 0.000035
0.015302 -0.740355 -0.004814 15.018792 0.000578 0.163187 0.672955 0.000000 19.000004 0.000083 15.181979 0.000040
0.016694 -0.648940 -0.004219 17.360427 0.000625 0.099434 0.684062 0.000000 19.000004 0.000089 17.459861 0.000044
0.018083 -0.583567 -0.003794 19.545907 0.000462 -0.344740 0.683724 0.000000 19.000004 0.000066 19.201167 0.000032
0.019475 -0.519793 -0.003379 21.573313 0.000309 -0.322421 0.695532 0.000000 19.000004 0.000044 21.250892 0.000022
0.020866 -0.440602 -0.002865 23.553282 0.000093 -0.454885 0.694761 0.000000 19.000004 0.000013 23.098397 0.000007
0.022255 -0.373635 -0.002429 25.397340 -0.000265 -0.758762 0.695298 0.000000 19.000004 -0.000038 24.638578 -0.000019
