t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
0.000000 -1.635892 -0.010660 -0.014085 0.000000 0.236930 0.506329 0.000000 19.002502 0.000000 0.222845 0.000000
0.001392 -1.627389 -0.010604 0.033761 0.000090 0.189084 0.493451 0.000000 19.000004 0.000048 0.222845 0.000005
0.002781 -1.625261 -0.010591 0.086483 0.000154 0.136362 0.498637 0.000000 19.000004 0.000082 0.222845 0.000009
0.004173 -1.579021 -0.010289 0.429896 0.000056 -0.207050 0.500531 0.000000 19.000004 0.000030 0.222845 0.000003
0.005565 -1.513649 -0.009863 1.132753 -0.000375 -0.909908 0.503285 0.000000 19.000004 -0.000199 0.222845 -0.000021
0.006956 -1.401512 -0.009133 2.427973 -0.000988 -1.293714 0.504122 0.000000 19.000004 -0.000524 1.134258 -0.000056
0.008346 -1.316471 -0.008578 4.020061 -0.001862 -1.846368 0.505279 0.000000 19.000004 -0.000988 2.173693 -0.000105
0.009738 -1.214960 -0.007917 5.947985 -0.002899 -2.188955 0.499906 0.000000 19.000004 -0.001538 3.759030 -0.000163
0.011129 -1.131518 -0.007373 8.015751 -0.004191 -2.726690 0.489771 0.000000 19.002502 -0.002223 5.289061 -0.000236
0.012518 -1.032135 -0.006726 10.283223 -0.005530 -2.831010 0.494397 0.000000 19.002502 -0.002934 7.452213 -0.000312
0.013910 -0.947099 -0.006172 12.600128 -0.007028 -3.162664 0.493924 0.000000 19.002502 -0.003728 9.437463 -0.000396
0.015302 -0.844524 -0.005503 15.050679 -0.008454 -3.008600 0.504580 0.000000 19.000004 -0.004484 12.042080 -0.000476
0.016693 -0.764269 -0.004980 17.443120 -0.009864 -2.977511 0.502903 0.000000 19.000004 -0.005232 14.465609 -0.000556
0.018082 -0.698896 -0.004554 19.669764 -0.011500 -3.458648 0.503565 0.000000 19.002502 -0.006101 16.211116 -0.000648
0.019474 -0.596855 -0.003889 21.978911 -0.012984 -3.131701 0.493777 0.000000 19.002502 -0.006888 18.847211 -0.000731
0.020866 -0.543177 -0.003539 24.019813 -0.014671 -3.561521 0.502400 0.000000 19.002502 -0.007783 20.458292 -0.000827
0.022257 -0.477275 -0.003110 25.902168 -0.016368 -3.581224 0.496298 0.000000 19.000004 -0.008682 22.320944 -0.000922
0.023649 -0.390641 -0.002546 27.772619 -0.018056 -3.563400 0.492644 0.000000 19.000004 -0.009578 24.209219 -0.001017
0.025038 -0.328990 -0.002144 29.454256 -0.019800 -3.688426 0.494723 0.000000 19.000004 -0.010504 25.765830 -0.001116
0.026429 -0.221619 -0.001444 31.263226 -0.021131 -2.807432 0.501197 0.000000 19.002502 -0.011210 28.455793 -0.001190
0.027821 -0.159968 -0.001042 32.862399 -0.022474 -2.834643 0.493545 0.000000 19.000004 -0.011922 30.027756 -0.001266
0.029213 -0.073868 -0.000481 34.434470 -0.023749 -2.690606 0.493798 0.000000 19.002502 -0.012598 31.743864 -0.001338
0.030602 0.023392 0.000152 36.043404 -0.024681 -1.971736 0.494007 0.227510 19.002502 -0.013093 34.071668 -0.001390
0.031993 0.095144 0.000620 37.501271 -0.025809 -2.380918 0.504871 0.270727 19.000004 -0.013691 35.120353 -0.001454
0.033385 0.165828 0.001081 38.815274 -0.026671 -1.819099 0.505581 0.292747 19.000004 -0.014148 36.996175 -0.001503
0.034776 0.218446 0.001423 39.881973 -0.027653 -2.074159 0.505648 0.305056 19.000004 -0.014669 37.807814 -0.001558
0.036165 0.332712 0.002168 41.138596 -0.028419 -1.619870 0.502771 0.325980 19.002502 -0.015076 39.518727 -0.001601
