t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
7.664538 153.458773 0.999972 0.158599 1.798058 -0.131352 0.141243 120.000000 19.000004 0.953830 0.027246 0.101299
7.665930 153.434325 0.999813 0.011917 1.798066 0.015329 0.140346 120.000000 19.000004 0.953834 0.027246 0.101300
7.667321 153.456645 0.999958 0.037031 1.798061 -0.009784 0.139821 120.000000 19.000004 0.953831 0.027246 0.101300
7.668713 153.421036 0.999726 -0.174569 1.798157 0.201816 0.139535 120.000000 18.997505 0.953882 0.027246 0.101305
7.670102 153.419443 0.999716 -0.356609 1.798338 0.383856 0.139495 120.000000 19.000004 0.953978 0.027246 0.101315
7.671493 153.418379 0.999709 -0.509350 1.798592 0.536596 0.139980 120.000000 19.000004 0.954113 0.027246 0.101329
7.672885 153.426886 0.999765 -0.574401 1.798877 0.601647 0.139675 120.000000 19.000004 0.954264 0.027246 0.101346
7.674277 153.419977 0.999719 -0.667436 1.799206 0.694682 0.138664 120.000000 18.997505 0.954439 0.027246 0.101364
7.675668 153.412004 0.999668 -0.789464 1.799590 0.808788 0.140222 120.000000 19.000004 0.954642 0.019324 0.101386
7.677057 153.408282 0.999643 -0.906464 1.799973 0.810886 0.138614 120.000000 19.000004 0.954846 -0.095578 0.101407
7.678449 153.405095 0.999623 -1.014793 1.800376 0.850836 0.137931 120.000000 19.000004 0.955060 -0.163957 0.101430
7.679841 153.387556 0.999508 -1.208480 1.800744 0.775406 0.140089 120.000000 19.000004 0.955254 -0.433074 0.101451
7.681232 153.392871 0.999543 -1.321502 1.801354 1.289127 0.140212 120.000000 19.000004 0.955578 -0.032375 0.101485
7.682624 153.390743 0.999529 -1.415916 1.801988 1.337314 0.138182 120.000000 19.000004 0.955914 -0.078602 0.101521
7.684013 153.398716 0.999581 -1.428507 1.802651 1.401136 0.138023 120.000000 19.000004 0.956266 -0.027371 0.101558
7.685404 153.356198 0.999304 -1.702675 1.803269 1.306135 0.141210 120.000000 19.000004 0.956594 -0.396540 0.101593
7.686796 153.357792 0.999314 -1.901342 1.803978 1.494790 0.138786 120.000000 19.000004 0.956970 -0.406553 0.101633
7.688185 153.357262 0.999311 -2.050254 1.804757 1.647029 0.137698 120.000000 19.000004 0.957384 -0.403225 0.101677
7.689580 153.356728 0.999307 -2.157040 1.805591 1.757173 0.139612 120.000000 19.000004 0.957825 -0.399867 0.101724
