t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
0.000000 -1.573706 -0.010219 0.088385 0.000000 0.134460 0.689119 0.000000 19.002502 0.000000 0.222845 0.000000
0.001386 -1.567332 -0.010178 0.153828 0.000033 0.069017 0.688982 0.000000 19.000004 0.000005 0.222845 0.000001
0.002782 -1.536504 -0.009978 0.406710 -0.000055 -0.183865 0.685934 0.000000 19.002502 -0.000008 0.222845 -0.000002
0.004176 -1.516306 -0.009847 0.741542 -0.000301 -0.518697 0.683119 0.000000 19.002502 -0.000044 0.222845 -0.000013
0.005566 -1.412137 -0.009170 1.687100 -0.000617 -0.667697 0.685352 0.000000 19.002502 -0.000090 1.019402 -0.000026
0.006951 -1.330294 -0.008639 2.978871 -0.001080 -0.983015 0.688109 0.000000 19.000004 -0.000159 1.995857 -0.000046
0.008346 -1.246317 -0.008093 4.556150 -0.001716 -1.336763 0.685044 0.000000 19.000004 -0.000251 3.219387 -0.000073
0.009739 -1.147464 -0.007451 6.449721 -0.002409 -1.461954 0.686793 0.000000 19.000004 -0.000353 4.987767 -0.000102
0.011124 -1.056583 -0.006861 8.533576 -0.003198 -1.673276 0.689762 0.000000 19.000004 -0.000469 6.860300 -0.000136
0.012519 -0.957195 -0.006216 10.809237 -0.003959 -1.602243 0.690323 0.000000 19.000004 -0.000581 9.206993 -0.000168
0.013912 -0.875881 -0.005688 13.103724 -0.004871 -1.923897 0.690571 0.000000 19.002502 -0.000714 11.179827 -0.000207
0.015303 -0.789782 -0.005129 15.424110 -0.005707 -1.765116 0.690507 0.000000 19.000004 -0.000837 13.658994 -0.000243
0.016688 -0.708463 -0.004601 17.714250 -0.006528 -1.740609 0.689692 0.000000 19.002502 -0.000958 15.973641 -0.000278
0.018086 -0.628742 -0.004083 19.947112 -0.007455 -1.949264 0.682549 0.000000 19.000004 -0.001093 17.997848 -0.000317
0.019476 -0.528295 -0.003431 22.248518 -0.008064 -1.285814 0.690782 0.000000 19.000004 -0.001182 20.962704 -0.000343
0.020861 -0.473553 -0.003075 24.288609 -0.008954 -1.888766 0.682596 0.000000 19.002502 -0.001314 22.399843 -0.000381
0.022257 -0.399143 -0.002592 26.222509 -0.010014 -2.227970 0.683548 0.000000 19.002502 -0.001468 23.994540 -0.000426
0.023648 -0.318359 -0.002067 28.094414 -0.010989 -2.060607 0.685032 0.000000 19.000004 -0.001611 26.033807 -0.000467
