t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
11.766611 153.981211 0.999917 0.216248 6.580810 -0.189001 0.542628 120.000000 19.002502 0.965132 0.027246 0.279921
11.768000 153.981211 0.999917 0.216679 6.580721 -0.189433 0.546530 120.000000 19.002502 0.965119 0.027246 0.279917
11.769393 153.971645 0.999855 0.152785 6.580661 -0.125538 0.547132 120.000000 19.002502 0.965110 0.027246 0.279915
11.770777 153.967928 0.999831 0.074897 6.580639 -0.047650 0.548827 120.000000 19.000004 0.965107 0.027246 0.279914
11.772173 153.951452 0.999724 -0.096818 6.580698 0.124065 0.549925 120.000000 19.000004 0.965115 0.027246 0.279916
11.773568 153.954110 0.999741 -0.219220 6.580815 0.246467 0.539905 120.000000 19.002502 0.965132 0.027246 0.279921
11.774950 153.942950 0.999669 -0.390122 6.581011 0.417368 0.551303 120.000000 19.002502 0.965161 0.027246 0.279929
11.776348 153.932319 0.999600 -0.595703 6.581308 0.622950 0.551277 120.000000 19.000004 0.965205 0.027246 0.279942
11.777739 153.933913 0.999610 -0.748246 6.581675 0.775492 0.551139 120.000000 19.000004 0.965258 0.027246 0.279958
11.779128 153.932849 0.999603 -0.873299 6.582101 0.900545 0.553963 120.000000 19.000004 0.965321 0.027246 0.279976
11.780514 153.931785 0.999596 -0.974728 6.582574 1.001975 0.554968 120.000000 19.002502 0.965391 0.027246 0.279996
11.781910 153.932319 0.999600 -1.045438 6.583083 1.072685 0.555053 120.000000 19.000004 0.965465 0.027246 0.280018
11.783297 153.924876 0.999551 -1.142349 6.583636 1.169595 0.553605 120.000000 19.000004 0.965546 0.027246 0.280041
11.784688 153.932849 0.999603 -1.159447 6.584198 1.186694 0.557550 120.000000 19.002502 0.965629 0.027246 0.280065
11.786084 153.931255 0.999593 -1.173277 6.584769 1.200523 0.559032 120.000000 19.000004 0.965712 0.027246 0.280089
11.787474 153.931255 0.999593 -1.173981 6.585337 1.201227 0.555573 120.000000 19.000004 0.965795 0.027246 0.280113
11.788866 153.932849 0.999603 -1.153544 6.585897 1.180790 0.559767 120.000000 19.002502 0.965877 0.027246 0.280137
11.790250 153.921688 0.999531 -1.199076 6.586475 1.226322 0.560014 120.000000 19.000004 0.965963 0.027246 0.280162
11.791648 153.912122 0.999468 -1.287723 6.587100 1.314970 0.551321 120.000000 19.000004 0.966054 0.027246 0.280188
11.793037 153.914250 0.999482 -1.334802 6.587744 1.362048 0.556517 120.000000 19.002502 0.966149 0.027246 0.280216
11.794424 153.916908 0.999500 -1.343993 6.588392 1.371240 0.559027 120.000000 19.000004 0.966244 0.027246 0.280243
11.795819 153.908935 0.999448 -1.391219 6.589066 1.418465 0.568496 120.000000 19.000004 0.966342 0.027246 0.280272
11.797213 153.899898 0.999389 -1.476095 6.589779 1.503341 0.570596 120.000000 19.002502 0.966447 0.027246 0.280302
11.798601 153.892989 0.999344 -1.577222 6.590537 1.604468 0.559269 120.000000 19.002502 0.966558 0.027246 0.280335
11.799987 153.891924 0.999337 -1.652714 6.591330 1.679961 0.560240 120.000000 19.002502 0.966675 0.027246 0.280368
11.801386 153.880235 0.999261 -1.775580 6.592189 1.802826 0.562239 120.000000 19.002502 0.966800 0.027246 0.280405
11.802777 153.862165 0.999144 -1.977731 6.593138 2.004977 0.563364 120.000000 19.000004 0.966939 0.027246 0.280445
11.804161 153.870668 0.999199 -2.070062 6.594126 2.097308 0.565029 120.000000 19.002502 0.967085 0.027246 0.280487
11.805557 153.877577 0.999244 -2.081858 6.595129 2.109104 0.562573 120.000000 19.000004 0.967231 0.027246 0.280530
11.806948 153.863225 0.999151 -2.166108 6.596167 2.193354 0.562768 120.000000 19.002502 0.967384 0.027246 0.280574
11.808341 153.860567 0.999134 -2.232734 6.597240 2.259980 0.566382 120.000000 19.002502 0.967541 0.027246 0.280620
11.809725 153.855252 0.999099 -2.301776 6.598337 2.329022 0.572705 120.000000 19.000004 0.967703 0.027246 0.280666
11.811121 153.860567 0.999134 -2.302769 6.599445 2.330016 0.578119 120.000000 19.002502 0.967864 0.027246 0.280713
11.812513 153.855252 0.999099 -2.317328 6.600555 2.344574 0.577394 120.000000 19.002502 0.968027 0.027246 0.280761
11.813898 153.853128 0.999085 -2.322179 6.601663 2.349426 0.574765 120.000000 19.000004 0.968190 0.027246 0.280808
11.815296 153.847813 0.999051 -2.339620 6.602790 2.366866 0.574444 120.000000 19.002502 0.968355 0.027246 0.280856
11.816685 153.843562 0.999023 -2.360421 6.603919 2.387667 0.573872 120.000000 19.000004 0.968521 0.027246 0.280904
11.818077 153.844626 0.999030 -2.349125 6.605045 2.376372 0.568971 120.000000 19.000004 0.968686 0.027246 0.280952
11.819463 153.843562 0.999023 -2.325610 6.606155 2.352857 0.569285 120.000000 19.002502 0.968849 0.027246 0.280999
11.820858 153.842498 0.999016 -2.292163 6.607257 2.319410 0.567956 120.000000 19.002502 0.969010 0.027246 0.281046
11.822248 153.844626 0.999030 -2.230182 6.608325 2.257429 0.568598 120.000000 19.000004 0.969167 0.027246 0.281091
11.823634 153.804231 0.998768 -2.422301 6.609481 2.449548 0.572638 120.000000 19.000004 0.969337 0.027246 0.281140
11.825032 153.845155 0.999034 -2.291118 6.610585 2.318365 0.572165 120.000000 19.000004 0.969498 0.027246 0.281187
11.826422 153.840904 0.999006 -2.190658 6.611634 2.217904 0.563664 120.000000 19.000004 0.969652 0.027246 0.281232
11.827813 153.843562 0.999023 -2.071267 6.612628 2.098513 0.567595 120.000000 19.002502 0.969798 0.027246 0.281274
11.829198 153.831337 0.998944 -2.034430 6.613600 2.061676 0.578454 120.000000 19.000004 0.969941 0.027246 0.281316
11.830594 153.825493 0.998906 -2.023830 6.614575 2.051077 0.565900 120.000000 19.002502 0.970084 0.027246 0.281357
11.831985 153.820177 0.998871 -2.031432 6.615550 2.058679 0.575286 120.000000 19.000004 0.970227 0.027246 0.281399
11.833372 153.804231 0.998768 -2.123120 6.616566 2.150367 0.578573 120.000000 19.000004 0.970376 0.027246 0.281442
11.834768 153.807423 0.998789 -2.158123 6.617604 2.185370 0.565406 120.000000 19.000004 0.970528 0.027246 0.281486
11.836161 153.803167 0.998761 -2.194921 6.618658 2.222167 0.573889 120.000000 19.000004 0.970682 0.027246 0.281531
11.837550 153.800509 0.998744 -2.222487 6.619722 2.249733 0.570960 120.000000 19.002502 0.970838 0.027246 0.281576
11.838935 153.797322 0.998723 -2.245771 6.620794 2.273017 0.572444 120.000000 19.000004 0.970996 0.027246 0.281622
11.840332 153.794135 0.998702 -2.265160 6.621884 2.292407 0.572703 120.000000 19.000004 0.971155 0.027246 0.281668
11.841724 153.797322 0.998723 -2.239753 6.622958 2.267000 0.579686 120.000000 19.002502 0.971313 0.027246 0.281714
11.843108 153.789349 0.998671 -2.250680 6.624032 2.277927 0.581248 120.000000 19.000004 0.971471 0.027246 0.281759
11.844504 153.783504 0.998633 -2.277223 6.625127 2.304469 0.581530 120.000000 19.000004 0.971631 0.027246 0.281806
11.845897 153.779253 0.998606 -2.305982 6.626234 2.333229 0.581107 120.000000 19.002502 0.971793 0.027246 0.281853
11.847286 153.780317 0.998613 -2.301741 6.627335 2.328988 0.581533 120.000000 19.000004 0.971955 0.027246 0.281900
11.848672 153.772344 0.998561 -2.329414 6.628447 2.356660 0.580440 120.000000 19.000004 0.972119 0.027246 0.281947
11.850068 153.773408 0.998568 -2.323975 6.629564 2.351221 0.579443 120.000000 19.000004 0.972282 0.027246 0.281995
11.851461 153.757462 0.998464 -2.402260 6.630717 2.429506 0.577574 120.000000 19.000004 0.972451 0.027246 0.282044
11.852845 153.780317 0.998613 -2.295911 6.631811 2.323158 0.580214 120.000000 19.000004 0.972612 0.027246 0.282090
11.854242 153.751617 0.998426 -2.374804 6.632954 2.402051 0.580206 120.000000 19.000004 0.972779 0.027246 0.282139
11.855634 153.766499 0.998523 -2.320987 6.634067 2.348233 0.581202 120.000000 19.000004 0.972942 0.027246 0.282186
11.857023 153.777659 0.998595 -2.183278 6.635112 2.210525 0.582266 120.000000 19.000004 0.973095 0.027246 0.282231
11.858409 153.742051 0.998364 -2.282667 6.636202 2.309913 0.569983 120.000000 19.000004 0.973256 0.027246 0.282277
11.859807 153.779783 0.998609 -2.097612 6.637213 2.124859 0.580415 120.000000 19.002502 0.973403 0.027246 0.282320
11.861197 153.762777 0.998499 -2.037827 6.638191 2.065073 0.585612 120.000000 19.000004 0.973547 0.027246 0.282362
11.862582 153.742580 0.998368 -2.102005 6.639195 2.129252 0.587644 120.000000 19.000004 0.973695 0.027246 0.282404
11.863979 153.743644 0.998374 -2.128507 6.640220 2.155753 0.589672 120.000000 19.000004 0.973844 0.027246 0.282448
11.865369 153.739393 0.998347 -2.158608 6.641255 2.185854 0.590483 120.000000 19.000004 0.973996 0.027246 0.282492
11.866760 153.742580 0.998368 -2.142964 6.642282 2.170211 0.590743 120.000000 19.000004 0.974147 0.027246 0.282536
11.868147 153.741516 0.998361 -2.117737 6.643295 2.144983 0.590125 120.000000 19.000004 0.974296 0.027246 0.282579
11.869543 153.723981 0.998247 -2.191984 6.644350 2.219231 0.587097 120.000000 19.000004 0.974450 0.027246 0.282624
11.870933 153.717072 0.998202 -2.277920 6.645441 2.305166 0.586150 120.000000 19.000004 0.974610 0.027246 0.282670
11.872320 153.737799 0.998336 -2.192759 6.646489 2.220005 0.583560 120.000000 19.000004 0.974764 0.027246 0.282715
11.873716 153.739393 0.998347 -2.092740 6.647496 2.119987 0.586948 120.000000 19.000004 0.974912 0.027246 0.282757
11.875107 153.733013 0.998305 -2.033437 6.648472 2.060683 0.590321 120.000000 19.000004 0.975055 0.027246 0.282799
11.876497 153.718131 0.998209 -2.063355 6.649462 2.090601 0.585577 120.000000 19.000004 0.975200 0.027246 0.282841
11.877884 153.719725 0.998219 -2.058858 6.650447 2.086104 0.581930 120.000000 19.000004 0.975345 0.027246 0.282883
11.879280 153.725040 0.998254 -2.001854 6.651411 2.029100 0.582842 120.000000 19.000004 0.975486 0.027246 0.282924
11.880670 153.719196 0.998216 -1.975117 6.652359 2.002364 0.582348 120.000000 19.000004 0.975625 0.027246 0.282964
11.882055 153.716538 0.998198 -1.952716 6.653293 1.979962 0.582603 120.000000 19.000004 0.975762 0.027246 0.283004
11.883453 153.713880 0.998181 -1.933915 6.654226 1.961161 0.581934 120.000000 19.000004 0.975899 0.027246 0.283044
11.884844 153.713880 0.998181 -1.901000 6.655140 1.928247 0.580923 120.000000 19.000004 0.976033 0.027246 0.283083
11.886235 153.696341 0.998067 -1.971032 6.656085 1.998278 0.582287 120.000000 19.000004 0.976171 0.027246 0.283123
11.887619 153.708035 0.998143 -1.934465 6.657010 1.961712 0.584736 120.000000 19.000004 0.976308 0.027246 0.283162
11.889018 153.697405 0.998074 -1.956129 6.657954 1.983376 0.583224 120.000000 19.000004 0.976445 0.027246 0.283202
11.890406 153.686244 0.998002 -2.028836 6.658926 2.056083 0.587921 120.000000 19.000004 0.976588 0.027246 0.283244
11.891793 153.677742 0.997946 -2.125406 6.659943 2.152652 0.588683 120.000000 19.000004 0.976738 0.027246 0.283287
11.893189 153.681993 0.997974 -2.157478 6.660981 2.184725 0.582362 120.000000 19.000004 0.976889 0.027246 0.283331
11.894581 153.688372 0.998016 -2.122656 6.662000 2.149903 0.596984 120.000000 19.000004 0.977039 0.027246 0.283374
11.895974 153.676148 0.997936 -2.154477 6.663035 2.181723 0.593132 120.000000 19.000004 0.977190 0.027246 0.283418
11.897357 153.670298 0.997898 -2.199215 6.664083 2.226461 0.597706 120.000000 19.000004 0.977345 0.027246 0.283463
11.898753 153.662860 0.997850 -2.264286 6.665172 2.291533 0.601756 120.000000 19.000004 0.977504 0.027246 0.283509
11.900144 153.678271 0.997950 -2.196708 6.666226 2.223955 0.590846 120.000000 18.997505 0.977658 0.027246 0.283554
11.901530 153.679335 0.997957 -2.114635 6.667236 2.141882 0.589629 120.000000 19.000004 0.977807 0.027246 0.283597
11.902927 153.657544 0.997815 -2.170079 6.668281 2.197326 0.585938 120.000000 19.000004 0.977960 0.027246 0.283642
11.904317 153.658609 0.997822 -2.188907 6.669330 2.216153 0.593156 120.000000 18.997505 0.978114 0.027246 0.283686
11.905708 153.659673 0.997829 -2.177566 6.670374 2.204812 0.589002 120.000000 18.997505 0.978267 0.027246 0.283731
11.907094 153.656480 0.997808 -2.169416 6.671411 2.196662 0.593872 120.000000 19.000004 0.978419 0.027246 0.283775
11.908489 153.675614 0.997933 -2.018473 6.672382 2.045720 0.593238 120.000000 18.997505 0.978562 0.027246 0.283816
11.909882 153.671362 0.997905 -1.904266 6.673298 1.931512 0.593315 120.000000 18.997505 0.978696 0.027246 0.283855
11.911267 153.666582 0.997874 -1.824715 6.674172 1.851962 0.589210 120.000000 19.000004 0.978824 0.027246 0.283892
11.912663 153.655421 0.997802 -1.815663 6.675047 1.842909 0.604516 120.000000 18.997505 0.978952 0.027246 0.283929
11.914054 153.659673 0.997829 -1.764121 6.675896 1.791367 0.603145 120.000000 18.997505 0.979077 0.027246 0.283965
11.915445 153.637882 0.997688 -1.847821 6.676784 1.875068 0.600810 120.000000 19.000004 0.979207 0.027246 0.284003
11.916832 153.657544 0.997815 -1.771651 6.677633 1.798897 0.603387 120.000000 19.000004 0.979332 0.027246 0.284039
11.918227 153.658074 0.997819 -1.689743 6.678449 1.716990 0.601715 120.000000 19.000004 0.979451 0.027246 0.284074
11.919620 153.653293 0.997788 -1.638488 6.679239 1.665735 0.601411 120.000000 19.000004 0.979567 0.027246 0.284108
11.921003 153.618748 0.997563 -1.806673 6.680102 1.833920 0.596212 120.000000 18.997505 0.979694 0.027246 0.284144
11.922399 153.639475 0.997698 -1.793023 6.680967 1.820269 0.601611 120.000000 19.000004 0.979821 0.027246 0.284181
