t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
13.362246 153.915844 0.999855 -0.212290 11.150659 0.239536 0.947212 120.000000 18.997505 0.968566 0.027246 0.474304
13.363636 153.911592 0.999827 -0.253958 11.150793 0.281205 0.945584 120.000000 19.000004 0.968578 0.027246 0.474309
13.365022 153.897774 0.999738 -0.375746 11.150983 0.402993 0.950654 120.000000 18.997505 0.968594 0.027246 0.474317
13.366419 153.900427 0.999755 -0.454771 11.151212 0.482017 0.962282 120.000000 18.997505 0.968614 0.027246 0.474327
13.367809 153.892459 0.999703 -0.567231 11.151493 0.594477 0.959458 120.000000 19.000004 0.968639 0.027246 0.474339
13.369195 153.890331 0.999689 -0.668043 11.151821 0.695290 0.957463 120.000000 19.000004 0.968667 0.027246 0.474353
13.370592 153.875449 0.999593 -0.841398 11.152235 0.868644 0.960218 120.000000 19.000004 0.968703 0.027246 0.474371
13.371982 153.870134 0.999558 -1.010314 11.152726 1.037561 0.944590 120.000000 19.000004 0.968746 0.027246 0.474392
13.373375 153.870668 0.999562 -1.135967 11.153277 1.163214 0.949350 120.000000 18.997505 0.968793 0.027246 0.474415
13.374759 153.856316 0.999468 -1.322052 11.153913 1.349299 0.959665 120.000000 19.000004 0.968849 0.027246 0.474442
13.376158 153.857909 0.999479 -1.451993 11.154617 1.479240 0.951830 120.000000 19.000004 0.968910 0.027246 0.474472
13.377547 153.853658 0.999451 -1.572917 11.155375 1.600163 0.959602 120.000000 19.000004 0.968976 0.027246 0.474504
13.378933 153.857909 0.999479 -1.630052 11.156156 1.657298 0.943153 120.000000 18.997505 0.969044 0.027246 0.474537
13.380325 153.871198 0.999565 -1.575547 11.156916 1.602794 0.943585 120.000000 19.000004 0.969110 0.027246 0.474570
13.381719 153.844626 0.999392 -1.689618 11.157731 1.716865 0.944220 120.000000 19.000004 0.969180 0.027246 0.474604
13.383112 153.844091 0.999389 -1.771162 11.158584 1.798409 0.943893 120.000000 19.000004 0.969254 0.027246 0.474641
13.384497 153.841434 0.999372 -1.839263 11.159464 1.866510 0.945365 120.000000 19.000004 0.969331 0.027246 0.474678
13.385893 153.845685 0.999399 -1.850624 11.160356 1.877871 0.945174 120.000000 18.997505 0.969408 0.027246 0.474716
13.387283 153.843562 0.999385 -1.856998 11.161248 1.884245 0.951082 120.000000 18.997505 0.969486 0.027246 0.474754
13.388676 153.844091 0.999389 -1.841931 11.162135 1.869178 0.947570 120.000000 19.000004 0.969563 0.027246 0.474792
13.390060 153.843562 0.999385 -1.816444 11.163003 1.843690 0.956137 120.000000 18.997505 0.969639 0.027246 0.474829
13.391457 153.830273 0.999299 -1.865562 11.163904 1.892809 0.960134 120.000000 19.000004 0.969716 0.027246 0.474867
13.392849 153.839310 0.999358 -1.830043 11.164784 1.857289 0.961014 120.000000 19.000004 0.969793 0.027246 0.474904
13.394233 153.837182 0.999344 -1.798325 11.165644 1.825571 0.958770 120.000000 19.000004 0.969868 0.027246 0.474941
13.395629 153.818584 0.999223 -1.877100 11.166549 1.904346 0.956470 120.000000 18.997505 0.969946 0.027246 0.474980
13.397023 153.837717 0.999347 -1.799996 11.167416 1.827243 0.954396 120.000000 19.000004 0.970021 0.027246 0.475016
13.398411 153.805825 0.999140 -1.928235 11.168340 1.955482 0.958318 120.000000 19.000004 0.970102 0.027246 0.475056
