t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
0.000000 -1.559888 -0.010139 0.043897 0.000000 0.178948 0.398936 0.000000 19.000004 0.000000 0.222845 0.000000
0.001392 -1.562016 -0.010153 0.061240 0.000077 0.161606 0.399746 0.000000 18.997505 0.000007 0.222845 0.000004
0.002781 -1.558294 -0.010129 0.099114 0.000135 0.123732 0.399214 0.000000 18.997505 0.000012 0.222845 0.000006
0.004173 -1.526937 -0.009925 0.333371 0.000083 -0.110526 0.399008 0.000000 18.997505 0.000008 0.222845 0.000004
0.005564 -1.495579 -0.009721 0.726300 -0.000125 -0.437328 0.400167 0.000000 18.997505 -0.000011 0.288972 -0.000006
0.006956 -1.438180 -0.009348 1.415120 -0.000445 -0.677213 0.399510 0.000000 19.000004 -0.000041 0.737907 -0.000021
0.008345 -1.330294 -0.008647 2.668632 -0.000764 -0.672775 0.401052 0.000000 19.000004 -0.000071 1.995857 -0.000035
0.009737 -1.248445 -0.008115 4.203593 -0.001247 -1.020829 0.400827 0.000000 19.000004 -0.000115 3.182764 -0.000057
0.011128 -1.148528 -0.007465 6.072808 -0.001771 -1.105146 0.400776 0.000000 18.997505 -0.000164 4.967662 -0.000082
0.012520 -1.064022 -0.006916 8.098356 -0.002443 -1.418147 0.401963 0.000000 19.000004 -0.000226 6.680209 -0.000113
0.013909 -0.962510 -0.006256 10.344240 -0.003038 -1.258581 0.401257 0.000000 19.000004 -0.000281 9.085658 -0.000140
0.015301 -0.898202 -0.005838 12.507950 -0.003958 -1.941880 0.402102 0.000000 19.000004 -0.000366 10.566070 -0.000182
0.016692 -0.789782 -0.005134 14.872210 -0.004533 -1.213216 0.401940 0.000000 18.997505 -0.000419 13.658994 -0.000209
0.018084 -0.747264 -0.004857 16.949987 -0.005455 -1.946739 0.401768 0.000000 18.997505 -0.000504 15.003249 -0.000251
0.019473 -0.631930 -0.004108 19.248428 -0.006087 -1.335477 0.401438 0.000000 19.000004 -0.000563 17.912950 -0.000280
0.020864 -0.574535 -0.003734 21.329482 -0.006981 -1.887730 0.401437 0.000000 19.000004 -0.000645 19.441752 -0.000322
0.022256 -0.509162 -0.003310 23.265628 -0.007765 -1.654418 0.401029 0.000000 19.000004 -0.000718 21.611210 -0.000358
0.023648 -0.434752 -0.002826 25.124867 -0.008667 -1.902456 0.399377 0.000000 18.997505 -0.000801 23.222411 -0.000399
0.025040 -0.347059 -0.002256 26.990371 -0.009463 -1.680765 0.402695 0.000000 19.000004 -0.000875 25.309605 -0.000436
0.026429 -0.286472 -0.001862 28.667615 -0.010334 -1.841697 0.399358 0.000000 18.997505 -0.000955 26.825918 -0.000476
0.027821 -0.169534 -0.001102 30.542374 -0.010680 -0.731192 0.399773 0.000000 18.997505 -0.000987 29.811182 -0.000492
0.029212 -0.120107 -0.000781 32.122915 -0.011297 -1.300681 0.400628 0.000000 19.000004 -0.001044 30.822234 -0.000520
0.030604 -0.073868 -0.000480 33.426959 -0.012094 -1.683095 0.399877 0.000000 19.000004 -0.001118 31.743864 -0.000557
0.031993 0.028707 0.000187 34.859564 -0.012430 -0.711135 0.397594 0.465737 19.000004 -0.001149 34.148429 -0.000573
0.033384 0.094610 0.000615 36.145681 -0.012926 -1.045538 0.401435 0.540859 18.997505 -0.001195 35.100143 -0.000595
0.034776 0.164234 0.001068 37.325110 -0.013093 -0.353528 0.402142 0.584454 18.997505 -0.001210 36.971582 -0.000603
0.036168 0.263622 0.001714 38.599633 -0.013143 -0.105459 0.402018 0.627879 19.000004 -0.001215 38.494173 -0.000605
0.037557 0.343342 0.002232 39.812409 -0.013210 -0.141312 0.402713 0.655052 19.000004 -0.001221 39.671098 -0.000609
0.038948 0.410838 0.002670 40.884051 -0.013292 -0.173813 0.402722 0.674892 19.000004 -0.001229 40.710238 -0.000612
0.040340 0.485778 0.003158 41.879642 -0.013269 0.049354 0.402686 0.694531 19.000004 -0.001227 41.928996 -0.000611
0.041732 0.545301 0.003544 42.702849 -0.013272 -0.007121 0.402334 0.708759 18.997505 -0.001227 42.695728 -0.000611
0.043121 0.618112 0.004018 43.463964 -0.013169 0.217698 0.400974 0.724860 19.000004 -0.001217 43.681662 -0.000607
0.044512 0.714842 0.004646 44.323061 -0.013003 0.350848 0.400088 0.744479 19.000004 -0.001202 44.673909 -0.000599
0.045904 0.753109 0.004895 44.874785 -0.012914 0.188712 0.396532 0.751778 19.000004 -0.001194 45.063496 -0.000595
0.047296 0.865780 0.005628 45.653460 -0.012669 0.517013 0.400830 0.772012 19.000004 -0.001171 46.170474 -0.000584
0.048685 0.903517 0.005873 46.123035 -0.012480 0.399912 0.402679 0.778423 19.000004 -0.001154 46.522947 -0.000575
0.050077 0.987489 0.006419 46.634600 -0.012145 0.705886 0.402525 0.792125 18.997505 -0.001123 47.340486 -0.000559
0.051468 1.087941 0.007072 47.286550 -0.011723 0.891193 0.402390 0.807623 19.000004 -0.001084 48.177743 -0.000540
0.052860 1.137368 0.007393 47.714544 -0.011349 0.789217 0.402710 0.814935 19.000004 -0.001049 48.503761 -0.000523
0.054252 1.193169 0.007756 47.995943 -0.010921 0.904336 0.402647 0.822968 19.000004 -0.001010 48.900280 -0.000503
0.055641 1.299466 0.008447 48.483507 -0.010402 1.096463 0.403813 0.837679 19.000004 -0.000962 49.579970 -0.000479
0.057032 1.380780 0.008975 48.972797 -0.009892 1.076149 0.402651 0.848466 19.000004 -0.000914 50.048946 -0.000456
0.058424 1.454655 0.009455 49.411532 -0.009410 1.017957 0.402850 0.857954 19.000004 -0.000870 50.429488 -0.000433
0.059815 1.524814 0.009911 49.779819 -0.008912 1.051728 0.401735 0.866712 19.000004 -0.000824 50.831547 -0.000411
0.061204 1.607192 0.010447 50.166641 -0.008397 1.089202 0.402127 0.876710 19.000004 -0.000776 51.255843 -0.000387
0.062596 1.675222 0.010889 50.471723 -0.007886 1.077482 0.403093 0.884751 19.000004 -0.000729 51.549205 -0.000363
0.063987 1.776734 0.011549 50.926005 -0.007432 0.958653 0.401862 0.896418 19.002502 -0.000687 51.884658 -0.000342
0.065379 1.844230 0.011987 51.275966 -0.007040 0.826566 0.398985 0.903973 19.000004 -0.000651 52.102532 -0.000324
0.066768 1.893127 0.012305 51.416255 -0.006643 0.839944 0.400851 0.909352 19.002502 -0.000614 52.256199 -0.000306
0.068160 1.963281 0.012761 51.521996 -0.006185 0.966468 0.398393 0.916939 19.000004 -0.000572 52.488463 -0.000285
0.069551 2.052568 0.013342 51.723989 -0.005666 1.095758 0.399742 0.926386 19.002502 -0.000524 52.819747 -0.000261
0.070943 2.099337 0.013646 51.725220 -0.005061 1.277737 0.401106 0.931246 19.000004 -0.000468 53.002957 -0.000233
0.072332 2.210415 0.014368 51.980742 -0.004409 1.378709 0.400846 0.942563 19.002502 -0.000407 53.359451 -0.000203
0.073724 2.242836 0.014578 51.930063 -0.003696 1.503441 0.401122 0.945809 19.002502 -0.000342 53.433503 -0.000170
0.075116 2.350727 0.015280 52.121418 -0.003007 1.454694 0.399939 0.956436 19.000004 -0.000278 53.576112 -0.000139
0.076508 2.428324 0.015784 52.311041 -0.002407 1.265779 0.399280 0.963924 19.000004 -0.000222 53.576820 -0.000111
0.077896 2.492633 0.016202 52.411013 -0.001796 1.292711 0.398699 0.970035 19.000004 -0.000166 53.703724 -0.000083
0.079288 2.595203 0.016869 52.685777 -0.001212 1.232923 0.398036 0.979617 19.002502 -0.000112 53.918699 -0.000056
0.080680 2.632940 0.017114 52.679066 -0.000611 1.268591 0.398398 0.983094 19.000004 -0.000056 53.947657 -0.000028
0.082071 2.737109 0.017791 52.875417 -0.000040 1.205041 0.394827 0.992561 19.000004 -0.000004 54.080458 -0.000002
0.083463 2.837556 0.018444 53.211060 0.000475 1.086967 0.393277 1.001520 19.000004 0.000044 54.298026 0.000022
0.084852 2.871042 0.018662 53.221758 0.001009 1.127872 0.395005 1.004471 19.000004 0.000093 54.349630 0.000046
0.086244 2.928442 0.019035 53.122009 0.001619 1.287922 0.395308 1.009491 19.002502 0.000150 54.409931 0.000075
0.087635 3.029423 0.019691 53.217430 0.002240 1.311178 0.394883 1.018204 19.002502 0.000207 54.528608 0.000103
0.089027 3.107550 0.020199 53.322025 0.002859 1.306735 0.390564 1.024848 19.000004 0.000264 54.628760 0.000132
0.090416 3.173982 0.020631 53.357045 0.003488 1.329529 0.394318 1.030434 19.000004 0.000323 54.686574 0.000161
0.091807 3.235633 0.021032 53.303660 0.004138 1.372295 0.395600 1.035567 19.000004 0.000383 54.675955 0.000191
0.093199 3.298878 0.021443 53.189717 0.004816 1.429875 0.395469 1.040784 19.002502 0.000445 54.619592 0.000222
0.094591 3.401987 0.022113 53.285797 0.005424 1.284970 0.396423 1.049188 19.000004 0.000502 54.570767 0.000250
0.095979 3.458323 0.022479 53.248445 0.006057 1.336775 0.395305 1.053729 19.000004 0.000560 54.585220 0.000279
0.097371 3.534856 0.022977 53.233676 0.006724 1.409575 0.393592 1.059842 19.000004 0.000622 54.643251 0.000310
0.098763 3.611389 0.023474 53.238495 0.007382 1.387312 0.395021 1.065892 19.002502 0.000683 54.625807 0.000340
0.100154 3.684730 0.023951 53.237562 0.008067 1.446953 0.395581 1.071635 19.000004 0.000746 54.684515 0.000372
