t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
0.000000 -1.553514 -0.010103 0.362862 0.000000 -0.140017 0.484043 0.000000 19.000004 0.000000 0.222845 0.000000
0.001392 -1.552450 -0.010097 0.350438 -0.000060 -0.127593 0.487692 0.000000 18.997505 -0.000006 0.222845 -0.000002
0.002781 -1.545541 -0.010052 0.382071 -0.000136 -0.159226 0.490342 0.000000 19.000004 -0.000014 0.222845 -0.000005
0.004172 -1.530659 -0.009955 0.501403 -0.000268 -0.278557 0.486436 0.000000 18.997505 -0.000028 0.222845 -0.000009
0.005564 -1.497707 -0.009741 0.809086 -0.000522 -0.535888 0.494148 0.000000 19.000004 -0.000054 0.273198 -0.000018
0.006956 -1.437120 -0.009346 1.448110 -0.000853 -0.698754 0.494365 0.000000 18.997505 -0.000089 0.749356 -0.000030
0.008344 -1.330823 -0.008655 2.650203 -0.001165 -0.661159 0.493669 0.000000 19.000004 -0.000121 1.989043 -0.000041
0.009736 -1.247381 -0.008112 4.153673 -0.001617 -0.952597 0.494743 0.000000 19.000004 -0.000168 3.201075 -0.000057
0.011128 -1.147993 -0.007466 5.993939 -0.002098 -1.016179 0.491615 0.000000 18.997505 -0.000218 4.977761 -0.000074
0.012520 -1.064022 -0.006920 7.993084 -0.002720 -1.312875 0.487588 0.000000 19.000004 -0.000282 6.680209 -0.000096
0.013909 -0.962510 -0.006260 10.218291 -0.003256 -1.132633 0.486077 0.000000 19.000004 -0.000338 9.085658 -0.000115
0.015300 -0.875347 -0.005693 12.514997 -0.003882 -1.320473 0.487030 0.000000 19.000004 -0.000403 11.194523 -0.000138
0.016692 -0.817417 -0.005316 14.659359 -0.004768 -1.871926 0.485559 0.000000 19.000004 -0.000495 12.787433 -0.000169
0.018084 -0.744606 -0.004843 16.756241 -0.005564 -1.679793 0.476045 0.000000 19.000004 -0.000578 15.076449 -0.000197
0.019475 -0.678169 -0.004411 18.753734 -0.006525 -2.028111 0.487250 0.000000 19.000004 -0.000678 16.725623 -0.000231
0.020864 -0.586225 -0.003813 20.817802 -0.007323 -1.687426 0.492914 0.000000 19.000004 -0.000760 19.130376 -0.000260
0.022256 -0.473553 -0.003080 23.052596 -0.007632 -0.652753 0.487803 0.000000 18.997505 -0.000793 22.399843 -0.000271
0.023647 -0.444319 -0.002890 24.864167 -0.008506 -1.844565 0.481305 0.000000 19.000004 -0.000883 23.019602 -0.000302
0.025039 -0.346000 -0.002250 26.762177 -0.009182 -1.425830 0.473431 0.000000 19.000004 -0.000953 25.336348 -0.000325
0.026428 -0.233858 -0.001521 28.803736 -0.009497 -0.666437 0.486956 0.000000 19.000004 -0.000986 28.137299 -0.000337
0.027820 -0.188133 -0.001224 30.512472 -0.010059 -1.185285 0.488015 0.000000 19.000004 -0.001045 29.327187 -0.000357
0.029211 -0.096188 -0.000626 32.233630 -0.010502 -0.934650 0.491408 0.000000 19.000004 -0.001090 31.298980 -0.000372
0.030603 -0.018596 -0.000121 33.855910 -0.010687 -0.390605 0.484690 0.000000 19.000004 -0.001110 33.465305 -0.000379
0.031992 0.045713 0.000297 35.296043 -0.011113 -0.902038 0.496109 0.492450 19.000004 -0.001154 34.394005 -0.000394
0.033383 0.112679 0.000733 36.591292 -0.011496 -0.807881 0.488077 0.553996 19.000004 -0.001194 35.783411 -0.000408
0.034775 0.231200 0.001504 38.092500 -0.011539 -0.090914 0.495667 0.615256 19.000004 -0.001198 38.001586 -0.000409
0.036167 0.279033 0.001815 39.287880 -0.011804 -0.559556 0.487868 0.633586 19.000004 -0.001226 38.728324 -0.000418
0.037556 0.359818 0.002340 40.436549 -0.012054 -0.529304 0.487220 0.660181 19.000004 -0.001252 39.907245 -0.000427
0.038947 0.428378 0.002786 41.456975 -0.012249 -0.410822 0.492192 0.679752 19.000004 -0.001272 41.046152 -0.000434
0.040339 0.522451 0.003398 42.530015 -0.012315 -0.139577 0.490494 0.703491 19.000004 -0.001279 42.390437 -0.000437
0.041731 0.591540 0.003847 43.473021 -0.012355 -0.084974 0.477928 0.719204 19.000004 -0.001283 43.388047 -0.000438
0.043119 0.677110 0.004404 44.408304 -0.012412 -0.118800 0.486297 0.737114 19.000004 -0.001289 44.289505 -0.000440
0.044511 0.719628 0.004680 45.048501 -0.012566 -0.325869 0.493062 0.745483 19.000004 -0.001305 44.722633 -0.000445
0.045903 0.802536 0.005219 45.705073 -0.012637 -0.148892 0.482781 0.760950 19.000004 -0.001312 45.556182 -0.000448
0.047294 0.890763 0.005793 46.402930 -0.012636 0.000892 0.482610 0.776359 19.000004 -0.001312 46.403823 -0.000448
0.048686 0.965698 0.006281 47.041716 -0.012597 0.082740 0.483212 0.788726 19.000004 -0.001308 47.124456 -0.000447
0.050075 1.050734 0.006834 47.692108 -0.012494 0.217090 0.478155 0.802076 19.000004 -0.001297 47.909198 -0.000443
0.051467 1.098567 0.007145 48.104777 -0.012426 0.143054 0.492556 0.809302 19.000004 -0.001290 48.247831 -0.000441
0.052858 1.203270 0.007826 48.688462 -0.012291 0.285561 0.488455 0.824492 19.000004 -0.001276 48.974023 -0.000436
0.054250 1.236751 0.008043 48.943185 -0.012170 0.256262 0.492873 0.829184 19.000004 -0.001264 49.199447 -0.000431
0.055639 1.339326 0.008710 49.376096 -0.011963 0.437761 0.494465 0.843113 19.000004 -0.001242 49.813857 -0.000424
0.057031 1.417987 0.009222 49.796182 -0.011752 0.444425 0.493348 0.853381 19.000004 -0.001220 50.240606 -0.000417
0.058422 1.479639 0.009623 50.090327 -0.011526 0.476808 0.489664 0.861203 19.000004 -0.001197 50.567134 -0.000409
0.059814 1.580086 0.010276 50.531270 -0.011247 0.588620 0.481605 0.873559 19.000004 -0.001168 51.119890 -0.000399
0.061203 1.613037 0.010491 50.648980 -0.010947 0.636179 0.488526 0.877515 19.000004 -0.001137 51.285159 -0.000388
0.062595 1.686383 0.010968 50.764883 -0.010557 0.822134 0.487040 0.886162 18.997505 -0.001096 51.587017 -0.000374
0.063986 1.795332 0.011676 51.109141 -0.010161 0.835832 0.488359 0.898628 19.000004 -0.001055 51.944973 -0.000360
0.065378 1.855390 0.012067 51.318929 -0.009773 0.818676 0.496778 0.905322 19.000004 -0.001015 52.137605 -0.000346
0.066767 1.926608 0.012530 51.489378 -0.009359 0.874690 0.494971 0.913108 19.000004 -0.000972 52.364069 -0.000332
0.068159 1.992510 0.012959 51.591470 -0.008888 0.996140 0.496553 0.920174 19.000004 -0.000923 52.587610 -0.000315
0.069550 2.072765 0.013480 51.730109 -0.008334 1.169169 0.491814 0.928612 19.000004 -0.000865 52.899278 -0.000295
0.070942 2.156207 0.014023 51.919100 -0.007719 1.296462 0.494378 0.937201 19.000004 -0.000802 53.215561 -0.000274
0.072331 2.229548 0.014500 52.080908 -0.007091 1.328485 0.494625 0.944605 19.000004 -0.000736 53.409393 -0.000251
0.073722 2.305551 0.014994 52.236329 -0.006477 1.296894 0.494427 0.952144 18.997505 -0.000673 53.533223 -0.000230
0.075114 2.406533 0.015651 52.548673 -0.005986 1.034654 0.483118 0.961962 19.000004 -0.000622 53.583327 -0.000212
0.076506 2.444265 0.015897 52.573949 -0.005500 1.025503 0.488076 0.965576 19.000004 -0.000571 53.599452 -0.000195
0.077897 2.556936 0.016629 52.851839 -0.005032 0.989338 0.481471 0.976198 19.000004 -0.000523 53.841178 -0.000178
0.079286 2.606368 0.016951 52.922325 -0.004550 1.018993 0.483798 0.980782 19.000004 -0.000472 53.941318 -0.000161
0.080678 2.686618 0.017473 53.022998 -0.004098 0.954209 0.483139 0.988131 18.997505 -0.000425 53.977206 -0.000145
0.082069 2.757836 0.017936 53.089632 -0.003608 1.033212 0.482547 0.994561 19.000004 -0.000375 54.122844 -0.000128
