t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
12.089401 153.734607 0.999831 -0.048000 9.483214 0.075246 0.454025 120.000000 19.000004 0.984819 0.027246 0.336170
12.090792 153.729826 0.999800 -0.096670 9.483273 0.123916 0.459903 120.000000 19.000004 0.984825 0.027246 0.336172
12.092184 153.735671 0.999838 -0.097591 9.483332 0.124837 0.458650 120.000000 19.000004 0.984831 0.027246 0.336174
12.093573 153.733013 0.999820 -0.114762 9.483399 0.142009 0.460881 120.000000 19.000004 0.984838 0.027246 0.336176
12.094964 153.731949 0.999813 -0.134709 9.483476 0.161955 0.456902 120.000000 19.000004 0.984846 0.027246 0.336179
12.096356 153.724511 0.999765 -0.198244 9.483583 0.225490 0.458696 120.000000 19.000004 0.984857 0.027246 0.336183
12.097748 153.728762 0.999793 -0.220793 9.483701 0.248040 0.459503 120.000000 19.000004 0.984869 0.027246 0.336187
12.099136 153.729826 0.999800 -0.230328 9.483822 0.257574 0.463600 120.000000 19.000004 0.984882 0.027246 0.336191
12.100528 153.730356 0.999803 -0.232600 9.483945 0.259846 0.458457 120.000000 19.000004 0.984894 0.027246 0.336196
12.101920 153.717072 0.999717 -0.318834 9.484109 0.346081 0.460179 120.000000 19.000004 0.984911 0.027246 0.336201
12.103311 153.709099 0.999665 -0.438456 9.484330 0.465702 0.459951 120.000000 19.000004 0.984934 0.027246 0.336209
12.104700 153.709629 0.999668 -0.528974 9.484593 0.556221 0.460511 120.000000 19.000004 0.984962 0.027246 0.336219
12.106092 153.704314 0.999634 -0.632896 9.484906 0.660142 0.457417 120.000000 19.000004 0.984994 0.027246 0.336230
12.107484 153.695281 0.999575 -0.771045 9.485284 0.798292 0.464127 120.000000 19.000004 0.985033 0.027246 0.336243
12.108875 153.703250 0.999627 -0.825305 9.485688 0.852552 0.459615 120.000000 19.000004 0.985075 0.027246 0.336257
12.110264 153.700062 0.999606 -0.883002 9.486118 0.910249 0.463484 120.000000 19.000004 0.985120 0.027246 0.336273
12.111656 153.681993 0.999488 -1.039875 9.486624 1.067121 0.469942 120.000000 19.000004 0.985173 0.027246 0.336291
12.113048 153.673490 0.999433 -1.214241 9.487212 1.241488 0.471547 120.000000 19.000004 0.985234 0.027246 0.336311
12.114439 153.672956 0.999430 -1.349501 9.487865 1.376748 0.465595 120.000000 19.000004 0.985301 0.027246 0.336335
12.115831 153.668175 0.999399 -1.479142 9.488578 1.506388 0.469391 120.000000 19.000004 0.985375 0.027246 0.336360
12.117220 153.670298 0.999412 -1.558060 9.489328 1.585306 0.466148 120.000000 19.000004 0.985453 0.027246 0.336386
12.118612 153.674020 0.999437 -1.584326 9.490092 1.611573 0.472967 120.000000 18.997505 0.985533 0.027246 0.336413
12.120003 153.659673 0.999343 -1.684912 9.490903 1.712158 0.475573 120.000000 19.000004 0.985617 0.027246 0.336442
12.121395 153.674550 0.999440 -1.655146 9.491700 1.682393 0.472682 120.000000 19.000004 0.985700 0.027246 0.336470
12.122784 153.671897 0.999423 -1.633051 9.492485 1.660297 0.470674 120.000000 19.000004 0.985781 0.027246 0.336498
12.124176 153.673490 0.999433 -1.589790 9.493251 1.617037 0.468848 120.000000 19.000004 0.985861 0.027246 0.336525
12.125567 153.671897 0.999423 -1.550343 9.493999 1.577590 0.473044 120.000000 19.000004 0.985938 0.027246 0.336552
