t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
0.000000 -1.583807 -0.010293 0.253742 0.000000 -0.030897 0.452128 0.000000 19.000004 0.000000 0.222845 0.000000
0.001392 -1.583807 -0.010293 0.175235 0.000023 0.047610 0.458278 0.000000 19.000004 0.000002 0.222845 0.000000
0.002783 -1.581679 -0.010279 0.123226 0.000070 0.099619 0.451515 0.000000 19.000004 0.000006 0.222845 0.000002
0.004175 -1.567861 -0.010190 0.169487 0.000095 0.053358 0.457330 0.000000 19.000004 0.000008 0.222845 0.000002
0.005564 -1.522156 -0.009893 0.503384 -0.000038 -0.280539 0.458614 0.000000 19.000004 -0.000003 0.222845 -0.000001
0.006956 -1.460505 -0.009492 1.173567 -0.000334 -0.624612 0.454768 0.000000 19.000004 -0.000027 0.548955 -0.000007
0.008347 -1.401512 -0.009108 2.095700 -0.000789 -0.961441 0.453236 0.000000 18.997505 -0.000065 1.134258 -0.000017
0.009739 -1.316471 -0.008556 3.385322 -0.001363 -1.211628 0.457882 0.000000 19.000004 -0.000112 2.173693 -0.000030
0.011128 -1.202206 -0.007813 5.154471 -0.001919 -1.175955 0.458170 0.000000 19.000004 -0.000157 3.978516 -0.000042
0.012519 -1.107069 -0.007195 7.175617 -0.002594 -1.424610 0.458540 0.000000 19.000004 -0.000213 5.751008 -0.000056
0.013911 -1.039044 -0.006753 9.208250 -0.003506 -1.923307 0.458349 0.000000 19.000004 -0.000287 7.284943 -0.000076
0.015303 -0.952944 -0.006193 11.349523 -0.004475 -2.045484 0.453325 0.000000 19.000004 -0.000367 9.304039 -0.000097
0.016692 -0.886507 -0.005761 13.432558 -0.005678 -2.544913 0.457480 0.000000 18.997505 -0.000465 10.887645 -0.000123
0.018084 -0.800942 -0.005205 15.573382 -0.006752 -2.267233 0.456632 0.000000 19.000004 -0.000553 13.306148 -0.000146
0.019475 -0.720157 -0.004680 17.710979 -0.007713 -2.027639 0.452856 0.000000 19.000004 -0.000632 15.683341 -0.000167
0.020867 -0.661694 -0.004300 19.681236 -0.008920 -2.546636 0.445307 0.000000 19.000004 -0.000731 17.134600 -0.000193
0.022256 -0.578252 -0.003758 21.659629 -0.010015 -2.316880 0.447596 0.000000 19.000004 -0.000821 19.342749 -0.000217
0.023647 -0.487371 -0.003167 23.674846 -0.010758 -1.567938 0.456333 0.000000 18.997505 -0.000882 22.106908 -0.000233
0.025039 -0.421998 -0.002743 25.535869 -0.011726 -2.043080 0.457528 0.000000 19.000004 -0.000961 23.492789 -0.000254
0.026431 -0.332182 -0.002159 27.412910 -0.012545 -1.727677 0.454136 0.000000 19.000004 -0.001028 25.685232 -0.000272
0.027822 -0.276376 -0.001796 29.064627 -0.013487 -1.987908 0.454582 0.000000 19.000004 -0.001105 27.076718 -0.000292
0.029211 -0.203549 -0.001323 30.628250 -0.014292 -1.702243 0.453169 0.000000 19.000004 -0.001171 28.926007 -0.000309
0.030603 -0.105755 -0.000687 32.267622 -0.014841 -1.159321 0.451292 0.000000 19.000004 -0.001216 31.108301 -0.000321
0.031995 -0.036665 -0.000238 33.767267 -0.015206 -0.770289 0.452343 0.000000 18.997505 -0.001246 32.996977 -0.000329
0.033386 0.045713 0.000297 35.225426 -0.015600 -0.831421 0.453069 0.492408 18.997505 -0.001278 34.394005 -0.000338
0.034775 0.095674 0.000622 36.426018 -0.016208 -1.285640 0.446095 0.541667 18.997505 -0.001328 35.140379 -0.000351
0.036167 0.159448 0.001036 37.494155 -0.016490 -0.596427 0.455740 0.581927 19.000004 -0.001351 36.897727 -0.000357
0.037558 0.235452 0.001530 38.523773 -0.016707 -0.457597 0.443288 0.616918 19.000004 -0.001369 38.066176 -0.000362
0.038950 0.326332 0.002121 39.609373 -0.016793 -0.182083 0.455564 0.649630 18.997505 -0.001376 39.427290 -0.000364
0.040339 0.399148 0.002594 40.614094 -0.016854 -0.127736 0.456645 0.671604 19.000004 -0.001381 40.486358 -0.000365
0.041731 0.476211 0.003095 41.570431 -0.016741 0.238192 0.456764 0.692123 19.000004 -0.001372 41.808623 -0.000363
0.043122 0.562840 0.003658 42.540763 -0.016543 0.417576 0.451405 0.712739 19.000004 -0.001356 42.958339 -0.000358
0.044514 0.611203 0.003972 43.264627 -0.016379 0.345854 0.450287 0.723367 19.000004 -0.001342 43.610480 -0.000355
0.045903 0.707404 0.004597 44.092374 -0.016140 0.505804 0.452862 0.743012 19.000004 -0.001323 44.598178 -0.000350
0.047294 0.774900 0.005036 44.810020 -0.015916 0.471911 0.449110 0.755810 19.000004 -0.001304 45.281930 -0.000345
0.048686 0.839209 0.005454 45.410262 -0.015675 0.509852 0.440947 0.767372 19.000004 -0.001284 45.920114 -0.000339
0.050078 0.913084 0.005934 45.971222 -0.015371 0.641080 0.443944 0.780000 19.000004 -0.001260 46.612302 -0.000333
0.051467 1.006093 0.006539 46.620339 -0.014947 0.897292 0.447988 0.795042 18.997505 -0.001225 47.517631 -0.000324
0.052858 1.086343 0.007060 47.251863 -0.014513 0.915337 0.450332 0.807360 18.997505 -0.001189 48.167200 -0.000314
0.054250 1.147464 0.007457 47.738720 -0.014119 0.831635 0.451322 0.816381 19.000004 -0.001157 48.570355 -0.000306
0.055642 1.210709 0.007868 48.116543 -0.013687 0.911785 0.459182 0.825422 19.000004 -0.001122 49.028328 -0.000296
0.057036 1.292557 0.008400 48.521909 -0.013205 1.016141 0.449630 0.836719 18.997505 -0.001082 49.538050 -0.000286
0.058422 1.353679 0.008798 48.813848 -0.012693 1.083976 0.448675 0.844887 19.000004 -0.001040 49.897823 -0.000275
0.059814 1.418517 0.009219 49.032725 -0.012119 1.210609 0.451363 0.853322 19.000004 -0.000993 50.243334 -0.000262
0.061206 1.524814 0.009910 49.459706 -0.011469 1.371841 0.448904 0.866685 18.997505 -0.000940 50.831547 -0.000248
0.062597 1.583807 0.010293 49.745239 -0.010809 1.393317 0.446502 0.873874 19.000004 -0.000886 51.138557 -0.000234
0.063986 1.662464 0.010804 50.041290 -0.010121 1.454657 0.450844 0.883228 19.000004 -0.000829 51.495947 -0.000219
0.065378 1.731558 0.011253 50.280123 -0.009431 1.456232 0.448334 0.891244 19.000004 -0.000773 51.736355 -0.000204
0.066770 1.830941 0.011899 50.667132 -0.008771 1.393319 0.448598 0.902468 19.000004 -0.000719 52.060451 -0.000190
0.068161 1.859641 0.012086 50.711778 -0.008089 1.439186 0.449271 0.905647 19.000004 -0.000663 52.150965 -0.000175
0.069550 1.962217 0.012753 50.957589 -0.007367 1.527265 0.450863 0.916795 19.000004 -0.000604 52.484854 -0.000160
0.070942 2.022804 0.013146 51.091600 -0.006604 1.610946 0.449854 0.923231 18.997505 -0.000541 52.702545 -0.000143
0.072334 2.096679 0.013626 51.219371 -0.005764 1.773650 0.450656 0.930940 18.997505 -0.000472 52.993021 -0.000125
0.073725 2.168431 0.014093 51.327053 -0.004853 1.922812 0.450102 0.938290 19.000004 -0.000398 53.249865 -0.000105
0.075114 2.236457 0.014535 51.393979 -0.003893 2.028918 0.448222 0.945140 19.000004 -0.000319 53.422897 -0.000084
0.076506 2.300765 0.014953 51.401804 -0.002885 2.126874 0.448374 0.951515 19.000004 -0.000236 53.528679 -0.000062
0.077897 2.401218 0.015606 51.596478 -0.001943 1.988436 0.449024 0.961289 19.000004 -0.000159 53.584914 -0.000042
0.079289 2.482002 0.016131 51.814320 -0.001059 1.866486 0.451625 0.968996 19.000004 -0.000087 53.680806 -0.000023
0.080681 2.538867 0.016500 51.893436 -0.000154 1.909962 0.451705 0.974344 19.000004 -0.000013 53.803398 -0.000003
0.082069 2.589893 0.016832 51.821175 0.000833 2.086766 0.449664 0.979091 19.000004 0.000068 53.907941 0.000018
0.083461 2.719569 0.017675 52.136740 0.001737 1.907851 0.454277 0.990944 19.000004 0.000142 54.044590 0.000038
0.084853 2.788129 0.018120 52.369080 0.002598 1.817400 0.448145 0.997096 18.997505 0.000213 54.186481 0.000056
0.086244 2.843935 0.018483 52.448146 0.003481 1.864277 0.450500 1.002047 19.000004 0.000285 54.312423 0.000075
0.087633 2.890705 0.018787 52.343119 0.004439 2.026920 0.454106 1.006159 19.000004 0.000364 54.370039 0.000096
0.089025 2.987435 0.019416 52.412637 0.005417 2.062348 0.449832 1.014561 19.000004 0.000444 54.474984 0.000117
0.090417 3.082037 0.020030 52.610575 0.006358 1.987937 0.451040 1.022650 18.997505 0.000521 54.598512 0.000138
0.091808 3.114459 0.020241 52.507047 0.007368 2.129904 0.448306 1.025394 19.000004 0.000604 54.636951 0.000160
0.093197 3.175046 0.020635 52.341952 0.008476 2.344685 0.450074 1.030484 19.000004 0.000695 54.686637 0.000184
0.094589 3.279744 0.021315 52.414174 0.009529 2.222079 0.456287 1.039172 19.000004 0.000781 54.636254 0.000206
0.095981 3.349903 0.021771 52.455178 0.010534 2.120929 0.449563 1.044919 19.000004 0.000863 54.576107 0.000228
0.097372 3.414741 0.022193 52.435612 0.011546 2.136455 0.450021 1.050179 19.000004 0.000946 54.572067 0.000250
0.098761 3.525290 0.022911 52.665171 0.012480 1.974592 0.452177 1.059040 18.997505 0.001023 54.639763 0.000270
0.100153 3.549204 0.023066 52.531650 0.013477 2.103944 0.448475 1.060940 18.997505 0.001104 54.635594 0.000292
0.101544 3.648592 0.023712 52.593433 0.014454 2.062154 0.445087 1.068770 19.000004 0.001184 54.655587 0.000313
0.102936 3.715024 0.024144 52.600003 0.015377 1.949088 0.450973 1.073949 19.000004 0.001260 54.549092 0.000333
0.104325 3.797936 0.024683 52.669555 0.016272 1.890888 0.456561 1.080353 19.000004 0.001333 54.560443 0.000352
0.105717 3.855866 0.025059 52.626440 0.017203 1.966227 0.455912 1.084789 18.997505 0.001410 54.592667 0.000373
0.107109 3.956847 0.025716 52.771760 0.018062 1.811997 0.448274 1.092450 18.997505 0.001480 54.583757 0.000391
0.108500 3.987141 0.025913 52.609834 0.018988 1.955085 0.446092 1.094731 19.000004 0.001556 54.564919 0.000411
0.109892 4.091844 0.026593 52.682258 0.019838 1.793365 0.446651 1.102555 19.000004 0.001625 54.475623 0.000430
0.111281 4.159340 0.027032 52.704616 0.020692 1.805540 0.459681 1.107551 19.000004 0.001695 54.510156 0.000448
0.112672 4.230558 0.027495 52.709056 0.021585 1.885348 0.451382 1.112783 19.000004 0.001769 54.594404 0.000467
0.114064 4.338978 0.028199 52.940988 0.022392 1.703310 0.450473 1.120674 19.000004 0.001835 54.644298 0.000485
0.115456 4.364491 0.028365 52.817318 0.023264 1.840117 0.458545 1.122518 19.000004 0.001906 54.657435 0.000504
0.116845 4.435174 0.028824 52.698655 0.024166 1.907683 0.456999 1.127603 19.000004 0.001980 54.606338 0.000523
0.118236 4.531375 0.029450 52.750340 0.025046 1.856869 0.450005 1.134467 18.997505 0.002052 54.607210 0.000542
0.119628 4.562727 0.029653 52.518844 0.026021 2.057917 0.455903 1.136691 19.000004 0.002132 54.576761 0.000563
0.121020 4.662115 0.030299 52.500528 0.027045 2.161549 0.457450 1.143696 19.000004 0.002216 54.662077 0.000586
0.122409 4.765220 0.030969 52.682063 0.028010 2.040005 0.453329 1.150896 19.000004 0.002295 54.722068 0.000607
0.123800 4.806679 0.031239 52.623291 0.028988 2.064018 0.455029 1.153772 19.000004 0.002375 54.687309 0.000628
