t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
0.000000 -1.560952 -0.010133 -0.013716 0.000000 0.236561 0.398936 0.000000 19.000004 0.000000 0.222845 0.000000
0.001392 -1.561482 -0.010137 0.032988 0.000090 0.189857 0.398722 0.000000 19.000004 0.000008 0.222845 0.000004
0.002781 -1.561482 -0.010137 0.070927 0.000162 0.151918 0.398501 0.000000 19.000004 0.000014 0.222845 0.000007
0.004173 -1.537568 -0.009982 0.257030 0.000146 -0.034185 0.400926 0.000000 19.000004 0.000013 0.222845 0.000007
0.005564 -1.482296 -0.009623 0.766893 -0.000034 -0.379460 0.401619 0.000000 19.000004 -0.000003 0.387433 -0.000002
0.006956 -1.413201 -0.009174 1.627189 -0.000328 -0.619288 0.398507 0.000000 19.000004 -0.000029 1.007901 -0.000015
0.008345 -1.312754 -0.008522 2.970749 -0.000682 -0.749238 0.398917 0.000000 18.997505 -0.000060 2.221512 -0.000031
0.009737 -1.252162 -0.008129 4.438322 -0.001307 -1.319522 0.398521 0.000000 18.997505 -0.000115 3.118800 -0.000060
0.011128 -1.141084 -0.007408 6.322788 -0.001883 -1.214485 0.398458 0.000000 18.997505 -0.000165 5.108303 -0.000087
0.012520 -1.065615 -0.006918 8.299672 -0.002668 -1.658045 0.400090 0.000000 19.000004 -0.000234 6.641627 -0.000123
0.013909 -0.963040 -0.006252 10.510931 -0.003348 -1.437362 0.398890 0.000000 18.997505 -0.000294 9.073569 -0.000154
0.015301 -0.904047 -0.005869 12.610203 -0.004385 -2.189969 0.398664 0.000000 19.000004 -0.000385 10.420234 -0.000202
0.016692 -0.779680 -0.005062 15.024335 -0.004881 -1.045982 0.395830 0.000000 19.000004 -0.000429 13.978353 -0.000225
0.018084 -0.729724 -0.004737 17.189946 -0.005707 -1.744079 0.396032 0.000000 19.000004 -0.000501 15.445867 -0.000263
0.019473 -0.648410 -0.004209 19.336941 -0.006588 -1.862975 0.394044 0.000000 19.000004 -0.000579 17.473967 -0.000304
0.020864 -0.584631 -0.003795 21.334797 -0.007613 -2.161973 0.396604 0.000000 19.000004 -0.000669 19.172824 -0.000351
0.022256 -0.474083 -0.003078 23.496903 -0.008138 -1.108287 0.394529 0.000000 19.000004 -0.000715 22.388616 -0.000375
0.023648 -0.448040 -0.002909 25.223688 -0.009220 -2.282986 0.395383 0.000000 19.000004 -0.000810 22.940702 -0.000425
0.025040 -0.370978 -0.002408 26.910597 -0.010265 -2.204916 0.399538 0.000000 19.000004 -0.000901 24.705681 -0.000473
0.026429 -0.240232 -0.001560 28.899564 -0.010702 -0.925007 0.400676 0.000000 19.000004 -0.000940 27.974557 -0.000493
0.027821 -0.214710 -0.001394 30.432332 -0.011553 -1.796747 0.399802 0.000000 18.997505 -0.001015 28.635585 -0.000532
0.029212 -0.130733 -0.000849 31.958235 -0.012192 -1.347790 0.396630 0.000000 18.997505 -0.001071 30.610445 -0.000562
0.030604 -0.037195 -0.000241 33.526931 -0.012452 -0.548474 0.395258 0.000000 19.000004 -0.001093 32.978457 -0.000574
0.031993 0.034023 0.000221 34.971701 -0.012805 -0.746512 0.397393 0.475067 19.000004 -0.001124 34.225189 -0.000590
0.033384 0.122780 0.000797 36.415569 -0.012923 -0.250195 0.401205 0.560522 19.000004 -0.001135 36.165374 -0.000595
0.034776 0.149352 0.000970 37.440772 -0.013254 -0.698851 0.401729 0.576348 19.000004 -0.001164 36.741921 -0.000611
0.036168 0.260964 0.001694 38.667526 -0.013356 -0.213731 0.400265 0.626758 18.997505 -0.001173 38.453795 -0.000615
0.037557 0.309327 0.002008 39.637132 -0.013570 -0.453580 0.401792 0.643916 18.997505 -0.001192 39.183552 -0.000625
0.038948 0.399678 0.002595 40.660076 -0.013648 -0.163576 0.402204 0.671629 18.997505 -0.001198 40.496500 -0.000629
0.040340 0.482056 0.003129 41.665508 -0.013545 0.216660 0.401705 0.693454 19.000004 -0.001189 41.882168 -0.000624
0.041732 0.530419 0.003443 42.426042 -0.013514 0.064654 0.401842 0.705144 19.000004 -0.001187 42.490697 -0.000623
0.043121 0.637780 0.004140 43.364045 -0.013268 0.520248 0.401656 0.728832 19.000004 -0.001165 43.884293 -0.000611
0.044512 0.691458 0.004489 44.088603 -0.013104 0.347231 0.401400 0.739727 19.000004 -0.001151 44.435834 -0.000604
0.045904 0.777028 0.005044 44.839376 -0.012884 0.463673 0.399605 0.756043 19.000004 -0.001131 45.303049 -0.000594
0.047296 0.840802 0.005458 45.462990 -0.012660 0.472939 0.399699 0.767488 19.000004 -0.001112 45.935929 -0.000583
0.048685 0.922121 0.005986 46.091890 -0.012374 0.604820 0.400630 0.781332 19.000004 -0.001087 46.696711 -0.000570
0.050077 1.011938 0.006569 46.773927 -0.011997 0.794972 0.400069 0.795783 19.000004 -0.001054 47.568899 -0.000553
0.051468 1.085813 0.007049 47.389504 -0.011631 0.774203 0.399434 0.807100 19.000004 -0.001021 48.163707 -0.000536
0.052860 1.151715 0.007477 47.893179 -0.011296 0.705217 0.399899 0.816813 18.997505 -0.000992 48.598396 -0.000520
0.054252 1.216559 0.007898 48.293777 -0.010928 0.777258 0.396797 0.826055 19.000004 -0.000960 49.071035 -0.000503
0.055641 1.298402 0.008429 48.717905 -0.010524 0.855609 0.398118 0.837316 19.000004 -0.000924 49.573514 -0.000485
0.057032 1.354738 0.008795 48.990528 -0.010091 0.913492 0.394371 0.844829 19.000004 -0.000886 49.904020 -0.000465
0.058424 1.416389 0.009195 49.171237 -0.009588 1.061135 0.396633 0.852847 18.997505 -0.000842 50.232372 -0.000442
0.059815 1.522686 0.009885 49.565707 -0.008994 1.253384 0.395038 0.866215 18.997505 -0.000790 50.819091 -0.000414
0.061204 1.586465 0.010299 49.855718 -0.008381 1.296169 0.393495 0.873982 19.000004 -0.000736 51.151886 -0.000386
0.062596 1.661934 0.010789 50.132786 -0.007736 1.360951 0.395141 0.882950 19.000004 -0.000679 51.493737 -0.000356
0.063987 1.735275 0.011265 50.382890 -0.007089 1.365752 0.394462 0.891450 19.000004 -0.000623 51.748642 -0.000327
0.065379 1.839978 0.011945 50.812824 -0.006485 1.276347 0.395062 0.903246 19.000004 -0.000569 52.089171 -0.000299
