t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
12.392560 153.992906 0.999700 -0.164362 11.140753 0.191609 0.306407 120.000000 19.000004 0.978428 0.027246 0.513218
12.393952 153.974302 0.999579 -0.291066 11.140904 0.318313 0.305736 120.000000 19.000004 0.978441 0.027246 0.513225
12.395344 153.997157 0.999727 -0.243372 11.141032 0.270619 0.306853 120.000000 19.000004 0.978453 0.027246 0.513231
12.396732 153.974837 0.999582 -0.347437 11.141210 0.374684 0.306329 120.000000 19.000004 0.978468 0.027246 0.513239
12.398124 153.997157 0.999727 -0.284177 11.141357 0.311423 0.308250 120.000000 19.000004 0.978481 0.027246 0.513246
12.399516 153.983869 0.999641 -0.316321 11.141520 0.343567 0.309521 120.000000 19.000004 0.978495 0.027246 0.513253
12.400908 153.978024 0.999603 -0.377824 11.141712 0.405070 0.309166 120.000000 19.000004 0.978512 0.027246 0.513262
12.402299 153.975901 0.999589 -0.438577 11.141933 0.465823 0.308720 120.000000 19.000004 0.978532 0.027246 0.513272
12.403688 153.972709 0.999569 -0.505133 11.142184 0.532380 0.309313 120.000000 19.000004 0.978554 0.027246 0.513284
12.405080 153.963677 0.999510 -0.613851 11.142488 0.641098 0.307700 120.000000 19.000004 0.978580 0.027246 0.513298
12.406472 153.952516 0.999438 -0.769956 11.142866 0.797203 0.308795 120.000000 19.000004 0.978614 0.027246 0.513315
12.407861 153.933383 0.999313 -1.015367 11.143359 1.042614 0.309736 120.000000 19.000004 0.978657 0.027246 0.513338
12.409252 153.928068 0.999279 -1.241701 11.143960 1.268948 0.309785 120.000000 19.002502 0.978710 0.027246 0.513365
12.410644 153.934977 0.999324 -1.370779 11.144622 1.398025 0.310431 120.000000 19.000004 0.978768 0.027246 0.513396
12.412036 153.938164 0.999344 -1.443288 11.145319 1.470534 0.308859 120.000000 19.002502 0.978829 0.027246 0.513428
12.413427 153.920624 0.999230 -1.603765 11.146092 1.631011 0.310937 120.000000 19.000004 0.978897 0.027246 0.513464
12.414816 153.926469 0.999268 -1.682598 11.146901 1.709844 0.311657 120.000000 19.000004 0.978968 0.027246 0.513501
12.416208 153.921688 0.999237 -1.763022 11.147749 1.790269 0.310395 120.000000 19.002502 0.979042 0.027246 0.513540
12.417599 153.917437 0.999210 -1.840572 11.148634 1.867818 0.311798 120.000000 19.000004 0.979120 0.027246 0.513581
12.418991 153.911592 0.999172 -1.925440 11.149559 1.952686 0.311739 120.000000 19.002502 0.979201 0.027246 0.513623
12.420380 153.908935 0.999155 -1.994816 11.150515 2.022062 0.313290 120.000000 19.000004 0.979285 0.027246 0.513667
12.421772 153.910528 0.999165 -2.023168 11.151487 2.050415 0.312455 120.000000 19.000004 0.979371 0.027246 0.513712
12.423163 153.911592 0.999172 -2.021124 11.152457 2.048370 0.312838 120.000000 19.000004 0.979456 0.027246 0.513757
12.424555 153.914250 0.999189 -1.983836 11.153410 2.011082 0.311073 120.000000 19.002502 0.979540 0.027246 0.513801
