t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
0.000000 -1.675752 -0.010936 0.193709 0.000000 0.029136 0.689119 0.000000 18.997505 0.000000 0.222845 0.000000
0.001394 -1.675217 -0.010933 0.198224 0.000012 0.024621 0.693792 0.000000 18.997505 0.000002 0.222845 0.000001
0.002786 -1.673094 -0.010919 0.213948 0.000016 0.008897 0.702864 0.000000 18.997505 0.000003 0.222845 0.000001
0.004176 -1.624731 -0.010603 0.539751 -0.000134 -0.316906 0.702798 0.000000 19.000004 -0.000023 0.222845 -0.000008
0.005567 -1.556166 -0.010156 1.247995 -0.000619 -1.025150 0.689772 0.000000 19.000004 -0.000108 0.222845 -0.000038
0.006958 -1.489734 -0.009722 2.249040 -0.001528 -1.916743 0.704322 0.000000 19.000004 -0.000266 0.332297 -0.000094
0.008351 -1.395662 -0.009108 3.660663 -0.002695 -2.463173 0.703118 0.000000 19.000004 -0.000470 1.197490 -0.000166
0.009735 -1.322321 -0.008630 5.260901 -0.004186 -3.162468 0.682043 0.000000 18.997505 -0.000731 2.098433 -0.000258
0.011133 -1.189982 -0.007766 7.384762 -0.005707 -3.195874 0.712476 0.000000 19.000004 -0.000994 4.188888 -0.000351
0.012523 -1.130459 -0.007378 9.444289 -0.007663 -4.135217 0.703122 0.000000 19.000004 -0.001336 5.309073 -0.000472
0.013909 -1.045953 -0.006826 11.595481 -0.009777 -4.477807 0.704615 0.000000 19.000004 -0.001705 7.117674 -0.000602
0.015304 -0.933811 -0.006094 13.981524 -0.011791 -4.240722 0.692581 0.000000 19.000004 -0.002055 9.740801 -0.000726
0.016697 -0.872689 -0.005695 16.206120 -0.014133 -4.938518 0.704458 0.000000 18.997505 -0.002463 11.267602 -0.000870
0.018086 -0.772242 -0.005040 18.534867 -0.016176 -4.321335 0.689404 0.000000 18.997505 -0.002819 14.213532 -0.000996
0.019473 -0.689329 -0.004499 20.813972 -0.018237 -4.365382 0.699926 0.000000 19.000004 -0.003180 16.448590 -0.001123
0.020870 -0.633528 -0.004135 22.853873 -0.020608 -4.983502 0.694437 0.000000 19.000004 -0.003591 17.870371 -0.001269
0.022254 -0.544771 -0.003555 24.896011 -0.022724 -4.491734 0.701653 0.000000 18.997505 -0.003962 20.404277 -0.001399
0.023650 -0.465050 -0.003035 26.860741 -0.024759 -4.280646 0.697410 0.000000 19.000004 -0.004315 22.580095 -0.001525
0.025041 -0.379480 -0.002477 28.783131 -0.026792 -4.292129 0.699305 0.000000 19.000004 -0.004669 24.491001 -0.001650
0.026433 -0.315706 -0.002060 30.511323 -0.028883 -4.411619 0.699735 0.000000 19.000004 -0.005034 26.099705 -0.001778
0.027825 -0.216303 -0.001412 32.296907 -0.030637 -3.702793 0.683669 0.000000 18.997505 -0.005339 28.594114 -0.001887
0.029209 -0.155716 -0.001016 33.862308 -0.032404 -3.749817 0.693784 0.000000 19.000004 -0.005649 30.112491 -0.001995
0.030606 -0.092467 -0.000603 35.247792 -0.034247 -3.874632 0.692413 0.000000 19.000004 -0.005968 31.373160 -0.002109
0.031992 -0.005837 -0.000038 36.627992 -0.035652 -2.978434 0.690819 0.000000 19.000004 -0.006214 33.649558 -0.002195
0.033387 0.074947 0.000489 37.951302 -0.037142 -3.135115 0.691026 0.262307 18.997505 -0.006473 34.816186 -0.002287
0.034780 0.157325 0.001027 39.226821 -0.038262 -2.361859 0.696593 0.290573 19.000004 -0.006668 36.864962 -0.002356
0.036169 0.214190 0.001398 40.286547 -0.039465 -2.544034 0.701661 0.304214 19.000004 -0.006878 37.742513 -0.002430
0.037561 0.305605 0.001994 41.384299 -0.040533 -2.254091 0.693366 0.321605 19.000004 -0.007064 39.130208 -0.002496
0.038946 0.394892 0.002577 42.491298 -0.041514 -2.081327 0.698371 0.335433 19.000004 -0.007236 40.409972 -0.002556
0.040343 0.465051 0.003035 43.467812 -0.042371 -1.799613 0.692710 0.344895 19.000004 -0.007384 41.668198 -0.002609
0.041733 0.544771 0.003555 44.393027 -0.043177 -1.705229 0.700751 0.354571 19.000004 -0.007525 42.687799 -0.002659
0.043124 0.613861 0.004006 45.198271 -0.043916 -1.560409 0.703368 0.362241 19.000004 -0.007654 43.637862 -0.002704
0.044516 0.713249 0.004655 46.095166 -0.044597 -1.437481 0.699305 0.372364 19.000004 -0.007772 44.657685 -0.002746
0.045907 0.783402 0.005113 46.868562 -0.045309 -1.502254 0.697598 0.378985 19.000004 -0.007896 45.366308 -0.002790
0.047293 0.844524 0.005512 47.476752 -0.046019 -1.504819 0.703779 0.384460 18.997505 -0.008021 45.971933 -0.002834
0.048683 0.931153 0.006077 48.108991 -0.046647 -1.327003 0.693382 0.391817 19.000004 -0.008130 46.781988 -0.002872
0.050078 0.975799 0.006368 48.480631 -0.047244 -1.256035 0.699961 0.395446 19.000004 -0.008234 47.224596 -0.002909
0.051472 1.068808 0.006975 48.950383 -0.047670 -0.898842 0.703181 0.402696 19.000004 -0.008308 48.051541 -0.002935
0.052862 1.171913 0.007648 49.563069 -0.048058 -0.817972 0.697094 0.410306 19.000004 -0.008376 48.745097 -0.002959
0.054253 1.220810 0.007967 49.934509 -0.048451 -0.832438 0.700774 0.413777 19.000004 -0.008444 49.102071 -0.002983
