t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
0.000000 -1.633234 -0.010655 0.130026 0.000000 0.092819 0.430851 0.000000 19.000004 0.000000 0.222845 0.000000
0.001392 -1.668308 -0.010884 0.025829 0.000093 0.197016 0.436579 0.000000 19.000004 0.000008 0.222845 0.000002
0.002783 -1.657683 -0.010814 0.009463 0.000194 0.213382 0.427905 0.000000 19.000004 0.000017 0.222845 0.000004
0.004175 -1.632170 -0.010648 0.162074 0.000223 0.060772 0.432159 0.000000 19.000004 0.000019 0.222845 0.000005
0.005564 -1.580085 -0.010308 0.624644 0.000033 -0.401799 0.431944 0.000000 19.000004 0.000003 0.222845 0.000001
0.006956 -1.558294 -0.010166 1.139578 -0.000401 -0.916733 0.434658 0.000000 19.000004 -0.000034 0.222845 -0.000008
0.008347 -1.451468 -0.009469 2.246326 -0.001174 -1.630385 0.431464 0.000000 19.000004 -0.000100 0.615941 -0.000024
0.009739 -1.332947 -0.008696 3.903709 -0.002094 -1.941982 0.432970 0.000000 19.000004 -0.000178 1.961728 -0.000043
0.011128 -1.306375 -0.008522 5.398358 -0.003557 -3.094773 0.433881 0.000000 19.000004 -0.000303 2.303585 -0.000073
0.012520 -1.189452 -0.007760 7.334393 -0.005043 -3.136392 0.432540 0.000000 19.000004 -0.000430 4.198001 -0.000103
0.013911 -1.087941 -0.007097 9.513912 -0.006655 -3.401481 0.431348 0.000000 19.000004 -0.000567 6.112431 -0.000136
0.015303 -1.018846 -0.006647 11.661969 -0.008497 -3.888039 0.434162 0.000000 19.000004 -0.000724 7.773930 -0.000174
0.016695 -0.899795 -0.005870 14.090019 -0.010188 -3.567770 0.435701 0.000000 19.000004 -0.000868 10.522249 -0.000209
0.018084 -0.843989 -0.005506 16.313846 -0.012201 -4.257070 0.430917 0.000000 19.000004 -0.001040 12.056776 -0.000250
0.019475 -0.777557 -0.005073 18.419262 -0.014273 -4.373782 0.430172 0.000000 19.000004 -0.001216 14.045481 -0.000292
0.020867 -0.714313 -0.004660 20.387887 -0.016433 -4.559457 0.431613 0.000000 19.000004 -0.001400 15.828430 -0.000337
0.022259 -0.632464 -0.004126 22.347782 -0.018541 -4.449068 0.433136 0.000000 19.000004 -0.001580 17.898714 -0.000380
0.023647 -0.557525 -0.003637 24.238218 -0.020559 -4.266223 0.432010 0.000000 19.000004 -0.001752 19.971995 -0.000421
0.025039 -0.489494 -0.003193 26.009290 -0.022429 -3.947393 0.432424 0.000000 18.997505 -0.001911 22.061897 -0.000459
0.026431 -0.403399 -0.002632 27.784176 -0.024275 -3.897100 0.439244 0.000000 19.000004 -0.002069 23.887076 -0.000497
