t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
9.899872 153.244056 0.999719 -0.006274 11.671692 -0.748840 0.566793 120.000000 18.997505 0.994687 -0.755114 0.239094
9.901264 153.251499 0.999768 -0.107298 11.671623 -0.146111 0.552490 120.000000 19.000004 0.994681 -0.253409 0.239092
9.902656 153.247243 0.999740 -0.216746 11.671603 -0.041362 0.554973 120.000000 19.000004 0.994680 -0.258108 0.239092
9.904045 153.271162 0.999896 -0.148674 11.671370 -0.492458 0.562075 120.000000 19.000004 0.994660 -0.641131 0.239087
9.905436 153.270098 0.999889 -0.098521 11.671291 -0.166960 0.560684 120.000000 19.000004 0.994653 -0.265480 0.239086
9.906828 153.241398 0.999702 -0.243412 11.671252 -0.082656 0.561313 120.000000 19.000004 0.994650 -0.326068 0.239085
9.908220 153.272226 0.999903 -0.159133 11.671124 -0.270146 0.553897 120.000000 19.000004 0.994639 -0.429279 0.239082
9.909609 153.233960 0.999653 -0.337821 11.671127 0.006511 0.563829 120.000000 19.000004 0.994639 -0.331309 0.239082
9.911000 153.264253 0.999851 -0.283837 11.671144 0.036651 0.557026 120.000000 18.997505 0.994640 -0.247186 0.239083
9.912392 153.232896 0.999646 -0.441216 11.671193 0.101713 0.556926 120.000000 19.000004 0.994645 -0.339503 0.239084
9.913784 153.246714 0.999736 -0.476109 11.671315 0.259124 0.557688 120.000000 19.000004 0.994655 -0.216985 0.239086
9.915173 153.251499 0.999768 -0.469215 11.671417 0.215806 0.557853 120.000000 19.000004 0.994664 -0.253409 0.239088
9.916564 153.255216 0.999792 -0.435122 11.671352 -0.137251 0.558367 120.000000 19.000004 0.994658 -0.572373 0.239087
9.917956 153.232366 0.999643 -0.552029 11.671451 0.208448 0.565419 120.000000 19.000004 0.994667 -0.343581 0.239089
9.919348 153.245120 0.999726 -0.559710 11.671372 -0.167128 0.559062 120.000000 19.000004 0.994660 -0.726838 0.239087
9.920736 153.230238 0.999629 -0.657825 11.671500 0.270164 0.563117 120.000000 19.000004 0.994671 -0.387662 0.239090
9.922128 153.233425 0.999650 -0.711446 11.671678 0.376021 0.565170 120.000000 18.997505 0.994686 -0.335425 0.239094
9.923520 153.225457 0.999598 -0.800776 11.671865 0.395731 0.563051 120.000000 19.000004 0.994702 -0.405045 0.239097
9.924911 153.229174 0.999622 -0.842460 11.672070 0.432758 0.567157 120.000000 19.000004 0.994719 -0.409702 0.239102
9.926303 153.224923 0.999594 -0.896632 11.672399 0.694358 0.564442 120.000000 19.000004 0.994747 -0.202274 0.239108
9.927692 153.229709 0.999626 -0.901719 11.672637 0.503088 0.559393 120.000000 19.000004 0.994768 -0.398631 0.239113
9.929083 153.214827 0.999528 -0.994602 11.672895 0.542930 0.566064 120.000000 19.000004 0.994790 -0.451671 0.239118
9.930475 153.212698 0.999515 -1.075490 11.673200 0.645228 0.560833 120.000000 19.000004 0.994816 -0.430263 0.239125
9.931867 153.219078 0.999556 -1.090440 11.673561 0.762226 0.563548 120.000000 19.000004 0.994846 -0.328214 0.239132
9.933256 153.225987 0.999601 -1.047840 11.673866 0.643904 0.567024 120.000000 19.000004 0.994872 -0.403937 0.239138
9.934647 153.217484 0.999546 -1.058823 11.674062 0.414220 0.568564 120.000000 19.000004 0.994889 -0.644604 0.239142
9.936039 153.212169 0.999511 -1.092827 11.674379 0.667893 0.567339 120.000000 19.000004 0.994916 -0.424934 0.239149
9.937431 153.213233 0.999518 -1.103838 11.674695 0.668197 0.563846 120.000000 19.000004 0.994943 -0.435641 0.239155
9.938819 153.215891 0.999535 -1.085570 11.674990 0.623195 0.555288 120.000000 19.000004 0.994968 -0.462375 0.239161
9.940211 153.212169 0.999511 -1.085007 11.675303 0.660073 0.565054 120.000000 19.000004 0.994995 -0.424934 0.239168
9.941603 153.198351 0.999421 -1.164675 11.675661 0.756386 0.564276 120.000000 19.000004 0.995025 -0.408289 0.239175
9.942994 153.196223 0.999407 -1.233204 11.676023 0.763653 0.556347 120.000000 19.000004 0.995056 -0.469551 0.239183
9.944383 153.189844 0.999365 -1.319692 11.676338 0.666495 0.567587 120.000000 19.000004 0.995083 -0.653197 0.239189
9.945775 153.210575 0.999501 -1.243575 11.676733 0.834675 0.565865 120.000000 19.000004 0.995117 -0.408899 0.239197
9.947167 153.184533 0.999331 -1.339532 11.676991 0.543820 0.566230 120.000000 19.000004 0.995139 -0.795712 0.239202
9.948559 153.201538 0.999442 -1.295250 11.677455 0.978713 0.567869 120.000000 19.000004 0.995178 -0.316536 0.239212
9.949948 153.181341 0.999310 -1.378774 11.677734 0.589760 0.570252 120.000000 19.000004 0.995202 -0.789015 0.239218
9.951339 153.179218 0.999296 -1.448490 11.678034 0.634391 0.568878 120.000000 19.000004 0.995228 -0.814099 0.239224
9.952731 153.172309 0.999251 -1.537425 11.678389 0.749174 0.571692 120.000000 19.000004 0.995258 -0.788251 0.239231
9.954123 153.171774 0.999248 -1.599788 11.678771 0.805097 0.571378 120.000000 18.997505 0.995290 -0.794691 0.239239
9.955514 153.171245 0.999244 -1.639799 11.679168 0.838727 0.567422 120.000000 19.000004 0.995324 -0.801072 0.239247
9.956903 153.166459 0.999213 -1.688887 11.679566 0.841683 0.568233 120.000000 19.000004 0.995358 -0.847205 0.239255
9.958295 153.167523 0.999220 -1.706848 11.679978 0.869952 0.570981 120.000000 19.000004 0.995393 -0.836896 0.239264
9.959686 153.162208 0.999185 -1.740694 11.680390 0.868347 0.570385 120.000000 19.000004 0.995428 -0.872347 0.239272
9.961078 153.161678 0.999182 -1.756081 11.680809 0.884627 0.570020 120.000000 18.997505 0.995464 -0.871453 0.239281
9.962467 153.161149 0.999178 -1.756247 11.681228 0.885688 0.570914 120.000000 19.000004 0.995500 -0.870560 0.239289
9.963859 153.159550 0.999168 -1.750879 11.681646 0.883017 0.564756 120.000000 19.000004 0.995535 -0.867862 0.239298
9.965250 153.170715 0.999241 -1.657931 11.682049 0.850478 0.564574 120.000000 19.000004 0.995570 -0.807454 0.239306
9.966642 153.158491 0.999161 -1.646396 11.682406 0.754342 0.557539 120.000000 19.000004 0.995600 -0.892054 0.239313
9.968031 153.172309 0.999251 -1.532105 11.682758 0.743854 0.558830 120.000000 19.000004 0.995630 -0.788251 0.239321
9.969423 153.147860 0.999092 -1.583818 11.683038 0.590370 0.558863 120.000000 19.000004 0.995654 -0.993448 0.239326
9.970814 153.171774 0.999248 -1.456118 11.683351 0.661427 0.561859 120.000000 19.000004 0.995681 -0.794691 0.239333
9.972206 153.150518 0.999109 -1.476761 11.683601 0.526021 0.565319 120.000000 19.000004 0.995702 -0.950740 0.239338
9.973594 153.149454 0.999102 -1.487236 11.683849 0.525956 0.567504 120.000000 19.000004 0.995723 -0.961279 0.239343
9.974986 153.149983 0.999105 -1.478889 11.684097 0.522856 0.561330 120.000000 19.000004 0.995744 -0.956034 0.239348
9.976378 153.150518 0.999109 -1.455177 11.684336 0.504438 0.568398 120.000000 19.000004 0.995765 -0.950740 0.239353
9.977769 153.149983 0.999105 -1.426059 11.684559 0.470025 0.571229 120.000000 18.997505 0.995784 -0.956034 0.239357
9.979161 153.157427 0.999154 -1.340840 11.684757 0.418558 0.565038 120.000000 18.997505 0.995801 -0.922283 0.239361
9.980550 153.147860 0.999092 -1.321227 11.684912 0.327779 0.569391 120.000000 19.000004 0.995814 -0.993448 0.239365
9.981942 153.148390 0.999095 -1.289751 11.685059 0.309702 0.568696 120.000000 18.997505 0.995826 -0.980049 0.239368
9.983333 153.143609 0.999064 -1.283420 11.685145 0.182402 0.570054 120.000000 19.000004 0.995834 -1.101017 0.239369
