t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
12.314663 153.811675 0.999775 -0.192076 10.637114 0.219323 0.321591 120.000000 19.000004 0.983388 0.027246 0.490017
12.316055 153.804766 0.999731 -0.256961 10.637249 0.284207 0.321259 120.000000 19.000004 0.983401 0.027246 0.490023
12.317447 153.803702 0.999724 -0.314682 10.637411 0.341929 0.322871 120.000000 19.000004 0.983416 0.027246 0.490030
12.318838 153.800509 0.999703 -0.379877 10.637604 0.407124 0.322539 120.000000 19.000004 0.983434 0.027246 0.490039
12.320227 153.794665 0.999665 -0.467865 10.637838 0.495112 0.322397 120.000000 19.000004 0.983455 0.027246 0.490050
12.321619 153.788820 0.999627 -0.573717 10.638123 0.600963 0.325074 120.000000 18.997505 0.983482 0.027246 0.490063
12.323011 153.794135 0.999661 -0.620578 10.638430 0.647825 0.322624 120.000000 18.997505 0.983510 0.027246 0.490077
12.324402 153.798386 0.999689 -0.625656 10.638739 0.652903 0.322992 120.000000 19.000004 0.983539 0.027246 0.490092
12.325794 153.781381 0.999579 -0.734855 10.639100 0.762101 0.321613 120.000000 19.000004 0.983572 0.027246 0.490108
12.327183 153.782440 0.999585 -0.810706 10.639496 0.837952 0.322132 120.000000 18.997505 0.983609 0.027246 0.490127
12.328574 153.782440 0.999585 -0.865462 10.639919 0.892708 0.322068 120.000000 18.997505 0.983648 0.027246 0.490146
12.329966 153.778189 0.999558 -0.930144 10.640373 0.957390 0.322465 120.000000 18.997505 0.983690 0.027246 0.490167
12.331358 153.781381 0.999579 -0.953893 10.640838 0.981139 0.321870 120.000000 19.000004 0.983733 0.027246 0.490188
12.332747 153.747895 0.999361 -1.182697 10.641410 1.209944 0.321332 120.000000 19.000004 0.983786 0.027246 0.490215
12.334138 153.777125 0.999551 -1.169017 10.641977 1.196263 0.321264 120.000000 19.000004 0.983838 0.027246 0.490241
12.335530 153.777659 0.999554 -1.143766 10.642531 1.171013 0.321541 120.000000 19.000004 0.983889 0.027246 0.490266
12.336921 153.755334 0.999409 -1.258077 10.643140 1.285323 0.319885 120.000000 19.000004 0.983946 0.027246 0.490294
12.338310 153.756932 0.999420 -1.329861 10.643782 1.357107 0.320025 120.000000 18.997505 0.984005 0.027246 0.490324
12.339702 153.740986 0.999316 -1.480398 10.644496 1.507644 0.317822 120.000000 19.000004 0.984071 0.027246 0.490357
12.341094 153.742580 0.999326 -1.579886 10.645258 1.607132 0.318055 120.000000 19.000004 0.984141 0.027246 0.490392
12.342485 153.737799 0.999295 -1.678152 10.646066 1.705398 0.319660 120.000000 19.000004 0.984216 0.027246 0.490429
12.343874 153.728233 0.999233 -1.805684 10.646933 1.832930 0.320791 120.000000 19.000004 0.984296 0.027246 0.490469
12.345266 153.725040 0.999212 -1.914519 10.647853 1.941766 0.322400 120.000000 19.000004 0.984381 0.027246 0.490511
12.346657 153.726639 0.999223 -1.975872 10.648802 2.003118 0.322977 120.000000 19.000004 0.984469 0.027246 0.490555
12.348049 153.728233 0.999233 -1.997862 10.649761 2.025108 0.322732 120.000000 19.000004 0.984558 0.027246 0.490599
12.349438 153.725575 0.999216 -2.015067 10.650727 2.042314 0.321109 120.000000 19.000004 0.984647 0.027246 0.490644
12.350830 153.725575 0.999216 -2.010897 10.651693 2.038143 0.321824 120.000000 19.000004 0.984736 0.027246 0.490688
12.352221 153.715474 0.999150 -2.055024 10.652679 2.082271 0.321596 120.000000 19.000004 0.984827 0.027246 0.490734
12.353613 153.718131 0.999167 -2.055269 10.653666 2.082515 0.320485 120.000000 19.000004 0.984919 0.027246 0.490779
12.355005 153.719196 0.999174 -2.029920 10.654641 2.057167 0.320232 120.000000 19.000004 0.985009 0.027246 0.490824
12.356394 153.718131 0.999167 -1.997703 10.655598 2.024949 0.320086 120.000000 19.000004 0.985097 0.027246 0.490868
12.357785 153.716008 0.999154 -1.967049 10.656543 1.994295 0.318461 120.000000 19.000004 0.985185 0.027246 0.490912
12.359177 153.724511 0.999209 -1.868810 10.657442 1.896056 0.319370 120.000000 19.000004 0.985268 0.027246 0.490953
12.360569 153.695811 0.999022 -1.958293 10.658382 1.985539 0.321301 120.000000 19.000004 0.985355 0.027246 0.490997
12.361958 153.718131 0.999167 -1.868498 10.659279 1.895745 0.323632 120.000000 19.002502 0.985438 0.027246 0.491038
12.363349 153.697405 0.999033 -1.912991 10.660198 1.940237 0.324737 120.000000 19.000004 0.985523 0.027246 0.491080
12.364741 153.681993 0.998933 -2.032456 10.661174 2.059702 0.321916 120.000000 19.002502 0.985613 0.027246 0.491125
12.366133 153.715474 0.999150 -1.893879 10.662084 1.921126 0.323046 120.000000 19.002502 0.985697 0.027246 0.491167
12.367522 153.694217 0.999012 -1.901650 10.662996 1.928897 0.320860 120.000000 19.000004 0.985781 0.027246 0.491209
12.368913 153.711757 0.999126 -1.776595 10.663851 1.803841 0.320433 120.000000 19.000004 0.985860 0.027246 0.491248
12.370305 153.679335 0.998915 -1.869187 10.664750 1.896433 0.323603 120.000000 19.000004 0.985943 0.027246 0.491290
12.371697 153.676678 0.998898 -1.945395 10.665684 1.972642 0.325028 120.000000 19.000004 0.986030 0.027246 0.491333
12.373086 153.678271 0.998908 -1.979790 10.666633 2.007036 0.323671 120.000000 19.000004 0.986117 0.027246 0.491377
12.374477 153.678806 0.998912 -1.986532 10.667587 2.013779 0.325012 120.000000 19.002502 0.986206 0.027246 0.491421
12.375869 153.672426 0.998870 -2.015586 10.668555 2.042832 0.325265 120.000000 19.002502 0.986295 0.027246 0.491465
12.377261 153.678806 0.998912 -1.979616 10.669506 2.006863 0.323112 120.000000 19.002502 0.986383 0.027246 0.491509
12.378649 153.666047 0.998829 -2.015294 10.670472 2.042541 0.323076 120.000000 19.000004 0.986472 0.027246 0.491553
12.380041 153.676678 0.998898 -1.957037 10.671412 1.984284 0.325474 120.000000 19.000004 0.986559 0.027246 0.491597
12.381433 153.659673 0.998787 -2.002318 10.672374 2.029564 0.325788 120.000000 19.000004 0.986648 0.027246 0.491641
12.382824 153.659138 0.998784 -2.024765 10.673346 2.052012 0.327297 120.000000 19.000004 0.986738 0.027246 0.491686
12.384216 153.668175 0.998843 -1.965964 10.674290 1.993211 0.323203 120.000000 19.000004 0.986825 0.027246 0.491729
12.385605 153.670833 0.998860 -1.882708 10.675193 1.909954 0.324235 120.000000 19.000004 0.986909 0.027246 0.491771
12.386996 153.661266 0.998798 -1.859768 10.676087 1.887014 0.325303 120.000000 19.000004 0.986991 0.027246 0.491812
12.388388 153.654357 0.998753 -1.869150 10.676986 1.896396 0.326358 120.000000 19.002502 0.987075 0.027246 0.491854
12.389780 153.651165 0.998732 -1.880678 10.677890 1.907924 0.323933 120.000000 19.002502 0.987158 0.027246 0.491895
12.391169 153.640005 0.998660 -1.945734 10.678823 1.972981 0.326310 120.000000 19.000004 0.987244 0.027246 0.491938
12.392560 153.636288 0.998635 -2.005566 10.679786 2.032813 0.325972 120.000000 19.002502 0.987333 0.027246 0.491983
12.393952 153.653823 0.998749 -1.922260 10.680710 1.949507 0.325192 120.000000 19.000004 0.987419 0.027246 0.492025
12.395344 153.645855 0.998698 -1.888514 10.681617 1.915760 0.326018 120.000000 19.002502 0.987503 0.027246 0.492067
12.396732 153.642662 0.998677 -1.864556 10.682512 1.891802 0.326445 120.000000 19.000004 0.987585 0.027246 0.492108
12.398124 153.637882 0.998646 -1.859173 10.683406 1.886419 0.325778 120.000000 19.002502 0.987668 0.027246 0.492149
12.399516 153.635754 0.998632 -1.851776 10.684296 1.879022 0.327767 120.000000 19.002502 0.987750 0.027246 0.492190
12.400908 153.626721 0.998573 -1.887778 10.685203 1.915024 0.324496 120.000000 19.002502 0.987834 0.027246 0.492232
12.402299 153.617155 0.998511 -1.962432 10.686146 1.989679 0.326888 120.000000 19.000004 0.987921 0.027246 0.492276
12.403688 153.622465 0.998546 -1.971202 10.687091 1.998448 0.325063 120.000000 19.000004 0.988009 0.027246 0.492319
12.405080 153.619278 0.998525 -1.981272 10.688043 2.008518 0.327653 120.000000 19.000004 0.988097 0.027246 0.492363
12.406472 153.616091 0.998504 -1.992351 10.689000 2.019598 0.328631 120.000000 19.000004 0.988185 0.027246 0.492407
12.407861 153.617684 0.998515 -1.972997 10.689946 2.000243 0.325399 120.000000 19.000004 0.988273 0.027246 0.492451
12.409252 153.617684 0.998515 -1.939275 10.690878 1.966521 0.326937 120.000000 19.002502 0.988359 0.027246 0.492493
12.410644 153.619278 0.998525 -1.883721 10.691783 1.910967 0.328005 120.000000 19.002502 0.988442 0.027246 0.492535
12.412036 153.618748 0.998521 -1.824619 10.692660 1.851865 0.327645 120.000000 19.000004 0.988524 0.027246 0.492576
12.413427 153.617155 0.998511 -1.770107 10.693512 1.797353 0.327400 120.000000 19.002502 0.988602 0.027246 0.492615
12.414816 153.618214 0.998518 -1.702543 10.694330 1.729790 0.330144 120.000000 19.000004 0.988678 0.027246 0.492653
12.416208 153.616620 0.998508 -1.642177 10.695121 1.669423 0.327645 120.000000 19.000004 0.988751 0.027246 0.492689
12.417599 153.614497 0.998494 -1.591726 10.695888 1.618973 0.327109 120.000000 19.000004 0.988822 0.027246 0.492724
12.418991 153.615556 0.998501 -1.529103 10.696625 1.556350 0.327996 120.000000 19.002502 0.988890 0.027246 0.492758
12.420380 153.607588 0.998449 -1.515853 10.697355 1.543100 0.328780 120.000000 19.000004 0.988958 0.027246 0.492792
12.421772 153.617684 0.998515 -1.425541 10.698043 1.452788 0.329474 120.000000 19.000004 0.989021 0.027246 0.492824
12.423163 153.615556 0.998501 -1.352565 10.698697 1.379811 0.328268 120.000000 19.002502 0.989082 0.027246 0.492854
12.424555 153.603332 0.998421 -1.360146 10.699355 1.387393 0.328746 120.000000 19.002502 0.989142 0.027246 0.492884
12.425944 153.612899 0.998483 -1.291747 10.699978 1.318994 0.329763 120.000000 19.000004 0.989200 0.027246 0.492913
12.427336 153.592706 0.998352 -1.355504 10.700633 1.382750 0.329731 120.000000 19.000004 0.989261 0.027246 0.492943
12.428727 153.603866 0.998425 -1.322765 10.701273 1.350011 0.329828 120.000000 19.000004 0.989320 0.027246 0.492972
12.430119 153.586327 0.998311 -1.398189 10.701948 1.425435 0.330005 120.000000 19.002502 0.989382 0.027246 0.493003
12.431508 153.601738 0.998411 -1.346939 10.702598 1.374185 0.331826 120.000000 19.000004 0.989442 0.027246 0.493033
12.432899 153.586856 0.998314 -1.389662 10.703269 1.416908 0.332141 120.000000 19.000004 0.989504 0.027246 0.493064
12.434291 153.592172 0.998349 -1.377445 10.703935 1.404692 0.333706 120.000000 19.000004 0.989566 0.027246 0.493095
12.435682 153.585797 0.998307 -1.396488 10.704610 1.423735 0.333597 120.000000 19.000004 0.989628 0.027246 0.493126
