t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
8.610743 153.182935 0.999709 -0.197033 5.694271 -0.573154 0.635920 120.000000 19.000004 0.992416 -0.770187 0.350634
8.612136 153.183469 0.999712 -0.228218 5.694007 -0.556737 0.642609 120.000000 19.000004 0.992370 -0.784955 0.350617
8.613531 153.186127 0.999729 -0.234377 5.693751 -0.539730 0.620444 120.000000 19.000004 0.992325 -0.774107 0.350602
8.614922 153.175496 0.999660 -0.306503 5.693510 -0.508708 0.643371 120.000000 19.000004 0.992283 -0.815211 0.350587
8.616309 153.173368 0.999646 -0.376643 5.693317 -0.408575 0.629013 120.000000 19.000004 0.992250 -0.785218 0.350575
8.617700 153.184533 0.999719 -0.357969 5.693110 -0.437743 0.637721 120.000000 18.997505 0.992213 -0.795712 0.350562
8.619090 153.185592 0.999726 -0.332547 5.692905 -0.432582 0.640578 120.000000 19.000004 0.992178 -0.765129 0.350550
8.620486 153.166993 0.999605 -0.429794 5.692709 -0.411686 0.642754 120.000000 18.997505 0.992144 -0.841480 0.350537
8.621879 153.183469 0.999712 -0.398253 5.692526 -0.386702 0.648685 120.000000 19.000004 0.992112 -0.784955 0.350526
8.623270 153.165400 0.999594 -0.486454 5.692350 -0.372095 0.643102 120.000000 18.997505 0.992081 -0.858549 0.350515
8.624659 153.162742 0.999577 -0.571568 5.692224 -0.266581 0.645282 120.000000 19.000004 0.992059 -0.838149 0.350508
8.626046 153.162208 0.999573 -0.639575 5.692114 -0.232772 0.646876 120.000000 19.000004 0.992040 -0.872347 0.350501
8.627443 153.163272 0.999580 -0.682509 5.692027 -0.181272 0.645082 120.000000 18.997505 0.992025 -0.863781 0.350495
8.628833 153.177090 0.999670 -0.621529 5.691939 -0.186243 0.648892 120.000000 19.000004 0.992010 -0.807772 0.350490
8.630221 153.163272 0.999580 -0.655944 5.691841 -0.207837 0.639460 120.000000 19.000004 0.991992 -0.863781 0.350484
8.631615 153.163272 0.999580 -0.678168 5.691753 -0.185613 0.639265 120.000000 19.000004 0.991977 -0.863781 0.350479
8.633006 153.174432 0.999653 -0.617569 5.691670 -0.175074 0.650302 120.000000 18.997505 0.991963 -0.792642 0.350473
8.634398 153.181341 0.999698 -0.517385 5.691541 -0.271630 0.636413 120.000000 18.997505 0.991940 -0.789015 0.350466
8.635783 153.162742 0.999577 -0.551771 5.691406 -0.286378 0.625879 120.000000 19.000004 0.991917 -0.838149 0.350457
8.637173 153.160614 0.999563 -0.588787 5.691273 -0.280871 0.646419 120.000000 19.000004 0.991893 -0.869658 0.350449
8.638571 153.161149 0.999566 -0.610255 5.691150 -0.260304 0.629083 120.000000 18.997505 0.991872 -0.870560 0.350441
8.639962 153.163272 0.999580 -0.608482 5.691029 -0.255299 0.647040 120.000000 19.000004 0.991851 -0.863781 0.350434
8.641347 153.169117 0.999618 -0.563495 5.690906 -0.259608 0.633885 120.000000 19.000004 0.991829 -0.823103 0.350426
8.642739 153.161149 0.999566 -0.573430 5.690765 -0.297130 0.628368 120.000000 18.997505 0.991805 -0.870560 0.350418
8.644135 153.164865 0.999591 -0.552155 5.690609 -0.329523 0.627899 120.000000 18.997505 0.991778 -0.881678 0.350408
8.645520 153.158491 0.999549 -0.571257 5.690457 -0.320796 0.640644 120.000000 18.997505 0.991751 -0.892054 0.350399
8.646916 153.153175 0.999514 -0.616307 5.690321 -0.287735 0.640495 120.000000 19.000004 0.991728 -0.904042 0.350390
8.648304 153.156363 0.999535 -0.626871 5.690176 -0.305279 0.645524 120.000000 18.997505 0.991702 -0.932150 0.350382
8.649699 153.153175 0.999514 -0.650579 5.690056 -0.253463 0.645032 120.000000 18.997505 0.991681 -0.904042 0.350374
8.651091 153.146267 0.999469 -0.709072 5.689902 -0.324699 0.645774 120.000000 19.000004 0.991655 -1.033771 0.350365
8.652482 153.128192 0.999351 -0.868198 5.689679 -0.471747 0.643258 120.000000 19.000004 0.991616 -1.339946 0.350351
8.653874 153.133508 0.999386 -0.956007 5.689598 -0.169701 0.648482 120.000000 19.000004 0.991602 -1.125707 0.350346
8.655257 153.137759 0.999414 -0.991616 5.689530 -0.144680 0.650232 120.000000 19.000004 0.991590 -1.136295 0.350342
8.656654 153.123941 0.999324 -1.101709 5.689368 -0.340917 0.654963 120.000000 19.000004 0.991562 -1.442626 0.350332
8.658046 153.138823 0.999421 -1.084977 5.689343 -0.052580 0.642144 120.000000 18.997505 0.991557 -1.137556 0.350330
8.659435 153.130850 0.999369 -1.113372 5.689287 -0.119455 0.657765 120.000000 19.000004 0.991547 -1.232826 0.350327
8.660827 153.125540 0.999334 -1.161101 5.689151 -0.285766 0.641683 120.000000 18.997505 0.991524 -1.446867 0.350318
8.662218 153.138823 0.999421 -1.103190 5.689135 -0.034366 0.648087 120.000000 19.000004 0.991521 -1.137556 0.350317
8.663608 153.124476 0.999327 -1.139195 5.688985 -0.316382 0.643254 120.000000 18.997505 0.991495 -1.455577 0.350308
8.664994 153.126069 0.999338 -1.148021 5.688854 -0.277501 0.644098 120.000000 19.000004 0.991472 -1.425522 0.350300
8.666391 153.121818 0.999310 -1.172484 5.688736 -0.249025 0.649068 120.000000 19.000004 0.991451 -1.421510 0.350293
8.667783 153.108530 0.999223 -1.268395 5.688737 0.001529 0.650982 120.000000 18.997505 0.991452 -1.266866 0.350293
8.669175 153.112781 0.999251 -1.307752 5.688749 0.025869 0.639316 120.000000 19.000004 0.991454 -1.281882 0.350294
8.670566 153.109059 0.999227 -1.352353 5.688789 0.083616 0.654823 120.000000 19.000004 0.991461 -1.268737 0.350296
8.671955 153.109594 0.999230 -1.373166 5.688837 0.102541 0.642941 120.000000 19.000004 0.991469 -1.270625 0.350299
8.673346 153.108000 0.999220 -1.388139 5.688895 0.123143 0.648161 120.000000 18.997505 0.991479 -1.264996 0.350303
8.674731 153.108000 0.999220 -1.387883 5.688953 0.122887 0.649236 120.000000 18.997505 0.991489 -1.264996 0.350306
8.676128 153.102150 0.999181 -1.413139 5.688900 -0.113053 0.641847 120.000000 19.000004 0.991480 -1.526193 0.350303
8.677519 153.098433 0.999157 -1.445216 5.688975 0.159979 0.649572 120.000000 19.000004 0.991493 -1.285237 0.350308
8.678912 153.106406 0.999209 -1.406470 5.689045 0.147103 0.652314 120.000000 19.000004 0.991505 -1.259367 0.350312
8.680302 153.097369 0.999150 -1.420847 5.689092 0.098064 0.644746 120.000000 19.000004 0.991513 -1.322783 0.350315
