t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
11.886324 153.807953 1.000000 0.287405 6.820397 -0.260159 0.864919 120.000000 19.000004 0.974869 0.027246 0.475951
11.887716 153.794665 0.999914 0.247200 6.820292 -0.219953 0.877680 120.000000 19.000004 0.974854 0.027246 0.475944
11.889108 153.780317 0.999820 0.118635 6.820249 -0.091389 0.879586 120.000000 19.000004 0.974848 0.027246 0.475941
11.890497 153.786162 0.999858 0.050355 6.820238 -0.023108 0.879310 120.000000 19.000004 0.974846 0.027246 0.475940
11.891888 153.779783 0.999817 -0.047536 6.820274 0.074783 0.880613 120.000000 19.000004 0.974851 0.027246 0.475942
11.893280 153.777659 0.999803 -0.141075 6.820353 0.168321 0.873942 120.000000 19.002502 0.974863 0.027246 0.475948
11.894672 153.775531 0.999789 -0.230234 6.820475 0.257481 0.880314 120.000000 19.000004 0.974880 0.027246 0.475957
11.896061 153.775002 0.999786 -0.304592 6.820632 0.331839 0.877131 120.000000 19.000004 0.974903 0.027246 0.475967
11.897452 153.773938 0.999779 -0.369645 6.820820 0.396891 0.875300 120.000000 19.000004 0.974929 0.027246 0.475981
11.898844 153.776066 0.999793 -0.405702 6.821025 0.432949 0.864464 120.000000 19.000004 0.974959 0.027246 0.475995
11.900236 153.777125 0.999800 -0.424653 6.821240 0.451899 0.879446 120.000000 19.000004 0.974989 0.027246 0.476010
11.901627 153.773408 0.999775 -0.460518 6.821471 0.487764 0.885264 120.000000 19.000004 0.975022 0.027246 0.476026
11.903016 153.773938 0.999779 -0.482270 6.821712 0.509516 0.877930 120.000000 19.000004 0.975057 0.027246 0.476043
11.904408 153.773938 0.999779 -0.495710 6.821959 0.522956 0.882941 120.000000 19.000004 0.975092 0.027246 0.476060
11.905799 153.770216 0.999755 -0.526452 6.822222 0.553698 0.885246 120.000000 19.000004 0.975130 0.027246 0.476078
11.907191 153.773938 0.999779 -0.522622 6.822482 0.549868 0.881162 120.000000 19.000004 0.975167 0.027246 0.476097
11.908580 153.743644 0.999582 -0.711982 6.822832 0.739229 0.869204 120.000000 19.000004 0.975217 0.027246 0.476121
11.909972 153.752147 0.999637 -0.805213 6.823226 0.832460 0.872740 120.000000 19.000004 0.975273 0.027246 0.476148
11.911363 153.748959 0.999616 -0.894999 6.823663 0.922246 0.872517 120.000000 19.000004 0.975336 0.027246 0.476179
11.912755 153.730890 0.999499 -1.078037 6.824187 1.105284 0.877039 120.000000 19.000004 0.975411 0.027246 0.476216
11.914144 153.734607 0.999523 -1.193929 6.824764 1.221175 0.865965 120.000000 19.000004 0.975493 0.027246 0.476256
11.915535 153.728233 0.999482 -1.319517 6.825402 1.346764 0.883657 120.000000 19.000004 0.975584 0.027246 0.476300
11.916927 153.728762 0.999485 -1.406938 6.826082 1.434184 0.872654 120.000000 19.000004 0.975681 0.027246 0.476348
11.918319 153.733013 0.999513 -1.438088 6.826776 1.465334 0.873042 120.000000 19.000004 0.975781 0.027246 0.476396
11.919708 153.719725 0.999426 -1.537072 6.827516 1.564318 0.874666 120.000000 19.000004 0.975887 0.027246 0.476448
11.921099 153.723981 0.999454 -1.576506 6.828276 1.603752 0.874918 120.000000 19.000004 0.975995 0.027246 0.476501
11.922491 153.717072 0.999409 -1.639488 6.829065 1.666735 0.874799 120.000000 19.000004 0.976108 0.027246 0.476556
11.923883 153.714944 0.999395 -1.690054 6.829879 1.717301 0.876733 120.000000 19.000004 0.976224 0.027246 0.476613
11.925271 153.716538 0.999406 -1.705767 6.830699 1.733013 0.877160 120.000000 19.000004 0.976341 0.027246 0.476670
11.926663 153.708035 0.999350 -1.758562 6.831545 1.785809 0.874917 120.000000 19.000004 0.976462 0.027246 0.476729
11.928055 153.709629 0.999361 -1.775480 6.832399 1.802726 0.859431 120.000000 19.000004 0.976584 0.027246 0.476789
11.929446 153.688902 0.999226 -1.908184 6.833316 1.935430 0.858998 120.000000 19.000004 0.976715 0.027246 0.476853
11.930838 153.685180 0.999202 -2.023772 6.834288 2.051019 0.888857 120.000000 19.000004 0.976854 0.027246 0.476920
11.932227 153.691030 0.999240 -2.062025 6.835276 2.089271 0.891558 120.000000 19.000004 0.976996 0.027246 0.476989
11.933619 153.676678 0.999146 -2.168101 6.836316 2.195348 0.863930 120.000000 19.000004 0.977144 0.027246 0.477062
11.935011 153.675084 0.999136 -2.245680 6.837393 2.272927 0.865571 120.000000 19.000004 0.977298 0.027246 0.477137
11.936402 153.674020 0.999129 -2.295777 6.838494 2.323024 0.889213 120.000000 19.000004 0.977455 0.027246 0.477214
11.937791 153.671897 0.999115 -2.329858 6.839608 2.357104 0.889105 120.000000 19.000004 0.977615 0.027246 0.477292
11.939183 153.673490 0.999126 -2.326276 6.840723 2.353522 0.887789 120.000000 19.000004 0.977774 0.027246 0.477369
11.940574 153.671897 0.999115 -2.312642 6.841832 2.339889 0.875677 120.000000 19.000004 0.977933 0.027246 0.477447
11.941966 153.673490 0.999126 -2.270151 6.842920 2.297398 0.861037 120.000000 19.000004 0.978088 0.027246 0.477523
11.943355 153.671897 0.999115 -2.225171 6.843986 2.252417 0.871050 120.000000 19.000004 0.978241 0.027246 0.477597
11.944747 153.671362 0.999112 -2.171703 6.845027 2.198949 0.872739 120.000000 18.997505 0.978389 0.027246 0.477670
11.946138 153.648507 0.998963 -2.257044 6.846110 2.284291 0.873643 120.000000 18.997505 0.978544 0.027246 0.477745
11.947530 153.666047 0.999077 -2.192278 6.847161 2.219525 0.869083 120.000000 19.000004 0.978694 0.027246 0.477819
11.948919 153.668705 0.999095 -2.102088 6.848168 2.129335 0.888109 120.000000 19.000004 0.978838 0.027246 0.477889
11.950311 153.663924 0.999064 -2.040365 6.849148 2.067611 0.889731 120.000000 19.000004 0.978978 0.027246 0.477957
11.951702 153.647448 0.998956 -2.078604 6.850146 2.105851 0.872983 120.000000 19.000004 0.979121 0.027246 0.478027
11.953094 153.665517 0.999074 -1.973444 6.851094 2.000690 0.870632 120.000000 19.000004 0.979256 0.027246 0.478093
11.954483 153.647978 0.998960 -1.983654 6.852044 2.010901 0.866010 120.000000 18.997505 0.979393 0.027246 0.478160
11.955874 153.654887 0.999005 -1.929098 6.852971 1.956344 0.877010 120.000000 19.000004 0.979525 0.027246 0.478224
11.957266 153.651165 0.998981 -1.891182 6.853880 1.918429 0.875334 120.000000 19.000004 0.979655 0.027246 0.478288
11.958658 153.646914 0.998953 -1.870682 6.854779 1.897929 0.863522 120.000000 19.000004 0.979783 0.027246 0.478350
11.960049 153.645320 0.998943 -1.847324 6.855668 1.874571 0.890575 120.000000 19.000004 0.979910 0.027246 0.478412
11.961438 153.639475 0.998905 -1.849549 6.856555 1.876796 0.889185 120.000000 19.000004 0.980037 0.027246 0.478474
11.962830 153.633096 0.998863 -1.876146 6.857457 1.903392 0.894319 120.000000 18.997505 0.980166 0.027246 0.478537
11.964221 153.642662 0.998925 -1.818641 6.858331 1.845887 0.887428 120.000000 19.000004 0.980291 0.027246 0.478598
11.965613 153.614497 0.998742 -1.938449 6.859263 1.965695 0.872424 120.000000 19.000004 0.980424 0.027246 0.478663
11.967005 153.629379 0.998839 -1.922124 6.860186 1.949371 0.875643 120.000000 18.997505 0.980556 0.027246 0.478728
