t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
13.232739 153.888737 0.999779 -0.249998 10.824206 0.277245 0.784648 120.000000 19.000004 0.969888 0.027246 0.460418
13.234131 153.873326 0.999679 -0.299382 10.824360 0.326629 0.781713 120.000000 19.000004 0.969902 0.027246 0.460424
13.235523 153.863225 0.999613 -0.402864 10.824564 0.430111 0.785374 120.000000 19.000004 0.969920 0.027246 0.460433
13.236914 153.868010 0.999644 -0.452781 10.824792 0.480027 0.782260 120.000000 18.997505 0.969941 0.027246 0.460443
13.238306 153.856316 0.999568 -0.565682 10.825073 0.592928 0.808163 120.000000 18.997505 0.969966 0.027246 0.460454
13.239695 153.855252 0.999561 -0.659930 10.825397 0.687176 0.808292 120.000000 19.000004 0.969995 0.027246 0.460468
13.241087 153.869074 0.999651 -0.641123 10.825714 0.668370 0.812449 120.000000 18.997505 0.970023 0.027246 0.460482
13.242478 153.846219 0.999503 -0.768711 10.826091 0.795957 0.810944 120.000000 19.000004 0.970057 0.027246 0.460498
13.243870 153.841968 0.999475 -0.893882 10.826528 0.921128 0.811387 120.000000 19.000004 0.970096 0.027246 0.460516
13.245259 153.841434 0.999472 -0.991760 10.827010 1.019006 0.808165 120.000000 19.000004 0.970139 0.027246 0.460537
13.246651 153.842498 0.999479 -1.055984 10.827523 1.083230 0.794949 120.000000 19.000004 0.970185 0.027246 0.460559
13.248043 153.860567 0.999596 -0.981362 10.828001 1.008609 0.809080 120.000000 19.000004 0.970228 0.027246 0.460579
13.249434 153.844091 0.999489 -1.018637 10.828496 1.045884 0.794180 120.000000 19.000004 0.970273 0.027246 0.460600
13.250823 153.834525 0.999427 -1.102227 10.829030 1.129473 0.796982 120.000000 19.000004 0.970321 0.027246 0.460623
13.252215 153.836123 0.999437 -1.150271 10.829588 1.177518 0.798208 120.000000 19.000004 0.970371 0.027246 0.460647
13.253606 153.827086 0.999378 -1.238020 10.830188 1.265266 0.796521 120.000000 19.000004 0.970424 0.027246 0.460672
13.254998 153.824958 0.999365 -1.312499 10.830823 1.339746 0.808105 120.000000 19.000004 0.970481 0.027246 0.460699
13.256387 153.824428 0.999361 -1.365058 10.831481 1.392305 0.809323 120.000000 19.000004 0.970540 0.027246 0.460727
13.257779 153.807953 0.999254 -1.502985 10.832206 1.530231 0.813771 120.000000 19.000004 0.970605 0.027246 0.460758
13.259170 153.810611 0.999271 -1.584990 10.832970 1.612236 0.826763 120.000000 19.000004 0.970674 0.027246 0.460790
