t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
0.000000 -1.577957 -0.012393 0.057016 0.000000 0.165829 0.689119 0.000000 19.000004 0.000000 0.222845 0.000000
0.001392 -1.578492 -0.012397 0.012517 0.000100 0.210329 0.688478 0.000000 19.000004 0.000330 0.222845 0.000004
0.002783 -1.563080 -0.012276 0.076303 0.000169 0.146543 0.689105 0.000000 19.000004 0.000559 0.222845 0.000007
0.004174 -1.532782 -0.012038 0.325084 0.000121 -0.102238 0.698630 0.000000 19.000004 0.000399 0.222845 0.000005
0.005564 -1.473788 -0.011575 0.909873 -0.000097 -0.459379 0.700120 0.000000 19.000004 -0.000321 0.450494 -0.000004
0.006956 -1.389817 -0.010915 1.927133 -0.000412 -0.666465 0.699328 0.000000 19.000004 -0.001366 1.260669 -0.000018
0.008345 -1.267579 -0.009955 3.538294 -0.000736 -0.684801 0.689331 0.000000 18.997505 -0.002439 2.853493 -0.000032
0.009738 -1.183073 -0.009292 5.375431 -0.001239 -1.060480 0.699943 0.000000 19.000004 -0.004101 4.314951 -0.000053
0.011127 -1.082091 -0.008498 7.488509 -0.001828 -1.245764 0.701323 0.000000 19.000004 -0.006054 6.242745 -0.000078
0.012518 -0.997055 -0.007831 9.704071 -0.002495 -1.406980 0.701255 0.000000 19.000004 -0.008259 8.297091 -0.000107
0.013909 -0.918399 -0.007213 11.942224 -0.003371 -1.849618 0.698343 0.000000 19.000004 -0.011159 10.092606 -0.000144
0.015300 -0.832829 -0.006541 14.223459 -0.004251 -1.859805 0.696188 0.000000 18.997505 -0.014074 12.363655 -0.000182
0.016691 -0.749387 -0.005886 16.506004 -0.004995 -1.569883 0.698575 0.000000 19.000004 -0.016535 14.936121 -0.000214
0.018083 -0.693051 -0.005443 18.591622 -0.006054 -2.235417 0.702605 0.000000 19.000004 -0.020039 16.356205 -0.000259
0.019473 -0.602171 -0.004729 20.722591 -0.007009 -2.016963 0.690383 0.000000 18.997505 -0.023200 18.705629 -0.000300
0.020864 -0.507568 -0.003986 22.896010 -0.007592 -1.230786 0.700659 0.000000 18.997505 -0.025130 21.665224 -0.000325
0.022255 -0.442196 -0.003473 24.893087 -0.008458 -1.828474 0.689368 0.000000 18.997505 -0.027996 23.064613 -0.000362
0.023646 -0.369914 -0.002905 26.773392 -0.009424 -2.040846 0.694707 0.000000 18.997505 -0.031195 24.732546 -0.000404
0.025036 -0.277969 -0.002183 28.668740 -0.010196 -1.631609 0.693246 0.000000 19.000004 -0.033752 27.037131 -0.000437
0.026428 -0.203015 -0.001594 30.449916 -0.010912 -1.510000 0.694218 0.000000 18.997505 -0.036119 28.939915 -0.000467
0.027819 -0.140834 -0.001106 32.036178 -0.011682 -1.627064 0.700745 0.000000 18.997505 -0.038670 30.409113 -0.000500
0.029215 -0.070681 -0.000555 33.501201 -0.012487 -1.693810 0.699522 0.000000 19.000004 -0.041325 31.807391 -0.000535
0.030602 -0.000522 -0.000004 34.855470 -0.013020 -1.129152 0.693580 0.000000 18.997505 -0.043095 33.726318 -0.000558
0.031996 0.096203 0.000756 36.277299 -0.013550 -1.116896 0.696926 0.278175 18.997505 -0.044845 35.160404 -0.000581
0.033382 0.174865 0.001373 37.624799 -0.013781 -0.489163 0.693348 0.303397 18.997505 -0.045612 37.135635 -0.000590
0.034774 0.243954 0.001916 38.836987 -0.014085 -0.641629 0.698368 0.319541 19.000004 -0.046618 38.195358 -0.000603
0.036165 0.321551 0.002525 39.984241 -0.014381 -0.625476 0.688784 0.334295 18.997505 -0.047598 39.358765 -0.000616
