t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
0.000000 -1.550856 -0.010088 0.253248 0.000000 -0.030403 0.478723 0.000000 19.002502 0.000000 0.222845 0.000000
0.001392 -1.541289 -0.010026 0.256255 -0.000016 -0.033410 0.481012 0.000000 19.002502 -0.000002 0.222845 -0.000001
0.002781 -1.528001 -0.009940 0.342947 -0.000073 -0.120102 0.479270 0.000000 19.000004 -0.000007 0.222845 -0.000002
0.004172 -1.493456 -0.009715 0.635807 -0.000229 -0.331097 0.477854 0.000000 19.000004 -0.000023 0.304710 -0.000007
0.005564 -1.438714 -0.009359 1.226334 -0.000464 -0.494204 0.476138 0.000000 19.002502 -0.000047 0.732130 -0.000015
0.006956 -1.335075 -0.008685 2.373638 -0.000672 -0.439290 0.472574 0.000000 19.002502 -0.000069 1.934349 -0.000022
0.008344 -1.253761 -0.008156 3.821011 -0.001017 -0.729721 0.480424 0.000000 19.000004 -0.000104 3.091290 -0.000033
0.009736 -1.149592 -0.007478 5.649730 -0.001350 -0.702173 0.479080 0.000000 19.000004 -0.000138 4.947557 -0.000044
0.011128 -1.064551 -0.006925 7.649487 -0.001815 -0.982098 0.480044 0.000000 19.002502 -0.000186 6.667388 -0.000059
0.012519 -1.007686 -0.006555 9.587644 -0.002546 -1.543519 0.475345 0.000000 19.000004 -0.000260 8.044125 -0.000083
0.013908 -0.886507 -0.005767 11.876810 -0.003014 -0.989165 0.470697 0.000000 19.000004 -0.000308 10.887645 -0.000098
0.015300 -0.814230 -0.005297 14.113993 -0.003596 -1.227973 0.469044 0.000000 19.002502 -0.000368 12.886020 -0.000117
0.016692 -0.722815 -0.004702 16.412945 -0.003973 -0.795576 0.468421 0.000000 19.000004 -0.000406 15.617369 -0.000129
0.018084 -0.653191 -0.004249 18.599719 -0.004567 -1.253097 0.470884 0.000000 19.000004 -0.000467 17.346621 -0.000148
0.019475 -0.590476 -0.003841 20.630206 -0.005331 -1.613070 0.476504 0.000000 19.002502 -0.000545 19.017136 -0.000173
0.020864 -0.504911 -0.003284 22.662808 -0.005770 -0.927735 0.474951 0.000000 19.000004 -0.000590 21.735073 -0.000187
0.022256 -0.416153 -0.002707 24.699488 -0.006283 -1.082790 0.476778 0.000000 19.000004 -0.000642 23.616699 -0.000204
0.023647 -0.343342 -0.002233 26.617205 -0.006858 -1.213755 0.476586 0.000000 19.000004 -0.000701 25.403450 -0.000222
0.025039 -0.257772 -0.001677 28.503725 -0.007315 -0.964871 0.474029 0.000000 19.002502 -0.000748 27.538854 -0.000237
0.026428 -0.178566 -0.001162 30.305700 -0.007660 -0.729562 0.477307 0.000000 19.000004 -0.000783 29.576139 -0.000248
0.027820 -0.114792 -0.000747 31.921637 -0.008130 -0.993460 0.477657 0.000000 19.000004 -0.000831 30.928178 -0.000264
0.029211 -0.031350 -0.000204 33.498665 -0.008280 -0.315799 0.476265 0.000000 19.002502 -0.000846 33.182866 -0.000269
