t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
0.000000 -1.565203 -0.010177 0.074101 0.000000 0.148744 0.452128 0.000000 19.000004 0.000000 0.222845 0.000000
0.001392 -1.559359 -0.010139 0.074712 0.000070 0.148133 0.454408 0.000000 19.000004 0.000006 0.222845 0.000001
0.002783 -1.552450 -0.010094 0.119515 0.000119 0.103331 0.445792 0.000000 19.000004 0.000010 0.222845 0.000002
0.004172 -1.503552 -0.009776 0.473452 0.000015 -0.219378 0.453729 0.000000 19.000004 0.000001 0.254075 0.000000
0.005564 -1.444559 -0.009392 1.143012 -0.000209 -0.474060 0.451516 0.000000 19.000004 -0.000018 0.668951 -0.000004
0.006956 -1.380250 -0.008974 2.099513 -0.000558 -0.735437 0.452781 0.000000 19.000004 -0.000047 1.364076 -0.000012
0.008347 -1.307439 -0.008501 3.337622 -0.001054 -1.047726 0.452634 0.000000 19.000004 -0.000089 2.289896 -0.000022
0.009736 -1.204334 -0.007831 4.992367 -0.001551 -1.050475 0.442582 0.000000 19.000004 -0.000131 3.941892 -0.000032
0.011128 -1.098567 -0.007143 6.990521 -0.002062 -1.078861 0.444985 0.000000 18.997505 -0.000174 5.911661 -0.000043
0.012520 -1.050733 -0.006832 8.874545 -0.002949 -1.872618 0.447264 0.000000 19.000004 -0.000249 7.001927 -0.000061
0.013911 -0.962510 -0.006258 10.910990 -0.003814 -1.825332 0.444030 0.000000 18.997505 -0.000321 9.085658 -0.000079
0.015300 -0.841331 -0.005470 13.268552 -0.004353 -1.138697 0.449254 0.000000 18.997505 -0.000367 12.129855 -0.000090
0.016692 -0.775964 -0.005045 15.504135 -0.005020 -1.408270 0.445647 0.000000 19.000004 -0.000423 14.095865 -0.000104
0.018084 -0.698366 -0.004541 17.699189 -0.005719 -1.474928 0.442534 0.000000 19.000004 -0.000482 16.224261 -0.000118
0.019475 -0.629806 -0.004095 19.782322 -0.006578 -1.812817 0.441703 0.000000 18.997505 -0.000554 17.969505 -0.000136
0.020864 -0.538926 -0.003504 21.900643 -0.007192 -1.298257 0.439465 0.000000 19.000004 -0.000606 20.602386 -0.000148
0.022256 -0.500125 -0.003252 23.689181 -0.008069 -1.852651 0.439788 0.000000 19.000004 -0.000680 21.836530 -0.000167
0.023647 -0.392769 -0.002554 25.637812 -0.008772 -1.482324 0.441169 0.000000 19.000004 -0.000739 24.155487 -0.000181
0.025039 -0.321017 -0.002087 27.468050 -0.009483 -1.500911 0.442415 0.000000 19.000004 -0.000799 25.967138 -0.000196
0.026431 -0.258306 -0.001680 29.125896 -0.010241 -1.600319 0.441379 0.000000 19.000004 -0.000863 27.525577 -0.000211
0.027820 -0.193983 -0.001261 30.638628 -0.010933 -1.463670 0.443428 0.000000 19.000004 -0.000922 29.174958 -0.000226
0.029211 -0.116386 -0.000757 32.104748 -0.011506 -1.208334 0.441999 0.000000 19.000004 -0.000970 30.896414 -0.000237
0.030603 -0.013281 -0.000086 33.685471 -0.011574 -0.143406 0.442068 0.000000 18.997505 -0.000975 33.542065 -0.000239
0.031995 0.023927 0.000156 34.916680 -0.011970 -0.837293 0.445085 0.456078 19.000004 -0.001009 34.079387 -0.000247
0.033384 0.114807 0.000746 36.200650 -0.012130 -0.336767 0.444425 0.555416 18.997505 -0.001022 35.863883 -0.000250
0.034775 0.187089 0.001216 37.394479 -0.012163 -0.070196 0.442219 0.595826 19.000004 -0.001025 37.324282 -0.000251
0.036167 0.254585 0.001655 38.472522 -0.012218 -0.115651 0.442363 0.624488 19.000004 -0.001030 38.356871 -0.000252
0.037558 0.363540 0.002364 39.715900 -0.012102 0.244689 0.449787 0.661276 18.997505 -0.001020 39.960589 -0.000250
0.038947 0.415090 0.002699 40.710386 -0.012063 0.081272 0.441771 0.676101 18.997505 -0.001017 40.791658 -0.000249
0.040339 0.468768 0.003048 41.505229 -0.011964 0.209736 0.440841 0.690294 19.000004 -0.001008 41.714965 -0.000247
0.041731 0.555931 0.003615 42.347411 -0.011724 0.507484 0.444406 0.711231 19.000004 -0.000988 42.854895 -0.000242
0.043122 0.616518 0.004009 43.047691 -0.011431 0.617552 0.441502 0.724561 19.000004 -0.000963 43.665243 -0.000236
0.044511 0.692522 0.004503 43.726599 -0.011090 0.720068 0.440857 0.740150 19.000004 -0.000935 44.446667 -0.000229
0.045903 0.796691 0.005180 44.564452 -0.010648 0.933726 0.444425 0.759857 19.000004 -0.000897 45.498178 -0.000220
0.047294 0.839209 0.005457 45.123470 -0.010271 0.796644 0.442620 0.767438 19.000004 -0.000866 45.920114 -0.000212
0.048686 0.933811 0.006072 45.788216 -0.009787 1.020119 0.442982 0.783499 18.997505 -0.000825 46.808335 -0.000202
0.050075 0.991211 0.006445 46.292134 -0.009274 1.085248 0.439810 0.792764 19.000004 -0.000782 47.377382 -0.000191
0.051467 1.068808 0.006949 46.790480 -0.008677 1.261062 0.447856 0.804789 18.997505 -0.000731 48.051541 -0.000179
0.052858 1.154907 0.007509 47.335098 -0.008067 1.285853 0.440728 0.817535 19.000004 -0.000680 48.620951 -0.000166
0.054250 1.232500 0.008014 47.857275 -0.007444 1.316377 0.444565 0.828549 19.000004 -0.000627 49.173652 -0.000154
0.055642 1.298402 0.008442 48.280241 -0.006831 1.293273 0.447178 0.837589 19.000004 -0.000576 49.573514 -0.000141
0.057031 1.367497 0.008891 48.639807 -0.006198 1.338855 0.453799 0.846784 19.000004 -0.000522 49.978663 -0.000128
0.058422 1.467414 0.009541 49.144007 -0.005557 1.351578 0.453299 0.859620 19.000004 -0.000468 50.495585 -0.000115
0.059814 1.529595 0.009945 49.516372 -0.004921 1.343157 0.453795 0.867358 18.997505 -0.000415 50.859530 -0.000102
0.061206 1.608256 0.010457 49.884716 -0.004269 1.376464 0.450275 0.876895 19.000004 -0.000360 51.261180 -0.000088
0.062595 1.674158 0.010885 50.164273 -0.003616 1.380490 0.452168 0.884686 19.000004 -0.000305 51.544763 -0.000075
0.063986 1.741654 0.011324 50.378080 -0.002957 1.391650 0.436263 0.892490 19.000004 -0.000249 51.769730 -0.000061
0.065378 1.803835 0.011728 50.501511 -0.002260 1.471035 0.447591 0.899532 18.997505 -0.000190 51.972547 -0.000047
0.066770 1.882496 0.012240 50.657122 -0.001518 1.565668 0.444722 0.908252 18.997505 -0.000128 52.222790 -0.000031
0.068159 1.969125 0.012803 50.890464 -0.000753 1.617826 0.436651 0.917628 19.000004 -0.000063 52.508289 -0.000016
0.069550 2.047252 0.013311 51.129062 0.000038 1.669755 0.445327 0.925895 18.997505 0.000003 52.798817 0.000001
0.070942 2.124320 0.013812 51.362905 0.000860 1.733449 0.436084 0.933885 19.000004 0.000072 53.096354 0.000018
0.072334 2.181185 0.014182 51.459212 0.001724 1.823944 0.445610 0.939682 19.000004 0.000145 53.283155 0.000036
0.073722 2.245494 0.014600 51.491432 0.002644 1.946490 0.445150 0.946142 19.000004 0.000223 53.437922 0.000055
0.075114 2.329465 0.015146 51.597972 0.003572 1.957955 0.447197 0.954432 19.000004 0.000301 53.555927 0.000074
0.076506 2.387929 0.015526 51.598330 0.004515 1.990553 0.447476 0.960112 19.000004 0.000381 53.588882 0.000093
0.077897 2.494226 0.016217 51.823159 0.005408 1.884000 0.448994 0.970257 19.000004 0.000456 53.707159 0.000112
0.079286 2.555343 0.016615 51.936532 0.006307 1.901417 0.447661 0.975989 19.000004 0.000532 53.837949 0.000130
0.080678 2.625501 0.017071 52.015554 0.007223 1.933649 0.444382 0.982484 19.000004 0.000609 53.949203 0.000149
0.082069 2.732858 0.017769 52.307907 0.008059 1.763858 0.441955 0.992253 19.000004 0.000679 54.071764 0.000166
0.083461 2.804605 0.018235 52.540441 0.008856 1.683222 0.450460 0.998675 19.000004 0.000747 54.223662 0.000183
0.084853 2.845529 0.018502 52.521225 0.009707 1.794795 0.449486 1.002301 19.000004 0.000818 54.316020 0.000200
0.086242 2.936415 0.019092 52.622283 0.010556 1.796440 0.450772 1.010261 19.000004 0.000890 54.418723 0.000218
0.087633 2.979462 0.019372 52.508506 0.011484 1.957686 0.451272 1.013989 19.000004 0.000968 54.466192 0.000237
0.089025 3.052808 0.019849 52.417121 0.012499 2.142734 0.451293 1.020281 19.000004 0.001054 54.559855 0.000258
0.090417 3.141031 0.020423 52.441752 0.013554 2.226702 0.449650 1.027751 19.000004 0.001142 54.668454 0.000280
0.091806 3.215436 0.020907 52.472134 0.014602 2.216900 0.444404 1.033972 19.000004 0.001231 54.689034 0.000301
0.093197 3.290910 0.021397 52.512960 0.015604 2.113423 0.451643 1.040212 19.000004 0.001315 54.626383 0.000322
0.094589 3.358935 0.021840 52.513477 0.016577 2.054933 0.443481 1.045778 19.000004 0.001397 54.568409 0.000342
0.095981 3.468419 0.022552 52.750893 0.017450 1.842550 0.435881 1.054623 19.000004 0.001471 54.593443 0.000360
0.097369 3.500306 0.022759 52.675889 0.018369 1.943526 0.449682 1.057175 19.000004 0.001548 54.619415 0.000379
0.098761 3.564086 0.023174 52.552449 0.019352 2.075202 0.448357 1.062245 19.000004 0.001631 54.627651 0.000399
0.100153 3.656565 0.023775 52.577318 0.020340 2.084651 0.447775 1.069523 19.000004 0.001715 54.661969 0.000420
0.101544 3.726184 0.024228 52.574562 0.021256 1.932054 0.448696 1.074945 19.000004 0.001792 54.506615 0.000439
0.102933 3.791557 0.024653 52.522517 0.022217 2.033140 0.453895 1.079994 19.000004 0.001873 54.555657 0.000459
0.104325 3.865432 0.025133 52.484995 0.023217 2.109528 0.453042 1.085652 19.000004 0.001957 54.594523 0.000479
0.105717 3.932399 0.025568 52.414722 0.024248 2.177272 0.453804 1.090737 19.000004 0.002044 54.591994 0.000500
0.107114 4.034444 0.026232 52.544751 0.025187 1.973502 0.451327 1.098413 19.002502 0.002123 54.518252 0.000520
0.108497 4.113630 0.026747 52.693516 0.026019 1.766784 0.453506 1.104308 19.002502 0.002193 54.460300 0.000537
0.109889 4.178473 0.027168 52.760054 0.026860 1.774984 0.452519 1.109098 19.002502 0.002264 54.535039 0.000554
0.111281 4.242248 0.027583 52.751707 0.027735 1.847072 0.447884 1.113777 19.000004 0.002338 54.598779 0.000572
0.112672 4.311872 0.028036 52.720208 0.028640 1.909333 0.443663 1.118850 19.000004 0.002414 54.629540 0.000591
