t Pcell Prel dPcell mol delta_dPcell transmission r_kelvin Tcell liquid_fraction interpol porosity
12.548353 153.845155 0.999848 0.054298 12.006837 -0.027052 0.343863 120.000000 18.997505 0.983828 0.027246 0.260013
12.549744 153.840375 0.999817 -0.020215 12.006860 0.047462 0.345667 120.000000 19.000004 0.983830 0.027246 0.260013
12.551133 153.840375 0.999817 -0.081040 12.006911 0.108286 0.346834 120.000000 19.000004 0.983834 0.027246 0.260014
12.552525 153.852599 0.999896 -0.050520 12.006948 0.077766 0.352185 120.000000 18.997505 0.983837 0.027246 0.260015
12.553916 153.853658 0.999903 -0.018179 12.006969 0.045426 0.354309 120.000000 19.000004 0.983839 0.027246 0.260016
12.555308 153.839310 0.999810 -0.084943 12.007022 0.112190 0.355368 120.000000 19.000004 0.983843 0.027246 0.260017
12.556697 153.833466 0.999772 -0.176890 12.007119 0.204136 0.356819 120.000000 19.000004 0.983851 0.027246 0.260019
12.558089 153.834525 0.999779 -0.243672 12.007247 0.270918 0.358690 120.000000 19.000004 0.983862 0.027246 0.260022
12.559480 153.822300 0.999699 -0.375726 12.007438 0.402972 0.357994 120.000000 19.000004 0.983877 0.027246 0.260026
12.560872 153.830273 0.999751 -0.428530 12.007654 0.455777 0.354048 120.000000 19.000004 0.983895 0.027246 0.260030
12.562261 153.815391 0.999655 -0.564776 12.007934 0.592022 0.351616 120.000000 19.000004 0.983918 0.027246 0.260036
12.563653 153.807423 0.999603 -0.723084 12.008290 0.750331 0.351857 120.000000 19.000004 0.983947 0.027246 0.260044
12.565044 153.796793 0.999534 -0.915355 12.008736 0.942602 0.353441 120.000000 19.000004 0.983984 0.027246 0.260054
12.566436 153.798386 0.999544 -1.054104 12.009249 1.081350 0.353811 120.000000 19.000004 0.984026 0.027246 0.260065
12.567825 153.797322 0.999537 -1.165098 12.009813 1.192344 0.354705 120.000000 19.000004 0.984072 0.027246 0.260077
12.569217 153.795729 0.999527 -1.255792 12.010420 1.283038 0.353809 120.000000 19.000004 0.984122 0.027246 0.260090
12.570608 153.799450 0.999551 -1.294438 12.011047 1.321684 0.355090 120.000000 19.000004 0.984173 0.027246 0.260104
12.572000 153.788820 0.999482 -1.383560 12.011715 1.410807 0.353696 120.000000 19.000004 0.984228 0.027246 0.260118
12.573392 153.784034 0.999451 -1.475148 12.012427 1.502395 0.352496 120.000000 18.997505 0.984286 0.027246 0.260134
12.574781 153.778189 0.999413 -1.574848 12.013185 1.602094 0.355998 120.000000 19.000004 0.984348 0.027246 0.260150
12.576172 153.774467 0.999389 -1.666436 12.013987 1.693683 0.355789 120.000000 19.000004 0.984414 0.027246 0.260168
12.577564 153.773938 0.999385 -1.729772 12.014820 1.757018 0.354539 120.000000 19.000004 0.984482 0.027246 0.260186
12.578956 153.775531 0.999396 -1.755579 12.015664 1.782826 0.353565 120.000000 19.000004 0.984551 0.027246 0.260204
12.580344 153.775002 0.999392 -1.764282 12.016511 1.791529 0.353897 120.000000 19.000004 0.984621 0.027246 0.260222
12.581736 153.774467 0.999389 -1.758902 12.017358 1.786149 0.356050 120.000000 19.000004 0.984690 0.027246 0.260241
12.583128 153.767029 0.999340 -1.786989 12.018217 1.814235 0.364189 120.000000 19.000004 0.984760 0.027246 0.260259
12.584519 153.775002 0.999392 -1.741887 12.019055 1.769133 0.356486 120.000000 19.000004 0.984829 0.027246 0.260277
12.585908 153.776066 0.999399 -1.682283 12.019864 1.709529 0.359542 120.000000 19.000004 0.984895 0.027246 0.260295
12.587300 153.761713 0.999306 -1.711680 12.020688 1.738926 0.356412 120.000000 19.000004 0.984963 0.027246 0.260313
12.588691 153.736206 0.999140 -1.886305 12.021594 1.913551 0.362040 120.000000 19.000004 0.985037 0.027246 0.260332
12.590083 153.759056 0.999288 -1.863423 12.022490 1.890669 0.360343 120.000000 19.000004 0.985111 0.027246 0.260352
12.591472 153.742580 0.999181 -1.935101 12.023418 1.962348 0.356234 120.000000 19.000004 0.985187 0.027246 0.260372
12.592864 153.769157 0.999354 -1.803230 12.024285 1.830476 0.364721 120.000000 19.000004 0.985258 0.027246 0.260391
12.594255 153.739922 0.999164 -1.869252 12.025184 1.896498 0.361086 120.000000 18.997505 0.985331 0.027246 0.260410
12.595647 153.746831 0.999209 -1.861390 12.026079 1.888637 0.358288 120.000000 19.000004 0.985405 0.027246 0.260429
12.597039 153.743644 0.999188 -1.858839 12.026972 1.886085 0.359070 120.000000 19.000004 0.985478 0.027246 0.260449
12.598427 153.739393 0.999161 -1.867620 12.027868 1.894866 0.360073 120.000000 19.000004 0.985551 0.027246 0.260468
12.599819 153.726105 0.999074 -1.944399 12.028803 1.971646 0.366567 120.000000 19.000004 0.985628 0.027246 0.260488
12.601211 153.723447 0.999057 -2.006947 12.029766 2.034193 0.366728 120.000000 19.000004 0.985707 0.027246 0.260509
12.602602 153.720789 0.999040 -2.057274 12.030754 2.084521 0.365820 120.000000 19.000004 0.985788 0.027246 0.260531
12.603991 153.717072 0.999016 -2.104075 12.031762 2.131321 0.367824 120.000000 19.000004 0.985870 0.027246 0.260552
12.605383 153.714944 0.999002 -2.137184 12.032787 2.164430 0.368501 120.000000 18.997505 0.985954 0.027246 0.260575
12.606775 153.716538 0.999012 -2.134553 12.033812 2.161799 0.369149 120.000000 19.000004 0.986038 0.027246 0.260597
12.608167 153.714415 0.998998 -2.126882 12.034832 2.154128 0.368875 120.000000 19.000004 0.986122 0.027246 0.260619
12.609556 153.696875 0.998884 -2.215558 12.035893 2.242805 0.367844 120.000000 19.000004 0.986209 0.027246 0.260642
12.610947 153.702720 0.998922 -2.230036 12.036963 2.257282 0.364580 120.000000 19.000004 0.986296 0.027246 0.260665
12.612339 153.685180 0.998808 -2.335873 12.038082 2.363120 0.372973 120.000000 18.997505 0.986388 0.027246 0.260689
12.613731 153.696341 0.998881 -2.328705 12.039198 2.355952 0.372803 120.000000 19.000004 0.986480 0.027246 0.260713
12.615119 153.687308 0.998822 -2.360582 12.040328 2.387829 0.372906 120.000000 19.000004 0.986572 0.027246 0.260738
12.616511 153.674020 0.998736 -2.451806 12.041502 2.479052 0.370929 120.000000 19.000004 0.986668 0.027246 0.260763
12.617903 153.674020 0.998736 -2.504280 12.042702 2.531526 0.373524 120.000000 19.000004 0.986767 0.027246 0.260789
12.619294 153.673490 0.998732 -2.528000 12.043912 2.555246 0.366719 120.000000 19.000004 0.986866 0.027246 0.260816
12.620683 153.673490 0.998732 -2.524561 12.045119 2.551808 0.366921 120.000000 19.000004 0.986965 0.027246 0.260842
12.622075 153.675614 0.998746 -2.485050 12.046309 2.512297 0.366477 120.000000 19.000004 0.987062 0.027246 0.260867
12.623467 153.668705 0.998701 -2.475166 12.047495 2.502412 0.375567 120.000000 19.000004 0.987159 0.027246 0.260893
12.624858 153.674020 0.998736 -2.410043 12.048650 2.437289 0.367198 120.000000 19.000004 0.987254 0.027246 0.260918
12.626250 153.657015 0.998625 -2.445599 12.049821 2.472845 0.376214 120.000000 19.000004 0.987350 0.027246 0.260944
12.627639 153.672956 0.998729 -2.348814 12.050945 2.376061 0.371620 120.000000 19.000004 0.987442 0.027246 0.260968
12.629031 153.673490 0.998732 -2.244812 12.052021 2.272059 0.368093 120.000000 19.000004 0.987530 0.027246 0.260991
12.630422 153.674020 0.998736 -2.135877 12.053046 2.163124 0.364732 120.000000 19.000004 0.987614 0.027246 0.261013
12.631814 153.674020 0.998736 -2.027338 12.054020 2.054585 0.366226 120.000000 19.000004 0.987694 0.027246 0.261034
12.633202 153.651165 0.998587 -2.068936 12.055011 2.096182 0.377696 120.000000 19.000004 0.987775 0.027246 0.261056
12.634594 153.671362 0.998719 -1.952757 12.055949 1.980004 0.378921 120.000000 19.000004 0.987852 0.027246 0.261076
12.635986 153.671362 0.998719 -1.839946 12.056834 1.867192 0.374277 120.000000 19.000004 0.987925 0.027246 0.261095
12.637377 153.668705 0.998701 -1.748217 12.057675 1.775463 0.378263 120.000000 18.997505 0.987994 0.027246 0.261114
12.638766 153.658609 0.998636 -1.723037 12.058503 1.750283 0.378654 120.000000 19.000004 0.988061 0.027246 0.261132
12.640158 153.661796 0.998656 -1.666060 12.059305 1.693306 0.377491 120.000000 19.000004 0.988127 0.027246 0.261149
12.641550 153.652764 0.998598 -1.663119 12.060106 1.690365 0.373911 120.000000 19.000004 0.988193 0.027246 0.261166
12.642941 153.652764 0.998598 -1.645642 12.060898 1.672889 0.374405 120.000000 19.000004 0.988258 0.027246 0.261183
12.644330 153.652229 0.998594 -1.619934 12.061677 1.647180 0.374179 120.000000 19.000004 0.988322 0.027246 0.261200
12.645722 153.653823 0.998605 -1.573833 12.062436 1.601079 0.375524 120.000000 19.000004 0.988384 0.027246 0.261217
12.647114 153.628315 0.998439 -1.687894 12.063248 1.715140 0.378577 120.000000 19.000004 0.988450 0.027246 0.261234
12.648505 153.637882 0.998501 -1.703704 12.064069 1.730950 0.375231 120.000000 19.000004 0.988517 0.027246 0.261252
12.649897 153.627781 0.998435 -1.766973 12.064919 1.794219 0.375587 120.000000 19.000004 0.988587 0.027246 0.261270
12.651286 153.629909 0.998449 -1.788941 12.065778 1.816188 0.374864 120.000000 19.000004 0.988658 0.027246 0.261289
12.652681 153.642133 0.998529 -1.711105 12.066603 1.738351 0.370765 120.000000 19.000004 0.988725 0.027246 0.261307
12.654069 153.613433 0.998342 -1.818749 12.067476 1.845995 0.376401 120.000000 19.000004 0.988797 0.027246 0.261326
12.655461 153.617155 0.998366 -1.866173 12.068373 1.893419 0.377646 120.000000 19.000004 0.988870 0.027246 0.261345
12.656850 153.625123 0.998418 -1.836253 12.069254 1.863499 0.380588 120.000000 19.000004 0.988942 0.027246 0.261364
12.658242 153.610775 0.998325 -1.888525 12.070162 1.915772 0.385643 120.000000 19.000004 0.989017 0.027246 0.261384
12.659633 153.613433 0.998342 -1.896910 12.071074 1.924156 0.381052 120.000000 19.000004 0.989091 0.027246 0.261404
12.661025 153.613963 0.998345 -1.883141 12.071979 1.910387 0.380081 120.000000 19.000004 0.989166 0.027246 0.261423
12.662414 153.603866 0.998280 -1.920570 12.072900 1.947816 0.386232 120.000000 19.000004 0.989241 0.027246 0.261443
12.663806 153.607054 0.998301 -1.913063 12.073819 1.940310 0.382049 120.000000 19.000004 0.989316 0.027246 0.261463
12.665197 153.598551 0.998245 -1.944939 12.074754 1.972186 0.378465 120.000000 19.000004 0.989393 0.027246 0.261483
12.666589 153.591112 0.998197 -2.001843 12.075715 2.029089 0.376006 120.000000 19.000004 0.989472 0.027246 0.261504
12.667978 153.595893 0.998228 -1.999206 12.076673 2.026452 0.379707 120.000000 19.000004 0.989550 0.027246 0.261525
12.669369 153.596957 0.998235 -1.972006 12.077620 1.999252 0.379117 120.000000 19.002502 0.989628 0.027246 0.261546
12.670761 153.592172 0.998204 -1.963026 12.078563 1.990273 0.378287 120.000000 19.000004 0.989705 0.027246 0.261566
12.672153 153.596957 0.998235 -1.906732 12.079480 1.933979 0.381361 120.000000 19.000004 0.989780 0.027246 0.261586
12.673542 153.588455 0.998180 -1.898757 12.080390 1.926003 0.387825 120.000000 19.002502 0.989855 0.027246 0.261606
12.674936 153.590578 0.998194 -1.861167 12.081287 1.888413 0.388861 120.000000 19.000004 0.989928 0.027246 0.261625
12.676325 153.592172 0.998204 -1.803187 12.082153 1.830434 0.390555 120.000000 19.000004 0.989999 0.027246 0.261644
12.677716 153.590048 0.998190 -1.753203 12.082996 1.780450 0.390270 120.000000 19.002502 0.990068 0.027246 0.261662
12.679108 153.591642 0.998200 -1.686021 12.083808 1.713268 0.386882 120.000000 19.002502 0.990135 0.027246 0.261680
12.680497 153.590048 0.998190 -1.626147 12.084590 1.653393 0.387977 120.000000 19.000004 0.990199 0.027246 0.261696
12.681889 153.587920 0.998176 -1.576247 12.085349 1.603493 0.385132 120.000000 19.000004 0.990261 0.027246 0.261713
12.683280 153.586327 0.998166 -1.531486 12.086088 1.558732 0.385463 120.000000 19.000004 0.990322 0.027246 0.261729
12.684672 153.584733 0.998156 -1.491339 12.086807 1.518585 0.385447 120.000000 19.000004 0.990381 0.027246 0.261744
12.686061 153.586327 0.998166 -1.434609 12.087499 1.461855 0.382669 120.000000 19.000004 0.990437 0.027246 0.261759
12.687452 153.586856 0.998169 -1.371716 12.088161 1.398963 0.383707 120.000000 19.002502 0.990492 0.027246 0.261774
12.688844 153.585797 0.998162 -1.314691 12.088797 1.341938 0.383147 120.000000 19.000004 0.990544 0.027246 0.261788
12.690236 153.585263 0.998159 -1.259572 12.089407 1.286818 0.393675 120.000000 19.000004 0.990594 0.027246 0.261801
12.691625 153.586856 0.998169 -1.192679 12.089984 1.219926 0.395652 120.000000 19.002502 0.990641 0.027246 0.261813
12.693016 153.586327 0.998166 -1.130554 12.090532 1.157800 0.394894 120.000000 19.002502 0.990686 0.027246 0.261825
12.694408 153.588984 0.998183 -1.052144 12.091044 1.079390 0.393069 120.000000 19.000004 0.990728 0.027246 0.261836
12.695800 153.588984 0.998183 -0.978415 12.091520 1.005662 0.390515 120.000000 19.002502 0.990767 0.027246 0.261847
12.697189 153.587391 0.998173 -0.919579 12.091968 0.946825 0.390972 120.000000 19.000004 0.990804 0.027246 0.261856
12.698580 153.586856 0.998169 -0.866555 12.092391 0.893802 0.391179 120.000000 19.002502 0.990838 0.027246 0.261865
